page 2	論留學政策與學術獨立之途徑
page 3	德軍強渡普魯特河明斯克區激戰未已莫斯科戰報德軍被殲七十萬
page 3	英機在西歐繼續掃蕩攻勢法國淪陷區屢遭猛炸德機被毀達二十一架
page 3	土總理演說謂德土協定為重要文件盛讚英具大國風度
page 3	聚利亞英軍又佔一據點印軍已攻克台里澤將繼續掃蕩西北部
page 3	大隊德機襲馬爾泰
page 3	軸心走狗虛張聲勢西遠征軍即出發
page 3	東非義國殘軍向英接洽投降
page 3	瑞典報著論否認與德合作對挪威遭遇非常明瞭自由與權利決不放棄
page 3	英倫海峽德機施突襲企圖轟炸聯軍航運各輪猛烈抵抗戰情激烈
page 3	留英白俄擁護政府自動要求入伍獻金協助抗戰
page 3	孟席斯在英對美洲廣播美洲人民維護自由勝利速度無限增加
page 3	美國慶紀念餘聞
page 3	南王致電祝賀
page 3	英童化裝表演
page 3	艾登重申作戰決心直至希特勒消滅為止
page 3	希特勒之迷夢欲建傀儡俄國
page 3	過去一月中英德機損失數字英方開始採取攻勢損失仍較德國為少
page 4	日圖破壞海洋自由考慮設六安全地帶華盛頓方面痛加駁斥
page 4	日南侵問題倫敦方面所得印象日將擴大佔領越南泰運廢鐵及樹膠往日
page 4	維希對我態度不變
page 4	明日七七四週年陪都籌備紀念何部長將廣播四年抗戰經過
page 4	緬甸防務充實英軍總司令黎沃播講
page 4	荷印德僑撤退赴日
page 4	克萊琪訪松岡
page 4	敵機襲渝嘉陵賓館一帶落彈
page 4	滇省各地根絕毒物
page 4	美援華會致蔣夫人函對種種努力備極推崇
page 4	蘇聯的持久戰
page 4	二十四年來蘇德關係之演變續
page 4	日蝕觀察隊出發赴西北
page 4	滬外匯續縮因投機商猛扒
page 4	美國慶紀念
page 4	滬法租界日便衣隊任意捕人
page 4	綏西敵軍受重創鐵甲車被炸血肉狼籍浙閩敵蠢動被我擊潰
page 4	粵當局設立鹽警指揮部
page 4	戈思默令法職員須宣誓服從維希政府如不遵辦即將其免職
page 4	日圖破壞海洋自由
page 5	中國軍需原料對美國輸出日增白賴恩指為實業復興之表現在世界市場上立於重要地位
page 5	粵省籌備建設榮譽軍人新村預算經費約一千萬元為殘廢軍人保障生活
page 5	一年來實地研究油桐所遇到的問題一
page 5	三民主義青年團紐約分團成立典禮盛況
page 5	粵省冬耕成績優良收穫雜糧六百萬擔
page 5	桂臨參會通過廣西建設計劃大綱人力與財力務求合理解決組織建設效率考核委員會
page 6	我當局訓示港僑胞應協助港防工作港府宣布限制壯丁出口中國人及過境者得例外
page 6	官米局重申前令嚴禁抬高米價有疲玩功令者決予嚴懲限令米商標明米價米樣
page 6	重新訂定白米售價
page 6	明日抗戰四週年僑胞隆重紀念港九團體聯合開會紀念進行節令售花獻金購債
page 6	供應局通告各紙商呈報新聞報紙存量凡存紙數量達一噸即應呈報貨物表冊每月月初呈驗
page 6	財政司公布港外匯基金港紙幣流通額
page 6	徵收產業稅八月底前須繳納
page 6	銅鐵商會購債五十四萬元教團亦達五十萬
page 6	一號風球昨日除下颶風不致再襲本港上月份共得兩二十七吋颶風過時港內發現水柱
page 6	南師校友聚會
page 6	中山大學研究院
page 6	港府進行組織民眾防衛部隊同原有輔助組合併而成昨日公布防衛部隊則例
page 7	足球總會週年報告詳述一年工作各項比賽滿意收入良佳九日舉行年會同時修改會章
page 7	訓練游泳人才問題
page 7	中華隊錯排戰陣首次吃敗仗一比十為港啤隊殺退第二幕工程打勝香港
page 7	南華足球主任梁焯雲辭職堅決昨夜對本報記者談辭職原因
page 7	居聯水藝成績甚佳
page 7	外匯牌價俱無變更申匯市況復略傾淡
page 7	過去一週間股票市況活躍買胃暢旺股價續趨上漲昨日成交仍達七萬餘元
page 7	國幣市況續趨下游
