page 2	英美法三國的上海會談
page 3	鄂中我軍進擊鍾祥岳口附我Ｘ成對峙狀態包圍南林橋克復四周據點
page 3	危牆傷人渝市炸後餘波
page 3	鄂北之Ｘ狼狽敗竄全盛時期已逝崩潰時期開始
page 3	陳誠部長談最近戰況中央社重慶航信
page 3	野露寅藏談粵Ｘ反戰
page 3	Ｘ機襲閩
page 3	合作事業經部籌設管理局由壽勉成任局長
page 3	鄧家彥視察桂省常務下月出發南路
page 3	Ｘ方謊報士兵陣亡數字希圖混亂國際視聽適足見其心勞日掘
page 3	滬Ｘ捕人愛國份子八名
page 3	政院會議寧夏臨時參議會張天吾任秘書長
page 3	杭Ｘ開嘉興中途遭我襲擊
page 3	三強在滬會談引起Ｘ方之注視英法兩大使昨晤面美大使將展期來港
page 3	傅逆筱庵碰壁為英軍保護綸昌工廠向英領抗議遭受拒絕
page 3	Ｘ酋荒川在江門被擊斃
page 4	莫洛托夫定今日報告外交問題將涉及三國協定事倫敦巴黎極注意
page 4	英將致牒德國對德廢止海約問題闡明英國所採立場
page 4	義報攻擊英法因殖民地要求未遂竟謂英法有心挑釁
page 4	德國向近東擴展經濟勢力黨政要人曾接踵東遊圖另行開闢商業途徑
page 4	土總統演說決充實國防英土協定無侵略目的蘇法與土關係日密切
page 4	全美舉行安全週擁護抵抗侵略政策建立和一北濟關係
page 4	英王抵溫古華五十萬人歡迎盛況空前中英國旗交輝表示親善
page 4	義竟兼併阿國陸軍藉口阿內閣宣布
page 4	日圓續跌昨日最低九角五
page 4	Ｘ閥侵我無孔不入意利用佛教勢力
page 4	美兩院外委會今日討論中立法國務卿赫爾之修正案孤立派仍將伺機攻擊
page 4	對偽滿邊境事件Ｘ小題大做圖乘機擴大刺激人心並向蘇聯提無理抗議
page 4	義玻兩國互易原料成立物物交換協定
page 4	蘇本年度預算收支相抵尚有盈餘軍費約佔四分之一
page 4	侵略者的掠奪慾
page 4	吉新間火車出軌失事乘客受傷三百人聞與罷工事有關
page 4	耶路撒冷發生爆炸案死傷二十四人
page 5	我正規軍增援張弛指揮江會戰事Ｘ犯大澤當即被我擊退派政治兵加強游擊工作
page 5	海口Ｘ機夜襲雷州投彈三枚炸地未明沿海Ｘ艦砲轟電白
page 5	傳Ｘ將有異動粵南當局已嚴防高級長官視察前線守土將領誓死抗戰
page 5	粵省府明日合署辦公新設機關四個
page 5	中山動員會等六團體聯合辦公吳運瑞為總幹事六一開始工作傳順德Ｘ人又欲進犯中山南頭
page 5	粵參議員組織慰勞觀察團分頭慰勞傷兵難民菲僑代表向張李兩長官獻旗李主席望參議會與省府協力
page 5	遂溪更換縣長
page 5	嘉積Ｘ軍撤退
page 6	灣仔交加街發生砍斃四口之慘案一家五口僅一嬰兒幸免萬興泰米店三夥伴失蹤
page 6	港大昨舉行頒授學位典禮由港督自頒發並致詞與中國各大學合作順利
page 6	華商總會下月中開同人大會
page 6	外國航商
page 6	陳丕土高等法庭批准為法庭大律師高等法庭征察司麥基
page 6	油蔴地上海街五賊械刼金鋪半島各署警員全體出動捕獲三匪流彈斃一婦人
page 6	五十年前今日暴風雨為災連綿三日為勢甚烈
page 6	中英文化會香港分會今日舉行成立典禮
page 7	颶風作虐影響航行南華改今日開拔西貢僑胞拳拳致意切望打倒南圻甲李碩友困在波獄行期未定
page 7	台杯網球第三週德國力克瑞典義大利終被南國淘汰
page 7	芬蘭人以沐浴作為一種訓練四
page 7	馬迪夫人將再度出席
page 7	南華會籌辦夏令足球賽預定每星期舉行兩次比賽章程日內可公佈
page 7	女子籃球義賽展期內因借場手續欠妥中青不允通融
