page 2	近衛內閣的所謂基本國策
page 3	襄西日軍大部抽調長江下游尤見空虛我反攻蘇錫一帶勢如破竹蘇嘉線偽軍有兩大隊反正
page 3	東京美聯社經理亦被傳
page 3	渝各報聯合會電唁波僑家屬
page 3	陳嘉庚抵滇談西北視察印象昨日赴下關探視蔣才品
page 3	軍委會運輸總司令錢宗澤氏在渝逝世
page 3	國幣牌價改訂為四便士半 
page 3	日機襲渝受重創被擊落五架十餘架受傷被逸去
page 3	居心叵測滬日人檢查信件竟抄錄名人住址
page 3	淮水陡漲超過去年水位
page 3	加強西北運輸西南運輸處奉令易名西北運輸處
page 3	美國所貸款項我賡續清償中瓊斯向參院銀委會表示信任
page 3	中共之宣言
page 3	中共發表宣言堅決團結抗戰毛澤東氏力主避免磨擦集中力量爭取最後勝利 
page 3	滬大美晚報館又發現炸彈俄捕無故失踪嫌疑頗重
page 3	蒙旗新氣象改進教育努力建設
page 3	美國實施禁運聲中廢鐵石油與日本
page 3	在華英美僑民亦受日方留難平津救世軍被傳問話
page 3	日偽在滬西竟橫行無忌租界華捕捕盜反被扣留曹家渡又發生血案 
page 3	英國各報紙論東京事件
page 3	毛澤東表示
page 4	日閣發表基本國策依然空洞濫調外交重心完成事變講究建設彈性政策近衛松岡同時亦發表談話
page 4	現階段之美擴軍程序預算總額達一百萬萬元設兩洋海軍建艦二百艘海陸軍飛機三萬五千架陸軍兵額一百二十萬人
page 4	東南歐展望巴爾幹協商國勢將解體土外交政策須重新考慮
page 4	美禁飛機汽油輸出用意全在對日英認此乃應付侵略自然步驟
page 4	美禁機油出口日受打擊最大
page 4	德法談判合作對付英國亦為其中一項
page 4	駐蘇美代辦訪米高陽商美蘇商約重訂事
page 4	溫莎公爵由葡赴美化名伍特中尉定有房艙十個
page 4	羅馬發表新歐洲計劃以物物交易為貿易媒介以勞工生產代金為本位
page 4	德方發表聲明攻英具有決心蓋達著文論攻英策略閃電戰術已難再適用 
page 4	莫礦業巨商演說德不放棄遠東日本侵略越南荷印迷夢必將為德國勢力所推翻
page 4	無理可喻
page 4	貝當之夢
page 4	美有準備日難報復
page 4	中日戰爭三年來美國遠東外交的檢視七
page 4	五結論美國外交的展望
page 4	蘇聯最高會議昨開始舉行通過改革外交方針組織摩達維亞民國
page 5	七二四成都大空戰紀詳我神鷹突破日陣奮勇剿殺李伯申等組會助市民疏散
page 5	善後救濟撫卹傷亡 
page 5	激烈空戰日受重創
page 5	川蠶豐收開空前新紀錄
page 5	滇民財兩廳調整縣行政機構抗屬優待會裁併動員會擬設訓練行政人員機構
page 5	粵分三路設護僑站
page 5	蔣委員長關懷災情
page 5	粵謀糧食自給加緊墾荒冬耕今年擬墾二百萬畝建設廳長黃元彬談
page 5	西康日記一三五第六編貢噶紀行
page 5	中順游擊隊活躍石岐勒流日偽恐慌
page 5	賓陽縣長徐威衛談邕賓近況邕寧金城區劃歸賓陽管轄崑崙關附近我自衛隊活躍
page 5	奮勇搶救成績極佳
page 6	利生輪在港滬間一度被日艦扣留截持三小時半始予釋放原因及詳情港未得報告 
page 6	各大規模中學紛紛籌設防空室在地下課室中選擇數間預備綳帶及各種救傷藥
page 6	街頭小販不勝歹徒勒索迭向小販工商聯會求助港內大小賭窟達數百檔
page 6	牛池灣煙館遇劫館主勇抗群盜賊黨冒充煙客作內應一賊被砍傷二賊被捕
page 6	港學生救濟會登記統考清貧學生統考試卷在港評閱完竣即將彙呈總處審定發表 
page 6	兒童保育會周年大會人數無多改期舉行
page 6	發揚固有文化教部訂定辦法通令注意我國歷史文化僑港各大學下學期辦理
page 6	香港仔工藝院 
page 6	青山道交通
page 6	公煙起價
page 6	疏散婦孺一部由菲返港在菲所受待遇表示滿意遭受歧視謠言不能證實
page 6	臨中內遷
page 6	保衛團開始組織若干區召開街坊大會討論進行事宜公推隊長
page 6	婦女慰勞會成立三周年紀念
page 6	基督教團體勸銷儲蓄券成績已達二十八萬四千餘元連日各隊努力進行勸銷
page 6	外聯會四次大會決一致電張似旭夫人慰問議一函路透社悼念考克斯
page 6	魯迅誕辰紀念會明晚在孔聖堂舉行上演阿Q正傳
page 7	籌募英國戰費舉行棒球義賽美艦聯隊對抗聯賽隊後日上午開始第一戰
page 7	星島苦戰之下敗於全星選手隊下半時麥紹漢受傷離場結果一比二輸在十二碼
page 7	今日學界籃球亞軍決賽思思出戰南華
page 7	東方遠征追記第一次馬來亞征戰
page 7	第二戰二比二和星聯
page 7	棟勳盾小型球賽香港區補賽秩序編定
page 7	全滬公開游泳錦標十七日開始角逐共計男女十八項
page 7	外匯牌價昨無變更美匯英匯市況均靜
page 7	國幣市況轉趨堅穩價格稍見上漲
page 7	股票市況沉寂成交數量寥落
page 7	八九金市況沉寂金條成交不多
page 7	蘇聯體育大檢閱史達林等均親自出席體專學生表演肉搏
page 7	德權鼎小球定明日開幕中華全國小型足球協會
