page 2	社評日閥對中國國民下戰書
page 3	嶺東對峙江會激戰晉北我軍克復偏關
page 3	財政部宣布禁止進口物品凡非切要物品均在禁遏估計年可省二萬萬餘元
page 3	京滬平津游擊戰活躍京滬路已不能通車天津近郊為我襲擊
page 3	如何救濟目前金融危機
page 3	七七期邇滬租界戒備加嚴
page 3	提煉機器油試驗已獲成功
page 3	Ｘ機肆虐立煌南陽均遭難外人教堂又被炸
page 3	潛江浩劫遭Ｘ人蹂躪
page 3	法使返滬
page 3	成靈奉移畢朱主席親自主持
page 3	津日軍依然蠻橫又一英僑受辱太古及大沽拖船被扣英艦一艘特駛津調查
page 3	汪報告出版延期
page 3	桂各界國民月會白主任勉各員意志集中
page 3	長沙報友請定七一為友節
page 3	石家莊Ｘ彈藥庫爆炸
page 3	駐蘇日代辦奉令返國定五日離東京將作短期勾留
page 3	粵黨政軍幹訓團二期業已結業
page 3	阿旗親王赴某地迎祭成靈
page 3	惟利是圖滬日商賣錫被捕
page 4	德如侵佔但澤英法難以坐視兩國已有顯明表示波蘭態度亦頗堅決
page 4	國社黨加緊準備義竟圖趁火打劫
page 4	英各黨一致表示決不對暴力屈服
page 4	法內閣議決要案將擴充軍備應變
page 4	英勞工大會致電德民眾勿信政府宣傳自蹈覆滅應以和平合作共謀繁榮
page 4	德陸空軍耀武揚威忽然遊行表演柏林市民驚恐
page 4	在排外政策下日本敢向英挑戰二
page 4	巴拿馬運河第二聖周安河開闢運河溝通兩洋即可實現
page 4	美貨幣折衷案提付參院討論時議員多故意延宕
page 4	傳埃土兩國將訂互助協定義國方面已感覺恐慌以增兵里比亞為恫嚇 
page 4	匈參謀部長將赴德國聘問參觀陸軍演習
page 4	英蘇法談判已達穩固階段三國代表繼續會商英法外交界極樂觀
page 4	德新巡艦舉行下水典禮
page 4	羅王發表演說重申保土決心國境權益不容侵犯
page 4	英擴充空軍政府造飛機經費每週達二百萬鎊
page 4	禁運入口物品
page 4	緊要關頭
page 5	新會戰線又捷我圍江門Ｘ退北街鄧龍光大軍挺進佛子㘭李務滋率隊善後新會城
page 5	粵當局推進役政嚴禁用錢僱替服役轉頒防止弊端辦法
page 5	粵南公路重新澈底破壞遂溪廣州灣交通斷絕
page 5	國民月會韶關昨第三次舉行
page 5	我反攻瓊東告捷城郊惡戰斃Ｘ數十文昌附近羣醜被殲
page 5	粵教廳規定學校移動辦法
page 5	Ｘ兵搶劫蛤公溫曹增城石龍Ｘ兵撤走
page 5	鎮海防空部隊為國增光服務團獻旗致敬
page 5	中山縣府槍決盜匪陳富孫洪等三名
page 5	桂省府歡迎暹僑投資開發實業
page 5	陸豐越獄慘劇
page 5	惠陽船舶會議
page 6	督學張資模談中校考試經過良好參加學生港澳三千餘人希望踴躍回國就學服務
page 6	九龍各社團聯合紀念七七售紀念章得款全數輸將純正中學響應贈旗籌款
page 6	蘇聯中國藝展中央異常重視孔祥熙電吳鐵城等敦勸負責在港徵集鑑定出品
page 6	立案各校校長請免赴庾受訓教廳早已通知近又電催各校會商瀝陳不便婉辭
page 6	本港機工十餘人應徵赴西北服務戰時後方交通積極發展各線所需機械人材甚多
page 6	本港食物店七七一致賣素食物店五行商會昨議決各酒樓製作抗戰齋菜譜
page 6	本港廣播電台最近迭遭騷擾疑與日本電台方面有關日人故意阻擾滬渝廣播
page 6	姚尚芹夫人在梯次被匪搶劫搶匪撒胡椒粉誤中口鼻搶去手袋中途卒被追獲
page 6	英國加緊訓練新兵
page 6	粵紅十字會救護第二隊
page 7	網球義賽人氣狂熱大徐打贏王文正結果二比一老王苦戰不支男女老少混合雙打噱頭多
page 7	下屆世運會芬蘭長跑展望新出天才跑將生產過剩限於大會規則未能盡用
page 7	溫布爾頓男單打奧斯丁逞虎威打退伯特勒表演出色力格斯古克同奏凱歌
page 7	昨日棒球聯賽友啤勝南華雙方作戰劇烈得未曾有結果九比八友啤贏得險
page 7	籃球聯會商討財政問題今夜繼續討論
page 7	伯裘盃足球賽昨日頒獎元朗會冠軍
page 7	港出入口俱告減退五個月內糧食五金減縮最甚惟烟酒奢侈品進口達七百萬
page 7	籃球聯會商討財政問題今夜繼續討論
page 7	本年度上半期金市大洋情況歐局緊張金價達最高峯大洋券起跌間相距至鉅
