page 2	社評以不變應萬變
page 3	西線波蘭軍大捷
page 3	英艦隊集中就緒法軍已準備作戰英各自治領先後向德宣戰
page 3	波軍勇猛抵抗各線俱有進展
page 3	德機濫施轟炸竟波及美使館
page 3	羅斯福廣播稱考慮新中立法
page 3	歐局拾零英艦捕獲德國巨輪
page 3	法國邊境義軍撤退
page 3	倫敦疏散業已竣事
page 3	英法大使先後離德
page 3	捷人與英携手抗德
page 3	荷蘭發出空襲警報
page 4	贛北我軍反攻直抵修河痛殲Ｘ軍南昌Ｘ給養線斷絕晋東南我軍續攻長治
page 4	一片討逆聲澳門僑團發表通電湖北各界開會清奸
page 4	滬女大校長吳志騫被擊斃私立上海中學學生四千餘人紛紛轉學
page 4	薩鎮冰賦詩詠汪逆
page 4	渝市前晚空戰我空軍發揮神威Ｘ機受重創潰竄
page 4	旅津德僑開槍射擊英法
page 4	張自忠將軍會見記
page 4	旅滬猶太難民向英法領館投効德僑民咸感不安一部商行遷虹口
page 4	Ｘ航運公司五家奉令合併
page 4	蔣委員長
page 4	漢奸作惡劫買中美日報
page 4	各國動態
page 4	蔣委員長電唁朱惺公家屬並致送撫金三千元
page 4	Ｘ外務省昨發表談話說明對歐局態度
page 4	比新內閣成立社會黨五人加入
page 4	日圖由德牽引與蘇訂不侵協定Ｘ首相阿部正式宣佈日守中立不干預歐戰
page 4	尼赫魯定今日離華
page 4	南路慰勞團在浙閩獻旗
page 4	天津水災Ｘ損失重大
page 4	德又用潛艇政策
page 4	波蘭抗戰之偉績
page 5	Ｘ軍再犯龍泉被我包圍痛殲三江鄉附近發生大火Ｘ開槍掃射四邑輪渡
page 5	粵南Ｘ艦沿海肆虐砲轟北海地角焚燒貨船徐聞沿岸Ｘ艦往來窺伺
page 5	蘆西線連日激戰我收復楊梅三水以北已無Ｘ蹤
page 5	粵南各縣厲行清稅運動
page 5	東寶線我軍節節推進布吉沙灣等地我已先後收復
page 5	今日的廣州灣
page 5	中山米價高漲
page 5	張黃鎮壯丁舉行抽簽五百餘人熱烈參加
page 5	暹羅排華運動情勢仍嚴重下級官吏興波作浪強迫捐募國防經費
page 5	廣州灣居民紛遷內地商務驟形冷落
page 5	湘桂路上
page 6	港督行使特權實施戰時緊急法令委出要員分任戰時要職宣佈政府戰時統制事項
page 6	摩星嶺砲台試放輕砲及高射砲
page 6	軍校招生事畢周雍能昨歡宴各方襄助人員到各校當局義務醫生因襄助得力結果圓滿
page 6	駐港德總領候輪離港赴菲集中營德僑共九十一名全為德奧籍無一捷克人
page 6	戰時短訊
page 6	邊區寧謐英軍大部復員Ｘ軍亦已減少
page 6	香港以北海岸英法各輪停航明生輪由滬疾行返港法郵船奉命集中西貢
page 6	啟德機場由昨日起戒嚴
page 6	當局統制粮食調查柴米價格柴米零售情形均予紀錄嚴厲取締操縱價格漁利
page 6	我財政部駐港機關討論應變措施
page 6	大風旬刊四十七期出版
page 7	台盃却令治雙打澳選手力挽狂瀾三比一打退美國克拉馬組英德宣戰澳代表返國入伍
page 7	馬來亞籃球義賽工商勝晨星廿六比廿五僅勝一分籌得國幣二千五百元
page 7	南遊日記
page 7	孤島足球冷落不足十隊參加甲組賽
page 7	夏令足球賽定十日頒獎
page 7	拳壇憶舊錄小牛頓驍勇舉世無雙雙目失明猶力戰頑敵
page 7	歐戰爆發後本港軍需品市況鎢礦桐油因銷路減少價格反　回落五金煤油售價已漲百分之十
page 7	本港存米尚多足敷數月之用今年進口達四百餘萬担
page 7	一月份至七月份金銀進出口統計
