page 2	蘇日漁約問題
page 3	松岡之陳腔濫調
page 3	東京一幕外交舌戰格魯再度對日警告美國所注意者為事實與行動對於任何掩飾之外衣均不問
page 3	童軍總會發起新年勞軍運動
page 3	桂各界追悼死難軍民由李濟深主祭
page 3	汪銀行開張將濫發手紙
page 3	日機擾湘滇向昆陽衡陽投彈
page 3	日車橫行自食其果
page 3	孤島嚴寒凍死者逾百
page 3	日越談判本月下旬舉行越代表抵神戶
page 3	法籍神甫在日被捕傳與柯克斯案有關
page 3	中英文化協會救濟英雄難民
page 3	越南偽軍越境被我全部繳械泰法空軍仍彼此轟炸
page 3	國府明令褒揚林損
page 3	二衛合流後之南京周佛海爭院長未成前漢分子啼笑皆非
page 3	晉南日軍受重創圖犯沁源已被我擊退浙西我軍在京杭國道活躍
page 3	我江防部隊屢建奇功對長江日艦不斷轟擊最近傷沉者逾三十艘
page 3	華茶擴大市場向英屬推銷茶公司顧問訪英使壽景偉將南遊視察
page 3	中緬郵運將益加速雙方商妥逐日開班
page 3	華北各線日軍時被我軍襲擊日軍洩憤教士遭殃
page 3	東戰場新形勢一
page 3	美國紅十字會濟華藥物運到援華捐款成績良好迄今已達百餘萬元
page 3	吳鼎昌主席返黔據談川省建設長足進步渝筑沿路農產欣欣向榮
page 4	巴第亞爭奪中義軍防衛線被突破希總理表示繼續作戰非肅清阿境義軍不止
page 4	美以一千萬元貸與秘魯
page 4	美加速擴充軍備對英除租借軍用品外將盡量維持其商船隊
page 4	達爾頓主張加緊轟炸德國義大利氣勢已遠非昔比
page 4	希特勒演說鼓勵青年軍官
page 4	駐法美參贊將赴非視察探詢魏剛對美意見
page 4	墨副經濟部長受日賄賂案參院已提出控告
page 4	孰是孰非德軍集義之謎
page 4	美總統將批准菲憲法修正案
page 4	農民福音蘇發明人工造水
page 4	德運輸艦被擊沉一艘
page 4	坦吉爾問題英國極為重視將再向西提出強硬抗議
page 4	英後備兵將再有一批入伍
page 4	巴西在加將設使館
page 4	大島將重任日駐德大使
page 4	格魯快人快語
page 4	美駐義法大使均將赴任
page 4	阿比西尼亞人反義運動擴大
page 4	羅保交換人口手續完竣
page 4	美內長演說斥獨裁者對美與南美關係謀從中予以破壞
page 4	拉伐爾赴巴黎
page 4	現在中國和希臘人民在抗戰中所遭遇的一切痛苦正是預告光明即將到來的徵兆文明的光輝
page 4	庚塞演說斥新秩序瑞典決不受誘惑
page 4	羅總理暫兼外長
page 4	英報喜溢言表德國嚴守緘默
page 4	德國對法採懷柔政策拉伐爾隨亞培茲赴巴黎伯里農任法駐巴黎特使
page 5	粵南厲行經濟戰加強反封鎖及緝私家畜家禽均嚴禁出口對付廣州灣封鎖政策
page 5	薩本棟過桂談廈門大學近況遷長汀後漸趨安定明年擬設理工學院
page 5	陳嘉庚抵仰光望閩僑加緊捐輸以抵補閩省出力之不足批評閩政為對事非對人
page 5	中訓團粵籍團員十五日在渝入學
page 5	王應榆由榆飛桂赴粵商洽糧食問題
page 5	僑委會及教部公佈僑校立案標準港澳僑校改行新章各地依新標準辦理
page 5	桂林鱗爪
page 5	桂省劃定水陸驛運路線以船隻板車為運輸工具
page 5	四行總處辦沿海農貸並　　民改業貸款粵貸款額一千萬元
page 6	華南兒童教養會發動籌捐五萬元補助難童機關增收難童在華南設教養院二十間
page 6	分區警察監督改稱高級警察監督昨立法局會議席上通過財委會通過追撥政費三百餘萬
page 6	青記圖書館改選管理委員
page 6	名流發起之音樂會昨晚在半島舉行收入捐倫敦難民
page 6	兩文協舉辦名家字展八十餘件今日舉行
page 6	徐東白設研究畫院星期班報名者甚多
page 6	人才調協港站考取技工揭曉各專門技工共七十九名接到通知須赴該站報到
page 6	曾友豪昨晚作廣播演講
page 6	模型飛機協會昨開二次理事會定明年一月中徵求會員呈請中央及港政府備案
page 6	木協舉辦木刻研究班即日開始報名
page 6	反疏委會呈文被駁回
page 6	中青救護團演劇籌款由覺先聲劇團擔任
page 6	走私鎢礦改由澳門出口私梟循西江經中山運出更用大木船六艘以裝載
page 7	南華週年陸運會廿九日在加路連山舉行一萬米長途跑參加踴躍
page 7	小告山奴投奔九龍會
page 7	港九校際乒乓今日兩場
page 7	港澳埠際乒乓娘子軍大會戰今晚八時在中青會舉行門券收入撥振傷兵難民
page 7	學界籃球英皇大勝皇仁
page 7	外匯牌價俱無變更美匯沉寂申匯續淡
page 7	國幣市況續趨下游
page 7	股票市況堅挺賣戶堅持成交十萬餘元
page 7	四四金市依然沉寂
page 7	排球友賽記者敗於仿林
page 7	世界網球名手勃琪傳略二
page 7	全部健兒
page 7	大會職員
