page 2	社評美國有無參戰偉力
page 3	外部將發重要宣言決對德義宣布絕交昨已電令撤退駐兩國外交人員德義竟悍然承認汪逆偽組織
page 3	顧維鈞大使今日可抵英倫敦籌備七七紀念會顧大使等均出席演講
page 3	西南聯大考察川康礦產本月初首途
page 3	陳光甫過桂林談當晚赴柳州
page 3	重光葵抵美
page 3	日本態度決定今日將發宣言德使奧特又訪晤大橋
page 3	美國與歐戰美援與英航運馬廷棟
page 3	美加強太平洋防務並增設海軍根據地
page 3	陪都籌備七七慰勞
page 3	粵臨參會開幕討論經濟建設
page 3	韶關戰時畸形繁榮余長官下令取締奢侈生活孔可權氏繼任警備司令
page 3	美軍用品運華重建滇緬公路增進運輸效能美報均贊同拉第摩顧問聘華
page 3	虹口槍聲又一漢奸被殺
page 3	陝皖湘粵經濟建設積極發展陝漢惠渠已完成放水漢水流域正著手淘金
page 3	鄂南湘北浙東我軍捷報頻傳潮陽東南敵出犯受重創
page 3	文藝獎助金管委會舉行會議決定提高稿費籌設文化會堂
page 3	鄧寶珊眷屬殉難蔣 委長派員慰問
page 4	明斯克東德軍受創紅軍在新陣地作堅強抵抗蘇聯設國防委會史達林兼主席
page 4	蘇外次表示對德作戰到底直至希特勒消滅為止
page 4	美海長呼籲提防德陰謀在展望圖畫週刊撰文表示美決援助英國到底
page 4	諾克斯演講協助英航運
page 4	維希政府核准組反蘇義勇軍
page 4	英蘇代表舉行會議
page 4	中東英空軍不斷增強中美製新機源源增援英機加強聚利亞之攻勢
page 4	巴德羅斯基氏將葬蕭邦之旁死在紐約心在波蘭
page 4	羅國共黨多遭毒手五百人已被槍決
page 4	英新供應部長計劃擴充生產要求加拿大起而影響
page 4	前英航務部長談英航運前途損失建造比率相去頗鉅英國對美援助至為急亟
page 4	日陸軍省人事調動
page 4	瑞典內閣改組總理兼掌外長
page 4	桂林人口增至廿八萬人
page 4	古巴封閉義國領館
page 4	維希政府逮捕俄人蘇駐法大使已離境
page 4	對德義絕交
page 4	日將表明態度
page 4	悲哀與無恥
page 5	粵省指定三機關推進農業生產力求金融技術合作之配合協助鄉鎮合作社發展業務
page 5	桂省臨參大會繼續討論提案黃主席歡宴全體參議員
page 5	渝陷後的海豐一敵人偷襲汕尾的目的
page 5	西江下游各縣物價飛漲提倡停止吸捲煙
page 5	北平成地獄全城被毒化市民無米吃偽軍有槍無彈盜賊如毛
page 5	收容軍人家屬粵省舉辦抗屬農場工廠擬定辦法三項飭屬辦理
page 5	粵檢舉煙毒第二期行將完竣民廳令各縣詳報
page 5	大亞灣敵艦來往頻繁三門關貨艇又遭焚劫敵竄擾霞涌被我擊潰
page 5	粵各地糧倉次第完成糧局策動本年早造積穀今後糧食可免盈虛不調
page 6	一碗飯運動昨晚舉行成立會港督及各官紳熱烈贊助得款舉辦工賑救濟難民
page 6	航空協會總幹事陳慶雲過港赴星發動南洋僑胞獻機運動預定籌募購機款五萬鎊
page 6	余後賢氏昨晨抵港教育團體定期歡迎
page 6	昨晨大道中兩樓前座倒塌事前發覺樓中人多逃出瓦礫塞途巴士改路行駛
page 6	昨晨天文台宣布颶風吹向台灣昨晨渡輪八時始行開出港澳輪船今晨可人恢復
page 6	水雷三枚自行爆炸風浪部激脫鏈觸礁
page 6	當局嚴查入口防疫證手續不全不許登陸禁留原輪上載返原地因持偽證者續有發現
page 6	港汽車司機過剩近多返國服務或自行購置汽車出租或教授青年練習駕駛
page 6	新界上水賊劫農居失物約值四百餘元
page 6	馮儉生汽車輾傷八人
page 7	第五屆夏令籃球賽本月十日揭幕高初級兩組首週秩序昨編訂公布許讓成譚進主持特開球禮
page 7	南華會足球部主任有變動梁焯雲去志堅恐難收回成命曾靖侯函辭財委今日付討論
page 7	業餘問題別記中
page 7	葡籍足球名將大告山奴倦勤
page 7	單車比賽展期九日舉辦
page 7	星東捷報頻傳大勝華格聯隊十三比零創空前紀錄
page 7	夏威夷青年二百廿碼自由式創新紀錄
page 7	棒球投手十誡
page 7	卓雄杯賽摩托勝巧甡今日有兩戰
page 7	過去半年間港金融起落情形戰事蔓延匯市微受影響國幣一度慘跌後又回漲
page 7	華隊游泳預選六日舉行
