page 2	社評日特務機關又導演醜劇
page 3	充實廣西圍攻廣州馮副委員長檢閱部隊廣州附近大戰醞釀中
page 3	Ｘ機侵入嶺東
page 3	滬南洋醫院院長遇狙擊急中生智倖免一死
page 3	日調偽軍入關二萬人譁變均携有充分軍實投入我游擊隊中
page 3	長沙大火仍未熄湘各機關未依計劃撤退責任當局將受嚴厲懲處
page 3	歐亞公司增闢渝桂航綫
page 3	英大使謁蔣未負調解使命英報觀察今後戰局認對中國極為有利
page 3	滬南市大火
page 3	抗戰前途四重慶歸客時局談
page 3	日設興亞院昨日閣議通過一幕分贓嘗試
page 3	反對日獨佔中國美政府照會原文
page 3	Ｘ華南總司令古莊病發免職繼任安藤已到達廣東
page 3	Ｘ機狂炸西安
page 3	平傀儡勾心鬭角醞釀新偽組織擁吳佩孚派活動甚力最後辦法待東京決定
page 3	廣州市內可聞砲聲
page 4	英美簽訂商約含有軍事意義軍用品關稅豁免或減低兩大民主國聯合之始基
page 4	蘇紅軍機關報警告德國如圖東犯定予痛擊空軍出動以攻為守
page 4	捷總理哀鳴希洛維演說睦鄰外交盼割區捷人勿忘祖國
page 4	德對猶民敲骨吸髓罰款未納清不得離境英嚴重抗議德方誣陷德亦召回駐美大使
page 4	美又召回商務參贊
page 4	英國注意移居猶人
page 4	猶人協會呼籲制德
page 4	錫蘭總督ＸＸＸＸ
page 4	巴塔維亞善門不開
page 4	德實業團領袖桑根繼任對重工業經驗豐富
page 4	英供應部案否決邱吉爾稱空軍已落後張伯倫以為無此必要
page 4	粵漢戰局變後國際的趨勢我國不必要求歐美援助歐美為自助計當為我助
page 4	達拉第擬要求財政法延期左派各黨及參戰軍人一致反對代法律命令
page 4	埃女王生女
page 4	日封鎖長江覆文英政府無意接受與法美協商強硬對付對日謊言已忍無可忍
page 4	蘇格蘭會主張對日報復要求政府廢棄英日商約防止日貨侵入英殖民地
page 4	坦干尼加問題絕對不答應割讓要張伯倫再聲明
page 4	巴爾幹統治者相繼訪英
page 4	英輪運土案美財部判處罰金華人水手被扣留
page 4	分贜的醜態
page 4	英美的新局面
page 4	以華制華又失敗
page 4	齊亞諾明春一月底赴英波蘭亦邀往一行
page 5	上海陷落上週年各界發表沉痛宣言擁護領袖支持抗戰滬郊游擊隊蠭起
page 5	粵第五區電令發起汕民眾運動定期召開市民大會討論組訓宣傳工作
page 5	長汀各界熱烈歡送自動入伍青年二十五人奮起從戎
page 5	僑抗總會擬在港設辦事處
page 5	中央勗勉黨員民眾抱定最大决心努力堅忍踏實刻苦奮鬥猛進致力全面抗戰爭取最後勝利
page 5	張家口一封俄文信北雁南飛報道蒙軍萬餘反正
page 5	吳川強迫冬耕
page 5	陽江組戰工隊
page 5	川建廳擴充全川電信事業
page 6	本港新聞海陸空聯合大操演戰區域劃定包括薄扶林摩星嶺大潭水塘當局勗居民務須與軍隊合作
page 6	許世英昨赴錦田巡視營中難胞趕購大批餅乾麵包救濟收容難民激增亟需寒衣
page 6	英美商約簽字美運港汽車減稅由百份之二十減至十五
page 6	河港空航乘客擁擠
page 6	淩寶娟書展昨日開始
page 6	畫人陳天嘯在港
page 6	上海同濟大學德教授歸國過港據談該校現已向內地遷移臨別贈言對我國依依不舍
page 6	惠陽青年會
page 6	驗契稅契決本月底止截
page 6	江門蔬菜大批運港價格已趨平復但柴價仍極貴
page 6	中旅新劇今日演出
page 6	廣州嶺南大學假港大正式復課報到學生五百二十三人醫學院生復課尚有困難
page 6	檀島情話女公主與戰地記者
page 7	今日甲組足球聯賽米杜息逢戰海軍南華雛鳳迎拒士葛
page 7	女子潛水艇羅斯小姐創潛泳新紀錄成績三零三呎鬚眉減色
page 7	今日足球共十一場
page 7	下週聯賽因軍事演習十八塲改期
page 7	足球登龍捷徑
page 7	滬濱健兒競走熱烈
page 7	競走國手蔡正義等有意出山參加義賽
page 7	學界籃球賽英皇勝皇仁
page 7	滙價美菲荷德回漲申滙略緊售出頗多英匯仍靜美匯稍淡
page 7	日閥擾我金融膺造鈔票輔幣
page 7	八九金市略轉鬆弛較前回降一毫六仙
page 7	本週股票市情投機者沮喪畏縮股票市每下愈况Ｘ侵華南影響本港商業買戶日少開價疊趨傾跌
page 7	日閥積極侵我資源龍烟鐵礦又被奪取
page 7	剝削華工低減工資生產成本可輕一半
page 7	金條市尚盛
