page 2	社評為晉南戰事作一種呼籲
page 3	中條山完成反包圍日軍已被切成數段黃河岸日軍紛紛北開馳援東江戰事一段落淡水北全肅清
page 3	贛北我軍分路出擊南昌附近殲日甚眾湘鄂各線我軍均有進展
page 3	旅美一朝鮮人向羅斯福呼籲勿忘六十年前條約
page 3	美大使高斯訪王外長面遞國書副本
page 3	滇緬路金公債定七月初發行
page 3	蔣委員長謝絕獻旗並通令前方將領
page 3	參政會駐會委員舉行第六次會議
page 3	領袖軫念洛陽難民囑發十萬元施振
page 3	嘉獎馬步青馬步康
page 3	大陸報記者被義僑毆打義人竟有自尊心迄今諱言被控制
page 3	菲積極增防請美國加強援助美眾院通過兩項法案授權政府在菲島囤油
page 3	中國問題書目彙編英援華會著手編輯
page 3	巴達維亞談判停頓中日荷展開新聞戰日軍部機關報又肆意恫嚇荷蘭各報揭斥日報之陰謀
page 3	清華留美考試定九月間舉行本屆考選二十四名
page 3	荷印將實行強迫入伍制
page 3	泰國建築海軍根據地越亦否認接美警告
page 3	美對華輸出軍用品激增煙草羊毛則銳減本年度第一季之統計
page 3	日本船隻列入黑單洛杉磯英領館通告勿再與之發生關係
page 4	艾登外長警告維希英將採取報復對策如法作不利英之行動英將轟炸法非淪陷區
page 4	達蘭廣播謂不將艦隊交予任何人對德未占全法表示好感
page 4	伊拉克英軍進迫巴格達德軍在油田區建立根據地阿特里斥法援助伊軍
page 4	克里特島英德繼續惡戰德傘兵隊已獲有據點英艦協力防守德軍登陸失敗
page 4	孟買近事印人發生教爭
page 4	蘇德關係之謎有蘇對德再讓步說
page 4	孟席斯行抵紐西蘭與紐當局有所商談
page 4	邱吉爾氏報告
page 4	英德決戰大觀
page 4	美組特務艦隊保護美輪航行史汀生主廢除中立法堅持海洋自由之精神
page 4	英眾院質問希斯奔英事辛克萊曾多所闡述
page 4	美國加緊備戰推進民眾防衛人民保衛局主任發表談話
page 4	加拿大撥巨款助英資助在加購料三萬萬鎊供應品數十萬噸由加運抵英
page 4	義俘虜一批押解抵印義老將亦被俘
page 4	法國否認扣留美輪
page 4	英將對法報復
page 5	粵府進行招致港澳技術僑工將在某處建立僑樂村環境優美可容萬餘人
page 5	桂省當局會商救濟糧食問題決定加緊採購各地餘糧夏宗鈺盜賣軍糧判處死刑
page 5	嶺東戰役經過犯大脊嶺龜山玉窖日軍被我痛擊全部狼狽潰退
page 5	盜賣軍糧判處死刑
page 5	檢舉貪污運動本年暑期粵青年團策動工作利用青年學生深入民間宣傳
page 5	新加坡海岸砲台舉行實彈演習軍事當局招待記者參觀
page 5	曲江縣長李英談韶市治安建設問題
page 5	教廳積極救濟東江戰地員生惠陽退出者由東江臨中收容海陸豐方面由揭陽師範安插
page 5	暑期畢業考試須知
page 6	澳門驚人巨劫案孫院長公館被劫搜掠五小時始從容遁去財物損失計達三萬餘元
page 6	羅文錦促請發表移民局調查報告書但輔政司在立法局答覆仍認為在短期內難發表
page 6	後備警察積極加強出巡人數增加數倍經費開支亦見倍增
page 6	上書美總統簽名滿十萬今日為最後一日定下午十時結束
page 6	鮑少游個展昨日開幕葉恭綽主持剪綵
page 6	生產建設協會日內成立促進國家之經濟建設分企業服務研究等部
page 6	公平糶米委會停止增設代售米站聞係應零售米商之要求黑市米價日來又見上漲
page 6	衞生局議員周錫年為全港小販請命向市政衞生局提出質問超立社昨派代表晤華人代表籲請當局改善取締小販辦法
page 6	迷信業廟競祝爭競甚熱烈
page 6	防空當局亟謀改善燈火管制辦法組織燈火管制研究委會防空設備積極進行建築
page 6	倡食糙米當局請各醫護人員以身則首先食用
page 6	鉅商余東旋出殯概況
page 6	港府實施貯柴本月底貯至二十五萬擔年底可達一百五十萬擔
page 6	英軍官被控案罪名成立
page 7	今天棒球友誼賽中華迎戰港啤下午二時半在加山球場演出雙方實力雄厚預料必有激戰
page 7	南華第一戰二比二和華聯
page 7	華人游泳會今晚開水藝會比賽項目豐富必有看頭謝雨川致詞梁夫人頒獎
page 7	南華會水上游藝大會下月六日舉行
page 7	澳小球協會二屆職員產生
page 7	學界籃球昨日戰績
page 7	拳壇掌故小孩子最後的一戰下
page 7	星島女子籃球隊定下月七日征菲
page 7	華雄體育會新職員選出華雄會本屆職員改選正
