page 2	社評英美注意
page 3	美國發表嚴厲牒文抨擊日本侵略越南英外長宣言認遠東權益被脅
page 3	維希政府出賣越南自由法國永不承認高爾將軍總部發表文告
page 3	倫敦一般輿論斥責維希無恥
page 3	美國贈我霍亂疫苗
page 3	夏威夷檢查發往日電報
page 3	邊界若受威脅我必起而應戰我軍事發言人之表示
page 3	維希方面宣傳談判繼續進行
page 3	日向美交涉封鎖運河事
page 3	英美曾提保證越督漠然視之至最後關頭孤立無援
page 3	荷印態度鎮靜派兵守護油田預料日不致立即南侵
page 3	美將對日禁運東京股票跌價
page 3	孔祥榕逝世
page 3	戈思默赴北戴河避暑
page 3	英官方否認華維爾抵渝
page 3	日本否認蘇日沖突日向蘇提保證
page 3	福克斯返渝考察各地所得材料正縝密研究整理中
page 4	納粹空軍受創四次襲莫斯科不逞斯摩倫斯克空前血戰德第五師團全部擊潰
page 4	蘇對英國經濟援助表示相當滿意惟仍盼英採軍事行動英海空國襲擊德海岸
page 4	蘇聯決心保衛莫斯科列寧遺體無意他遷
page 4	一週戰況七月十八日至廿四日
page 4	充裕地方財源扶植全國佃農中央擬定詳密辦法
page 4	我克潛江近郊潮安城內大火
page 4	歐戰後的和平問題三新秩序與新世界六月二十五日牛津航訊
page 4	全國糧食庫券九月中發行總額三千五百萬石渝蓉召開擴大糧政會議
page 4	美又將指撥巨額國防費數達八十萬萬分撥陸海軍部眾議院將進行討論
page 4	秘赤糾紛未已兩國邊區竟日激戰秘指赤國首先開火
page 4	南洋華僑捐獻滑翔機百架正向總會接洽手續渝蓉兩地趕築機場
page 4	上海俄報義賣籌募紅會基金
page 4	種菸者戒沅陵槍決種菸犯
page 4	日司法大臣由岩村繼任
page 4	社教經費教部令各省市提高
page 4	蔣委員長電賀史達林相信反侵略國必獲勝利
page 4	美陸長正式提出延長軍役案並要求取消現役軍額限制
page 4	孤立議員惠勒竟圖破壞陸軍
page 4	美海部擬檢查海底電報將要求眾院通過法案
page 4	英國存糧異常充實不受航運困難影響
page 5	浙閩高等教育均有長足之進展學生增多皆富有朝氣教學認真設備尚完善
page 5	獎勵人民物資變價購取戰債粵勸募會訂定辦法推行
page 5	西江敵軍動態
page 5	第四年抗戰經過八
page 5	敵軍竄擾南路在江洪港登陸我正堵擊中梅菉安鋪又迭遭轟炸
page 5	中山敵軍抽調空虛
page 6	警方對發現反英標語認為非嚴重事件警察司謂此事尚在進行查究中政治部嚴查港非法團體
page 6	行政局會議討論官營米石政策立法局會議將發表聲明當局密切注意米貴情形
page 6	王正廷壽辰舉行歡宴政要名流盛會
page 6	一碗飯運動日來熱烈展開捐飯達一萬五千七百碗個人團體紛紛進行銷券
page 6	粵文理學院昨開始招生在知用中學報名
page 6	菜農自行售菜今晨開始營業自備貨車駛往新界收菜
page 6	一仙輔幣券仍感到恐感缺乏如有不敷即可加印
page 6	歐洲權威政論家暢談歐亞局勢日本徘徊歧路取巧投機吳爾甫氏最近經日抵港
page 6	防空當局即舉行白晝防空演習全部防空洞一月內竣工燈火管制演習成績良好
page 7	今午棒球大戰南華重逢中華聯會正式批准港啤退出聯賽
page 7	孤島體育談孤島遊客
page 7	星東足球隊九月初可抵港
page 7	體協會同人大會定月底開會報告財政辦理選舉職員事宜全年結算存款二千一百餘元
page 7	卓雄杯兩場均戰和
page 7	美路杯今晚有劇戰
page 7	全港男女學生游泳對抗下月十八舉行
page 7	樂斯杯籃球戰黑貓迎抗少雄初級譚進杯電青對童訊
page 7	勵進泳團下月對抗港大
page 7	外匯牌價俱無變更美匯申匯市況均淡
page 7	股票市況仍靜越南時局影響人心趨淡昨日成交總值四萬餘元
