page 2	歐戰第一年
page 3	越南情勢無新發展德法商妥阻日侵越
page 3	四川天主教徒電教皇呼籲請其秉天主公義領導援華制日劉航琛談川人絕不屈服
page 3	曲江安寧市容雖有毀損民眾意志益堅 
page 3	北平反英美運動近又死灰復燃晨報著文竭力從事煽動
page 3	交部存滬材料被攫我已向法提出抗議
page 3	湘青年團實行助農民收割
page 3	主計會議展期至明年二月舉行 
page 3	皖慰勞團在鄂前線備受歡迎事畢經洛陽返安徽
page 3	建設新重慶市長吳國楨氏表示復興工程十月開始
page 3	徐海各屬大水為災日軍交通斷絕
page 3	陝徵募寒衣明日起開始發動
page 3	中央設計局定於日內成立
page 3	陳嘉庚抵湘即往長沙一帶考察
page 3	粵教育經費較前幾增三倍
page 3	鄂西日軍受創皖中克襄安鎮 
page 3	節約建國儲蓄勸儲委會渝分會後日成立
page 3	泰國近情錄
page 3	滬日憲兵又在租界捕人
page 3	德輪在浙海被日艦砲擊未達目的地即折返上海
page 4	在德義導演下羅匈糾紛解決匈牙利果如願以償羅馬尼亞再度割地
page 4	英國發明新式飛機偽裝雖被控照燈射中地下仍難以發現
page 4	美議員畢柏主張美澳聯防當局對此正悉心研究參院通過擴軍計劃最後一部
page 4	蘇海軍演習成績發表海空緊密合作
page 4	民主精神英首相邱吉爾遵守防空紀律
page 4	日新體制組織大綱採取所謂二元制度組織兩個龐大機關
page 4	赤道非洲法屬地響應擁護高爾高爾廣播策勉嘉許 
page 4	非洲英軍採取擾亂戰略義轟炸機依然活躍
page 4	德對波蘭實行同化一切重要廣場街道概以納粹人名冠之
page 4	獨霸的一幕
page 4	羅匈糾紛解決
page 4	美國與加拿大
page 4	德機集中轟炸英倫工業區並曾一度侵入倫敦郊外
page 4	德國極力阻止羅匈發生戰爭
page 4	蘇聯提出抗議嚴重警告羅國
page 5	中山我軍出擊昨晨克復白蕉鄉復興軍旅長陳偉民反正三灶島日艦尚企圖再犯
page 5	中山民眾踴躍勞軍
page 5	教部推進醫學教育酷熱中開醫教會
page 5	西康日記一五九第八編九龍見聞 
page 5	星洲華僑籌辦圖書館舉出林文農等籌備
page 5	桂省嚴緝邊境走私
page 5	人民的宗教
page 5	土地與稅收
page 5	澳門教育會改選理事梁彥明等當選
page 5	本年普通考試考試院放榜初試及格人員二六三名
page 6	各僑校開課在即學生人數較前減少學費高昂貧者難以應付領證書回國升學者甚多 
page 6	僑委會修正僑校立案規程創設僑校均須依照辦理
page 6	荷女皇壽辰駐港荷領事館停止官式慶祝
page 6	港越線輪改航港星傳太平洋輪被扣不確
page 6	東華三院今日賣花籌款
page 6	學生振濟會促進滑翔機運動各青年團體昨舉行談話會毛邦初覆電致謝慰勞
page 6	霍亂症蔓延甚速已達三十宗
page 6	郵局假期辦公時間
page 6	遮浪燈塔海面兩貨艇途中遇劫由本港出發擬駛入內地兩艇損失貨物達萬餘元 
page 6	佛山輪九月二日返港
page 6	港財委會追撥振濟難民費二十八萬餘元各非官議員曾提出質問司徒永覺解釋難民現狀
page 6	文化協進會理事今日會議籌備舉行年會
page 6	深圳日軍封鎖邊界南頭機場完成
page 6	韓美頓談新界關卡係臨時性質
page 6	本港與廣州灣各輪照常往來廣州灣當局准貨物運輸恢復港越航運在談判中
page 6	黃耀東靈樞今日出殯葬沙田裕昌別墅側
page 6	華商籌振會籌備恭祝國慶小組會負責辦理
page 6	糧食統制專員
page 6	帝航機
page 6	兩工程師協會
page 6	駐滬英軍眷屬
page 7	國際棒球比賽今日作最後決戰美國隊由愛殊和艦代表出場下午三時在嘉山會師葡萄牙
page 7	夏令籃球知行敗於民大
page 7	首次足球義賽提前八日舉行東南對抗軍聯人馬在遴選中東方養精蓄銳準備對付星島
page 7	足球季將開始東方球員動態李德棋將有遠行李義臣日內返港
page 7	三角游泳競技中青獨佔鰲頭南華得亞軍華人居末席
page 7	紅籃體育會今日出片澳門
page 7	鐘聲游泳團定今日征澳
page 7	美菲荷匯牌價不動英匯沉寂申匯趨靜
page 7	八九金市依然堅穩
page 7	股票市況穩定成交數量仍難增加  
page 7	國幣市況昨趨穩定
page 7	滬外匯市稍穩但靜
page 7	星島歸鴻
page 7	體育的廣汎觀點英國里特體育大學校長邁喬上
