page 2	社評美對日外交硬化的趨勢
page 3	美國政府揭露對日將施報復行動即提出議會作最後決定英正考量同樣報復方法
page 3	英正考量辦法
page 3	英美與論讚揚
page 3	美致日照會全文
page 3	轉趨強硬由來因日歧視美商刺激甚深覆牒蠻橫更促成美决心
page 3	吳鼎昌昨日奉召抵黨渝
page 3	國府命令褒卹朱壽彭
page 3	周作人在平遇刺受傷
page 3	恢復東北正統東北人士一再建議中央對此將予採納
page 3	行政院會議八省參議會將展期成立商船專科學校積極籌設
page 3	Ｘ處境日困一時尚難大舉我某長官親巡視前線從化有激戰仍對峙中
page 4	法揆抵柯錫加發表演說力言團結柯人表示效忠祖國
page 4	突尼斯城準備歡迎
page 4	吉薄堤港抵制義貨
page 4	德義兩方密切注視
page 4	英籌備總選張伯倫已返倫敦將有新政黨出現
page 4	天涯咫尺倫敦紐約間無線電傳影
page 4	德國貧乏勞役徵及婦女
page 4	滬津電報不通
page 4	滬租界警備車中途被匪射擊
page 4	諾曼赴德回拜沙赫特將訪謁希特勒
page 4	Ｘ在淞滬建築要塞平墊工程拉夫三萬人意在切斷滬租界交通
page 4	法蘇商約延展一年
page 4	德報討論英德海軍協定並無與英競爭之企圖祗係實踐條約所規定
page 4	義法西黨召開緊急會議
page 4	德猶太難民撤退問題將討論
page 4	美聯邦海委會建造新式商船隊十年之內建造五百艘首三十艘二月下水
page 4	中宣布政治部發重要聲明汪光銘達反黨紀抗戰前途無影響
page 4	英領事被西叛軍逮捕
page 4	英駐義大使潘思四月退休因年老久有引退之意將由駐土英大使繼任
page 4	Ｘ重傷兵由滬大批運回
page 4	英海軍軍官要求建中型驅逐艦應付德國增築潛水艇海軍專家白華德著文
page 4	Ｘ侵華費五千九百萬鎊
page 4	龍雲向中央報告汪兆銘離滇經過渝電謂汪現仍在河內外傳渝謠言證明不確
page 4	僑胞一致聲討
page 4	英對汪不重視
page 4	Ｘ政局動搖近衛交提出辭呈平沼繼任呼聲高
page 4	超漢奸的謠言
page 4	Ｘ國政局不安
page 5	丘譽電振委會請撥救濟費十萬元輸惠屬災區工賑農貸救濟方案大廳共分五項
page 5	粵省府將委朱暉日兼保安處長縣長人選亦多更動
page 5	Ｘ人屢次襲擊中山難民逃　　唐家灣等地達數萬區長勸諭還鄉禦　
page 5	黃任寰抵興寧檢閱東江各團隊傳黃將任集團軍參謀長王俊調中央某重要軍職
page 5	瓊海走私猖獗稅警與私梟激戰中海截緝斃匪四名文昌緝私發生糾紛
page 5	勒流殉職鎮長廖叔鸞遺骸未獲順德團隊隨時襲Ｘ西江一帶近尚平穩
page 5	澳門當局限制業主加租
page 5	瓊山救濟難僑
page 5	定安米價暴漲
page 6	以Ｘ貨冒充國貨最重者得處死刑華商會昨奉僑委會訓令規定七七為建國紀念日
page 6	港學生救濟分會昨分三處辦理登記救濟辦法業經擬定
page 6	廣州香港通航目前已難成事實Ｘ雖打通另一赴省航線Ｘ雖打通另一赴省航線廣州仍為死市無人乘搭
page 6	小朋友熱心愛國
page 6	華人代表羅旭和等覆入口貨行請求對展緩出貨事允予協助
page 6	英賑募損委會明日常會
page 6	一元還債到行交款踴躍法人亦赴捐款
page 6	僑港各行工會表示决擁護中央記者工會宣言斥汪謬論
page 6	更換本年度車輛牌照
page 6	中山縣中學在港澳復課
page 6	英荷暹菲瓊僑大會定二十日舉行
page 7	遠東網球錦標賽許承基決定參加李惠堂擬于賽畢後邀請來港舉行網球義賽籌款賑濟難胞
page 7	籃球裁判會召開周年大會定期本月六日在青年會舉行將商計各方提案及修改章程
page 7	英國足球甲組賽結果
page 7	籃球基本技術美國威爾土作安尼譯
page 7	梵恩斯談網球生意經預料勃琪財氣不壞
page 7	週末足球星期六
page 7	女子籃球今晚三場
page 7	美菲荷匯價稍縮英匯沉寂美匯略緊申匯市況俱屬平靜
page 7	八九金市艄形堅挺上漲二毛四仙七五
page 7	元旦假期後人心多渙散股票市況平庸全日成交數量有限僅低價股價格略漲
page 7	過去一年內本港金融動態
page 7	桐油市盛
