page 2	社評惜別詹森大使
page 3	皖北我軍克復渦陽豫南各路繼續挺進蘇浙加緊反攻開到大批勁旅
page 3	英國空軍陸續增防馬來北部湯瑪士申言準備打擊侵略
page 3	對日在泰陰謀英益加注視澄田赴曼谷企圖不明泰越休戰協定展期
page 3	如此國花日人主張大伐櫻樹以救濟國內燃料荒
page 3	美參戰可能義報如是觀察
page 3	孔祥熙氏電謝英工合會甘工合運動進展極速皖設合作產品推銷所
page 3	衛各界歡送榮譽軍官並贈錦旗及紀念章
page 3	歐戰通訊之十六封鎖中的戰時法國一
page 3	巴拿馬商船被日艦刧去
page 3	滬租界工董日主更改選制英美極力反對
page 3	汪黨在滬籌組商會謝筱初被綁係煙募作用
page 3	日內閣向議會提出補充預算預算總額愈見龐大公債發行額創新紀錄
page 3	日報狂言向美挑衅
page 3	出錢勞軍運動甘陝晉各地獻金競賽情形熱烈成績均可觀
page 3	我在桐柏擊落日機殘骸運後方展覽
page 3	臨湘義民活捉日兵當局予以嘉獎
page 3	控制商航已向議會要求增加海軍權力
page 3	行政院會議決派員視察運輸情形
page 3	贛商開辦商業銀行
page 3	我高級軍事長官視察滇邊防務白副總長談我搜獲秘密文件確悉日人陰謀即將發動南侵
page 4	英美方面盛傳納粹旣將侵保并傳德便衣隊已開入柏林猶作強調否認
page 4	非洲各戰場空戰轉激烈英機出動協助作戰的黎波里夜襲成功
page 4	古今戰爭中之希臘三
page 4	英機復活躍轟炸德工業區及法沿岸德機轟炸冰島首府
page 4	澳總理在非視察戰區現已返開羅
page 4	德義西三國又將舉行會議佛哥桑納抵法轉赴義境貝當委達蘭為承繼人
page 4	霍金斯返美飛抵里斯本談在英印象極佳
page 4	美凍結外國資金四十餘萬萬其中法荷兩國最巨美眾院通過舉債最高額
page 4	英自治領空軍抵英增援自治領大臣謂至達恰正及時
page 4	華盛頓發生自殺案案情研究中
page 4	參院通過使節任命
page 4	英國准備應付毒氣
page 4	邱吉爾首相之廣播英自治領反響良好
page 4	英羅斷交
page 4	佛朗哥之行蹤
page 5	梅縣南洋華僑互助社向海外僑胞呼籲希望踴躍輪將回國投資建設堅定抗戰信心加速最後勝利
page 5	中國抗戰之偉力二
page 5	湘限期劃一全省度量衡
page 5	吉隆坡華僑振濟桂南義胞
page 5	南路推行新縣制加強徵收機構嚴厲緝私
page 5	改良馬種桂林良豐鎮添設配種所
page 6	留港參政員準備赴渝行期未定此次會議日期或將更改美僑工代表黃炳舜將抵港
page 6	商會昨舉行值理會請當局救濟柴荒遏止漲風購辦柴薪來港調查供給狀況規定柴價
page 6	桑普爾談自由法國運動目的為爭取法國之自由遏制納粹德國野蠻勢力
page 6	自由疏散登記迄今不足五百人中以葡人為多華人甚少郵局已交回各機關續辦
page 6	人才調劑協會港站資送技工回國連同眷屬共計四十六名轉知各廠酌予較優待遇
page 6	酒樓職工博愛社
page 6	回教訪問團影展會今日舉行
page 6	港鯊輪未準備復航港星兩地被遞解出境犯千餘人亟待解往鯊魚涌
page 6	收音機購入零件化零為整負責當局極為注意
page 6	東華三院新舊總理今日交代
page 6	二批回桂僑民最近期內啟程桂省振會通告限期報到本月十四日起十八日止
page 6	本港美領事館簽發新樣護照轉換新照不須納手續費六十日後舊護照即作廢
page 7	澳門隊首戰敗於東方今日對抗南華客軍昨電澳邀請救兵主隊決以甲乙混合人馬登陣
page 7	澳聯隊一比三敗於東方隊
page 7	戰運會在前線三
page 7	二屆越野跑下月舉行路線略有更改
page 7	宋靈聖冤情待白緊急會週末開審
page 7	大公小球隊戰和雅海黃緻華挽和局
page 7	協會籌委會議商討招待緬華球隊到港問題先函總會商定賽期
page 7	我國拳王揚威菲島
page 7	美菲荷匯牌價續漲申匯市況略趨好轉
page 7	國幣市況復略堅挺
page 7	股標市況仍靜昨日成交總值四萬餘元
page 7	四四金市先靜後淡
