page 2	社評日本侵略之末路
page 3	綏西我軍又獲勝利克復臨河迫近五原日西侵迷夢粉碎殘部潰退包頭外籍記者視察揭破日方之讕言滬日軍宣稱將再度侵擾浙東
page 3	東山島激戰中長江日艦多艘續被擊傷
page 3	豫北擊潰日軍晉南衝入鹽池
page 3	魯省日軍出擾被我痛擊潰竄
page 3	希特勒的陰謀
page 3	海內外各黨部紛紛通電討汪
page 3	民族的同情臨汾日軍鮮籍翻譯官援救被捕五青年脫險
page 3	日機炸滇越路法態度堅決對此事如不獲得解决法日商約將不予續訂
page 3	駐華英使館遷渝問題英眾院將提質問
page 3	被擊落日機運昆明展覽
page 3	渝慰勞團在桂林獻旗後轉赴韶關慰勞
page 3	國府明令褒揚陸榮廷以示篤念舊勳之意
page 3	日大佐山本在桂南被我擊斃
page 3	達賴坐床大典渝市準備慶祝已成立籌備處主持一切
page 3	滬蘇領館昨已恢復辦公
page 3	炸漢中義教會確係日機義傳道會正式證明
page 3	日方開放虹口企圖如此想造成特殊繁榮賭窟將先行遷入
page 3	西藏各寺喇嘛祈禱抗戰勝利吳忠信蒞寺擴大佈施藏民對中央深感德意
page 3	南洋慰勞團下月初首途返國渝各界籌備歡迎
page 3	郭大使演說歐亞戰事不能劃分對英關係同等重要
page 3	滬日本米販齋藤失蹤日偽搜查七寶鎮結果竟捕去多人
page 3	贛省府改進文化事業將開文化事業會議
page 3	海外各地黨員總調查中央督促加緊辦理
page 4	美政府所獲情報日經濟益窘迫英報認日侵略無前途政治進攻亦絕難得逞
page 4	對日禁運前先援助中國
page 4	眾院海委會通過造艦案
page 4	日對菲律賓野心畢露欲以菲為對美外交工具猶人移菲日竟感威脅
page 4	西園寺病篤目睹政局危殆實為致病之因
page 4	日議會雜景武藤怒目議員恐懼三宅主張囊括南洋
page 4	倫敦日記六一月十六日劍橋航信
page 4	德宣言轟擊美輪美極表憤怒畢德門目為非法恫嚇將來責任仍由德負之
page 4	德國正式拒絕美洲國家抗戰
page 4	德法砲戰
page 4	傳蘇德兩國簽署軍事協定倘戰事擴大即付實施蘇在土邊境建築工事
page 4	義國防會議閉幕動員全國計劃完成兩級兵員奉令入伍
page 4	蘇芬連日鏖戰芬軍有不支勢曼諾海姆外圍陣地蘇軍佔領若干據點
page 4	羅斯福出遊此行用意諱莫如深
page 4	希特勒將晤韋爾斯齊亞諾接見美大使
page 4	綏西獲勝
page 4	反面文章
page 4	如此憲治
page 5	日軍侵擾古井獨洲三埠積極備戰中沙堆戰事猛烈雙水斗門吃緊我軍反攻江會牽制日軍後路
page 5	潮汕日偽軍反戰潮高漲到處發現反戰宣傳標語日軍不服水土死亡眾多
page 5	粵春禮勞軍情形極熱烈李主席主持揭幕禮各界送禮踴躍參加
page 5	星洲限制外匯鬆復轉緊限額突降至一百元
page 5	清佛花三縣災情慘重余漢謀撥款撫慰粵北民眾益強化
page 5	粵北戰利品運韶展覽
page 6	財委會昨開會通過追加預算案適應中日戰爭期內本港需要追加五十五萬八千六百餘元
page 6	司徒永覺夫婦昨參觀保康院對該院之發展極為讚許勉勵辦事人為社會努力
page 6	青年獻劍慰勞團將回港重訂旅程滇越路被炸短期難修復該團辦事處昨舉行會議
page 6	陳海鷹畫展義款經已匯出
page 6	香港廣州灣線各船公司恢復原價下月一日起實行仍打九五扣
page 6	世界語學會開辦初級班另設立中級讀書會歡迎世界語者參加
page 6	許世英昨晨乘機飛渝
page 6	立委鄭洪年由渝回港談話
page 6	興中華劇團今天日戲八仙賀壽
page 6	廠聯理事會議三屆國貨展覽義賣款項分捐重慶慰勞金等四份
page 6	港九教聯會日內入稟港督新例不改不能安心辦學稟章即草並加新意見
page 6	美駐華大使詹森昨離港赴渝
page 6	難童工藝院換物會今日最後一天
page 6	各廠駐星代理電港織造品停止運星限制數額已滿禁止入口在途中者恐將原船退回
page 6	中青救護團女團員定期出發第九第十兩隊前往桂粵定今日請孫科夫人授旗
page 6	出版消息
page 6	學生賬濟會第三團招考戰地服務員
page 6	學界消息
page 7	華聯西貢足球賽改定明午開戰臨別表演預料場面必緊凑越隊征澳昨午凱旋歸
page 7	會隊人選問題幾封公開信願大家上陣努力抗戰予客隊利害顯出本色
page 7	跑的藝術中距離和接力
page 7	埠際足球大戰滬勝港別記二比零獲得本屆錦標
page 7	南華會發起學界陸運大會
page 7	申匯暹匯牌價略漲其餘匯價俱趨縮英匯市況靜穩美匯續略趨緊申匯市況續淡銀行買賣頗多
page 7	昨日股票市況漲勢稍戢但人心尚多趨好
page 7	桐油價漲成交逾百萬元
page 7	八九金市昨日仍無交易
