page 2	社評汪兆銘的正體
page 3	我軍反攻續有進展石岐附發生戰事廣州河北Ｘ軍大部在撤退中
page 3	陝各界紀念七七Ｘ俘虜全體參加組反戰同盟會發表演說詳述日本軍閥侵華罪惡
page 3	汪逆宣傳之末路中華日報全撕毀滬全市報販愛國情熱
page 3	湘北失學青年百餘名抵長沙
page 3	蘇聯報紙讚我抗戰成功中國人民之偉大戰鬥具有最大的世界意義
page 3	國際婦女參政協會在丹舉行年會蔣夫人馳電申賀
page 3	渝郊外住宅區四行撥欵興建市當局計劃統制糧食
page 3	艱苦奮鬥中之收穫何應欽在七七紀念會中報告
page 3	一個Ｘ兵的轉變訪中山泰德
page 3	晉東南在轟炸下民眾仍加緊生產到處開新戰士歡送會
page 3	蒙滿邊境兩軍對峙中日方又作虛偽宣傳
page 3	漢口偽市長向法租界恫嚇要求釋放被拘漢奸
page 3	報界之光干季芳君敢言橫遭Ｘ方殺戮
page 4	德國故張聲勢大軍集波邊境張伯倫將發表演說重申英國對波義務
page 4	我抗戰影片在法公演各界名流發表演說譴責日本對華侵略
page 4	對東京談判提案陸外兩省不一致各地反英運動愈劇烈英報論範圍不能擴大
page 4	日本的賭注
page 4	土國民大會通過政府國策外長沙拉育魯發表演說決與各國維持正常關係
page 4	南國攝政將訪問英國
page 4	英德空軍在比表演德機一架失事
page 4	汪逆的新窟上海王伯羣的住宅被改建堡壘式建築
page 4	敘利亞成立管理委員會開始執行職務
page 4	西兵工廠爆炸慘劇死傷三百餘人村落被毀一半
page 4	馬來對我同情各界發起廣善博覽會門票收入救濟我難民
page 4	國際農會昨日在匈開幕三十八國參加
page 4	英擴充潛艇改良設計注意安全
page 4	又來改組把戲
page 4	英法蘇談判
page 4	撕毀中華日報
page 5	順德Ｘ增千餘中山沿海加緊戒備疊石全祿前晚發生激戰Ｘ機Ｘ艦昨擾石岐金鐘
page 5	增從線上政治進攻工作的開展
page 5	叠石鄉之碉堡粵省府激勵公務員精神開朝會及小組會
page 5	瓊崖報捷Ｘ軍被殲漢奸授首
page 5	粵兒童教養團三團長陸續委定
page 5	徐景唐等抵韶省營工業清理會章程通過即將成立
page 5	海康疏散人口
page 6	皇仁與英皇兩校有將改制說教育當局刻正考慮施行並擬將視學員人數增加
page 6	已有百餘僑團繳回紀念花欵共計港幣四千九百餘元尚未繳交者須從速辦理
page 6	華商會華商總會所屬各會員團
page 6	倫敦援華會派遣醫生來華基治任遜柏克三醫生已赴貴陽參加紅會工作
page 6	賑聯會賑聯會財務組收到各僑
page 6	中國建設工程學校土木科生報名踴躍我國工程人材素感缺乏
page 6	中華救護隊派隊赴廣九線全隊二十九人昨日出發在天堂圍等處設救護站
page 6	華南華南中學定于今日上午九時
page 6	小販義賣現已籌備完畢日間當可發動
page 6	北平來客談周作人附Ｘ代價僅為百元校長院長好夢均未成兩青年行刺未中要害
page 6	狙擊案死者名黃硯山警探拾獲手槍
page 6	干諾道段兒童會成績甚佳昨晚正式開幕由富勵士主持來賓甚眾
page 6	山頂區匪徒活躍
page 6	南華游泳場一青年慘遭溺斃被不善游泳者緊抱所累另一人以水泡繫臍下幾遇險
page 6	華南紡織界油畫及圖案昨預展
page 6	謝公展畫展今日起任金陵舉行
page 6	工合促進社今日舉行茶叙
page 6	五分鍾胃痛粉
page 7	足球總會開年會下季職員昨產生各小組委員待開第一次常會後選出增修三項會章亦均獲通過
page 7	協進會水球賽今夜開鑼六時半南華甲對華人甲在北角南華游泳場舉行
page 7	溫布爾頓男單打六十三年總賑創自一八七七年夏間歐洲大戰曾停頓四年
page 7	新職員題名
page 7	雲衢杯小球小北角勝仗
page 7	夏令籃球賽十隊參加十五開代表會
page 7	南華遠征在棉蘭和棉蘭聯隊三比三馮景祥連中三元經過十四戰得四十九球
page 7	昨夜水球域多利大勝西青
page 7	德人馬比格八百公尺打破世界紀錄
page 7	外匯牌價仍無變動各銀行多拋出申電
page 7	股票市況仍靜成交數量稀少總值僅六萬三千二百元買戶視線集中有限數種
page 7	倫敦孟買銀市銀價再暴跌市氣不振已達於極點印商投機家乘低買入
