page 1	社評論改善進出口結匯新辦法
page 2	新政院今日首次會議各部會首長名單公布顧孟餘任副院長王雲五長財部其他各部會大多數由舊人充任
page 2	關於新舊交接事宜總統昨天頒發訓令政院各部會首長除連任者外須俟新任到職始能解除職務
page 2	總統府人事昨明令發表
page 2	結匯證明書使用辦法
page 2	籌委會昨開會研討監察院長互選辦法仍將推於右任作院長
page 2	白崇禧新職調任戰略顧委會主委並兼華中剿匪總司令
page 2	立院六次會議今日上午舉行
page 2	陳誠赴滬
page 2	配合外匯政策的實施貿易新辦法即公布對港匯將視同外匯管理
page 2	滬各指定銀行結匯昨天約達百萬美元進出口業期待出口好轉
page 2	越境捕魚日輪由我艦解抵滬
page 2	陳立夫昨飛美
page 2	陳布雷代理中政會秘書長
page 2	短期國庫券在滬證交開拍上市
page 2	北平通信行政院長決定後的北平
page 2	從化溫泉興建水利需款四千餘億經已開工完成後可灌農田七萬畝
page 2	華南五省與台灣交換農業物資
page 2	港商界採保留態度認為新辦法只是治標的目前可能發生三種影響
page 2	穗金融市場起反應商人多將外匯拋出結匯新辦法公文未到穗輸管當局暫停辦理手續
page 2	熊式輝抵台
page 2	滬生活指數職員廿八萬五千倍工人卅三萬七千倍
page 2	蘇大使羅申今呈遞國書
page 2	蔣夫人並無赴暹準備
page 2	國軍放棄泰安肥城承德仍緊援軍在途鄂中江陵監利間有戰事
page 2	粵穗徵兵困難重重官感頭痛民覺騷擾卅七年度交兵期六月底屆滿但徵集起的新兵還不到半數
page 2	穗市舞禁展至九月執行
page 3	經濟復興來勢兇猛日政府決定大舉造船國際貿易範圍擴及英鎊區域東京工商總會準備推銷日貨
page 3	對日和會召開無期美國對此不感興趣英外部助理次官在美洽商表示英國不贊成日本復興
page 3	曼谷通信僑教的厄運續昨
page 3	日重要戰犯四人被判罪
page 3	日私營鐵路工人將罷工
page 3	蘇聯軍費比美國多美國準備並不太夠美陸長羅耀這樣說
page 3	捷克普選揭曉人民陣線勝利
page 3	貝爾納斯演講美蘇應該談判
page 3	有些國家侈談戰爭其實沒有一國能打聯合國世界雜誌的看法
page 3	美紀念國殤杜魯門談和平
page 3	蘇報批評美外交說美統治階級困窘失望對蘇和平建議手足無措
page 3	軍事代表團要大量出口美政府促參院通過
page 3	美援歐款項又撥了一筆
page 3	英廢止死刑案上院今天辯論
page 3	芬將與蘇談判減少賠償數額
page 3	遠東經濟會議開幕會場在印度烏達卡曼德十八國代表百五十人出席
page 3	美國大水西北各州河流泛濫農田被淹交通斷絕
page 3	東京食客為鰻魚招魂曼谷警察冒犯了上司
page 3	荷蘭破壞協定印尼予以指摘
page 3	安理會再呼籲後猶阿無意停戰雙方都曾開會商討覆文猶太廣播要求蘇聯援助
page 3	蘇聯原子科學發達兩兄弟得了史達林獎金他們發明大量次原子分子
page 3	居心排華還要狡辯暹教育部長談話強詞奪理企圖掩飾壓迫僑教的陰謀
page 3	巴伐利亞選舉社會民主黨佔優勢
page 4	華商總會今發選票監選員分十組輪替辦公共將發選票三六○三張
page 4	對於發售廉價米事米商總會有所解釋
page 4	華商總會幹事值理及監選員合影
page 4	余達之在英宣布香港將種植生薑英紡織機器求過於供
page 4	市政衛生局遷移鑽石山墳場
page 4	六月十日英王生日千餘軍警參加檢閱
page 4	張書旂抵港
page 4	海軍船塢工人領三期救濟金
page 4	織布廠請工貸只有一家獲准許多布廠工人常常無工可做
page 4	判罰造紅丸者高特主張從嚴審紅丸案時藥氣滿法庭
page 4	警局掃蕩灣仔連破私寨四處
page 4	高庭審海蜂特務隊選來選去都是女陪審員
page 4	匯豐九龍分行警鐘無故大鳴
page 4	皇后碼頭附近海面漂流女屍
page 4	赤間槍戰殉職警士趙河清昨出殯麥景陶等都親自送殯
page 4	福源米店被劫案同樓裁縫有嫌疑當場被捕一人在警局認罪
page 4	香港雨量的競賽上一週大有起色
page 4	西營盤劫案一疑犯審結
page 4	只剩國幣六千元高松昨跳海獲救
page 4	元朗巴士劫案破獲警局拘三疑犯並搜出左輪槍兩支子彈一盒
page 5	進出口結匯新辦法影響下國幣內匯漲風淩厲年來市場稀有現象在港逃資紛紛回調搶購出口物資
page 5	印鈔減少事出有因改革幣制查無實據
page 5	有關當局解答改善結匯辦法影響並說明新制度優點有自由外匯的好處而無其缺點進出口外匯等問題都可望解決
page 5	論美援與外匯政策
page 5	黃金昨報降美匯也回軟西貢紙頓呈熱鬧股市匯豐創高價
page 5	港府減低棉紗公價廿支中紗一三○○元廿支日紗一三七五元
page 5	資委會特種礦產管理處收購民間鎢砂期限為六七八三月價格每噸三億餘元
page 5	霍主委談兩種精神
page 5	英國經濟危機影響港金交易
page 5	廣州物價一致回降汕米漲油紗跌布穩梧桐油豆紗布上揚
page 6	公開網球賽恢復雙打一場明天決賽賽後舉行冠軍頒獎團體聯賽今天兩場
page 6	陳英郎飛滬轉京郝更生赴菲勸募
page 6	傑志南遊月底出發
page 6	足球總會修章聯會提供意見
page 6	兩女籃球隊擬聯合征穗
page 6	報復一箭之仇世運隊將再戰星聯當地球迷代排世運隊陣容同時醞釀一場元老慈善賽
page 6	世運足球隊抵新加坡在機場接受當地華僑郭小姐獻花後全體合照
page 6	集訓營側寫
page 6	新加坡歸隊記對星聯一戰久攻不下被判十二碼球太冤枉
page 6	南華體育會南灣建泳場
page 6	奧勃萊昨晚抵平
page 6	世運籃球隊定期表演
page 6	香港教師會籌設中文部擬定章程及登記表徵求期限展緩七天
page 6	青年會九龍支會決定復會預算案盼外界捐贈圖書傢具
page 6	游泳選手決定赴穗
page 6	我世運球隊勝吧城選手獲得第二次勝利
page 6	中山大學學生紀念五卅
page 6	合興國技社革新社務
page 7	開平捉賭出了命案一人被擊斃兩人受槍傷捉賭的警察被包圍繳械一警官被民眾押送法院
page 7	演習不利砲打自己
page 7	點春堂中看鬥鳥江浙各鳥場名將集於滬九百隻鳥打了五個鐘頭
page 7	不能演說便發脾氣台山慶祝總統就職會中青年黨代表無發言機會大會道歉後怒氣纔平息
page 7	為反美扶日吶喊廈門學生冒雨遊行大雨中二千餘人沉著前進不斷高唱團結就是力量
page 7	台北火車失火市民聞訊震驚光復橋頭次日仍冒烟火橋上掛手臂溪邊陳死屍
page 7	小學生俯身拾帽便衣人踢斷其骨
page 7	鄭毓秀路台灣省府築成
page 7	法官之家被劫匪徒請吸香煙還說也曾做過公務員只要金子不肯要鈔票發生在福州的事情
page 7	澳門近事
