page 2	打回南昌
page 3	南昌奉新激戰正酣我軍奮勇回攻戰情甚烈新會江門鏖戰屢創Ｘ軍
page 3	花縣前線視察男女同胞武裝起來協助防軍保衛家鄉
page 3	粉嶺難童百餘人抵韶關
page 3	英商輪船在汕海被Ｘ檢查
page 3	Ｘ俘自供認我必獲勝利
page 3	全面戰爭與全面戰術一白主任在福州講演
page 3	國民參政員任期延長一年會期改六個月一次
page 3	傷病將士踴躍獻金救國
page 3	彭逆東園被Ｘ槍斃陳逆覺生將出醜
page 3	豫參議會五月一日召集
page 3	我軍英勇出擊英報亦著論稱讚
page 3	滬日人剖腹純係無賴行為滬Ｘ領對外商報紙向工部局再提要求
page 3	華北偽鈔繼續狂跌中法幣漲至百分之三０點五
page 3	豫北Ｘ軍傷亡亦甚重大
page 3	Ｘ人毒計在粵抽調壯丁
page 3	西線探兵為國壯烈犧牲
page 3	英議員質問滬Ｘ妄行政府準備考慮
page 3	漢Ｘ施苛政外商深感痛苦
page 3	厦門大學再度遭Ｘ狂炸
page 3	戰地宣傳綱要三軍事委員會製發
page 3	川康航空正在積極籌備
page 3	吉星文仍在前方作戰在滬逝世不確
page 3	蘇境我軍獲勝迭克復重要城市
page 3	粵省方面
page 3	贛北方面
page 3	鄂南方面
page 3	山西方面
page 4	英國態度堅決通知德義徵兵張伯倫在眾院解釋政府安內攘外苦衷
page 4	蘇外交活躍波丹金訪巴爾幹各國邁斯基啟程遄返倫敦
page 4	美擴充空軍進行增加至六千架計劃空軍根據地將着手興工
page 4	日人民反對與德義締軍事同盟英報論日在太平洋上不致為軸心國家而戰
page 4	德南會議成立廣泛協定南外長已返國
page 4	利物浦發生爆炸案兩小時內三起
page 4	義國內閣明日開會
page 4	比眾院通過法律草案授權現任內閣完成國防計劃
page 4	希特勒今日演說國會亦同時舉行大會美國當局正密切注意
page 4	在美僑胞幼童愛國情殷竟感動美西部水手主張對日禁運貨物
page 4	端納顧問的一封信下
page 4	英對北歐國家無意提供保證對世界原料分配問題願與各國作和平商討
page 4	日礦場發生爆炸慘劇工人千二百名祗百餘人獲救
page 4	羅外長由英抵法與法當局談話英羅會談結束
page 4	英最大主力艦下月三日行下水禮地中海艦隊抵希臘
page 4	華北偽幣的慘跌
page 4	傳弗朗哥將聘德義
page 4	紐西蘭財長月底赴英商稅率國防問題
page 4	對英實施徵兵制各國反應一瞥
page 4	強迫徵兵制法案下週提出會議
page 4	反對派意見和緩工黨提修正案
page 5	Ｘ軍侵入單水口公益埠開台境內激戰均烈江會戰事膠著榴山被Ｘ登陸四邑局勢緊張團隊奮勇抵抗
page 5	粵新運會實施節約訂定辦法兩項
page 5	粵六個游擊區檢閱人員昨返韶當局現謀改進缺點
page 5	粵省奉令恢復禁煙委員會縣查禁會設否未定
page 5	粵高一分院遷移揭陽地方法院仍留汕
page 5	欽縣代辦軍運
page 6	英駐華艦隊十七艘集中本港軍艦之多為前所罕見寄碇美艦現亦有四艘
page 6	某工程師獻議闢建防空隧道由太平山直達香港仔戰時可容十萬人避難
page 6	本港礦業每月產鎢一百擔
page 6	孟祿博士談中國強大起來政府人民均有勝利信心嶺南大學昨日招待孟氏
page 6	美總統輪船公司計劃增建商輪九艘
page 6	李霞卿荷里活重登銀幕與華納公司簽約
page 6	佛山輪由省來港乘客達千餘人廣州Ｘ減少紛調江門擅捕居民商店又關閉
page 6	啟德機場增設飛機測重儀
page 6	區建公等書畫展覽會明日起一連三日
page 6	五月一日開始預防霍亂運動日前本港發現此症一宗當局極盼居民合作防疫
page 6	婦慰會資送難婦赴韶入新運會婦女團
page 6	紀念日我政府通令應縣旗誌慶
page 7	公開網球單打賽徐家將獨霸一方昨日半決賽小徐直落三擊退李惠堂今天雙打林珍兄弟對何李組
page 7	東方會足球隊昨晨遠征歸來在越九戰七勝一和一負星期六戰海軍陣容一新
page 7	疲憊之師倉卒應戰一比九敗於南圻甲
page 7	誘惑性的足球戰上海對廣東擬在下月間一決雌雄
page 7	馬來亞籃球隊擬來港義賽申報盃慈善賽即日公開徵求
page 7	港埠際足球隊昨夜啟程小史因事臨時退出
page 7	滬慈善籃球最後一戰中青勝復友三分
page 7	世運會操芬京一萬學生在積極訓練中
page 7	荷匯牌價稍縮其餘匯價均不動英美匯市況先趨緊後回穩申匯市穩靜銀行頗多拋出
page 7	股票市況穩靜買戶給價不高賣家仍少全日成交不過二千餘股
page 7	英金不動英銀均漲
page 7	八九金市初堅後淡價格先微漲後略降
