page 2	社評進一步制裁日本
page 3	中南半島形勢險惡我國完成應變準備滇邊大軍雲集決與英聯合抗敵泰國聲明願為保衛主權而戰
page 3	英與論主張制止日本侵略呼籲遠東民主國家加緊聯繫敦促泰國認識英美支援價值
page 3	棉布千萬碼將由美運華以備我製造軍裝
page 3	美澳會商遠東局勢赫爾接見澳公使
page 3	英美交換勞工專家
page 3	馬來亞日鐵礦停閉係受凍結令之影響該礦開辦已達十年
page 3	美參院通過延長兵役案
page 3	美工人電邀英內長廣播
page 3	新加坡輿論力促強硬對日積極準備對日作戰宣布援助泰國志願
page 3	美軍需生產有長足進步
page 3	美國汽油大量運蘇聯美財長曾晤蘇大使
page 3	日仍積極作侵蘇準備北滿日僑奉令疏散
page 3	英美兩領袖會晤意義非常重大眾認為採取重要步驟之先兆
page 3	美國派兵增援冰島
page 3	日畏空襲進行調整空防
page 3	敵機百餘架昨又襲陪都在嘉陵江南北肆虐湘贛陝甘亦有空襲
page 3	荷日貿易談判日認遭遇困難荷印將統制一切出入口貿易
page 4	納粹攻蘇失利德國民心動搖基輔外圍仍在激戰中
page 4	英軍為策應蘇聯中東將採攻勢土邊英軍加緊活動中美供給品源源運中東
page 4	蘇聯集團移民
page 4	德國第五縱隊在日本三日本軍政外交都受支配
page 4	我加強經濟戰調整戰區經濟機構有關機關妥擬計劃
page 4	魏剛傳將返維希
page 4	希特勒打如意算盤又擬發動和平攻勢
page 4	蘇軍需工業突飛猛進美國遊客極事讚揚
page 4	北非西沙漠戰事英把握主動地位軸心軍隊在蘇倫前線受重創英派遠征軍攻歐陸甚屬可能
page 4	美對維希牒文採保留態度國務卿赫爾之表示
page 4	鄂我軍猛攻沙市浙遊擊隊乘虛襲敵後開封附近我衝入王莊
page 4	我赴緬訪問團婦女代表已定陳紀彝張維楨攜帶大批珍貴禮品
page 4	空軍節將臨全國籌備一元獻機運動捐購第一線飛機二千架
page 4	前敘利亞專員譚志被扣
page 4	泰戈爾榮哀唁電雪片飛來
page 4	黃炎培將赴西北各地推進募債工作
page 4	一代交際花忽服毒自殺朱三小姐性命垂危
page 4	糧食部對軍糧民食已定分配標準民食居首軍糧次之現正籌商運輸問題
page 4	上海市場波動英匯黑市忽跌進三便士
page 4	颶風襲滬船隻延期開行黃浦灘成澤國
page 4	敵在華北搜括廢鐵五金物品均在其列
page 4	羅斯福垂釣
page 4	收穫如何
page 5	粵歸僑發起組織生產事業協進會吸收海外游資奠定建國基礎資額五千萬元將分二期募集
page 5	英美凍結資金緬日僑大受影響正金銀行外匯准字已被撤回日本無法再在緬甸購買米糧
page 5	粵參議會提請統籌軍糧辦法以減輕駐軍縣份負擔
page 5	羅定縣府報告擊落敵機詳情機身完好修理後尚可用敵機師拒捕卒被我殲滅
page 5	初中入學試題教部通令改進
page 5	粵省普遍設立倉庫五千所糧食管理局加強組織適應田賦改徵後要求
page 5	粵省整理地方財政開闢新稅裁廢苛雜
page 5	長江區航政局長王洸談今後航務注重調整航線維護航行安全裝運米糧木船完成預定計劃
page 5	粵省積極救濟戰區退出員生六千餘人已妥予安置
page 6	渣華輪船停止駛滬芝渣連加輪退回赴滬客票貨物日輪不再來港擬航廣州
page 6	中山大學考試昨日進行順利參加學生五百六十七人考試國文理化公民等科
page 6	華籍後備警察白晝出動增強警衛力量
page 6	教育司發表學生人數統計約共達十萬人學校計逾一千五百間當局擬發展小學十年計劃
page 6	港府去年稅收達七千餘萬元較前年幾增加三千萬元但支銷浩繁較前年倍增
page 6	特警處通告特警應募手續
page 6	工務局正式公佈新督轅決停止建造三十餘萬元建築合約取銷
page 6	中環大防空洞全洞完成後當可容萬人最近舉行巡迴防空宣傳
page 6	港府核准柴薪運澳救濟澳門柴荒泰山輪每次運澳二千擔運澳者全屬新界松雜柴
page 6	戰債總會電賀董郭兩氏希望推進募債
page 7	中西游泳慈善賽西聯對抗華聯下午九時零七分在域多利池節目十二項幕幕緊張
page 7	鐵城杯籃球賽居聯中青均捷
page 7	足球開賽期近華會兵馬談南華李謝鄒三將有意助光華東方情勢未明星島有新發展
page 7	外匯牌價俱無變更申匯市況復略傾淡
page 7	股票略見好轉惟供貨尚少成交仍不多
page 7	卓雄杯賽西園戰和太古
