page 2	社評不成問題的問題
page 3	蔣委員長重要宣示抗戰到底絕不屈服汪離渝養病係個人行動
page 3	我軍攻入增城先頭部隊衝進巷戰Ｘ機轟炸粵桂各地
page 3	粵治安無虞韶警備司令部成立
page 3	粵省府賑濟惠博戰區慰問團抵惠陽窮苦難民遍地皆是
page 3	漢Ｘ物色領江無人前往應徵
page 3	戰時日本農村後筑三郎作
page 3	平Ｘ修路激動回民公憤
page 3	傅勒銘著文稱頌蔣委長砥柱中流榮譽抗戰阻礙日本的大力量
page 3	政院會議議決褒揚朱彭壽優卹江北運河工程局長
page 3	粵省縣長更調省府趕辦交代中
page 3	渝新民報義賣成績良好
page 3	黔廣播電台增加日語報告
page 3	贛專員會議昨日圓滿閉幕
page 3	滬西大收容所
page 3	日兩院休會
page 3	桂各界慶祝民國復興節明年元旦日舉行並出發各縣慰勞
page 3	冀Ｘ後方空虛我游擊墜極為活躍臨汾河津連日激戰
page 4	羅斯福將咨國會積極充實國防當添製飛機一萬架陸軍增員海軍造艦
page 4	美和平促進會主張設專門委會研究國防與外交問題反對繼續擴充海空軍
page 4	美向日再抗議為日機轟炸在華財產前此抗議無圓滿答覆
page 4	德耶誕節缺乏食料主婦為難集中營內景象淒慘
page 4	蘇聯關閉駐米蘭領館反法示威運動時領館門窗被搗毀
page 4	法義協定問題法國覆文
page 4	樊迪文昨在比京病歿享年七十三歲
page 4	西叛軍進展極緩加達滑區前進被阻
page 4	德陸軍實力五十一師三補充軍團平時軍力八十五萬人
page 4	法民航公司縮短中法航線闢一新航線舉行試飛由五天半縮短至五天
page 4	歐洲的新局未風十二月七日寄自倫敦
page 4	九國公約之前途外交研究會之一場雄辯
page 4	美大使晤有田對日覆文仍不滿美注意者為事實結果英報評有田宣言空洞
page 4	法專家發明毒氣高射砲彈彈內毒氣令機師中毒並造成若干空氣漩渦
page 4	達拉第巡視突尼斯時舉行海軍演習
page 4	太平洋國交討論會常委將召集會議商下次會期地點
page 4	德探險家聘問拉薩
page 4	勃魯姆提議組民主集團包括蘇美對抗德日義法蘇協定仍然有效力
page 4	日軍部否認集兵滿邊稱瓜代部隊
page 4	滇湎公路貨運暢通無阻
page 4	韋爾金遜牧師抨擊黷武人物羅斯福總統表示贊同與支加哥演說無二致
page 4	倫敦動物園又到新客
page 5	桂頒發各縣梗概詳列交通生活等項指導移民難民過境居留手續在調整中
page 5	梧州行政監督禁岐視桂鈔取締錢攤兌換金銀
page 5	南路緩和廣州灣取締難民非事實
page 5	幸運艦Ｘ機屢次轟炸安東健在如故
page 5	大軍壓迫增城我克復石橋朱村余漢謀派部增援
page 5	李漢魂等就職後粵省府將移曲江省府各委紛赴連縣三江行署有撤消說
page 5	梅菉市停辦電燈梅東公路亦不通車
page 5	九江Ｘ兵有撤退模樣沙口Ｘ已開始移動同時砲轟鶴山沿岸
page 5	中山前山鄉緩設難民區總理紀念中學移澳門
page 5	曾養甫兼任粵西江行署主任張炎張勵主持教導隊設政訓等隊訓練幹部
page 5	各界捐助藥物經費澳門回國服務團團員數人續赴新興工作
page 5	汕頭組消防隊
page 5	仁化縣長更調
page 6	振委會許代委長赴深圳宣慰難胞賑聯會佈置難民宿食文錦渡難民今遷深圳
page 6	一元還債運動各僑團紛紛響應廣聯婦女兩會元旦擧行李星衢將向華商會發起
page 6	中國航空公司港辦事處裁撤元旦起改辦事所僅設所長
page 6	吳鐵城允捐五萬元助賑賑聯會改期開會
page 6	楊陶訂婚記跳舞池中雙雙蹁躚出現阿爹致詞阿姊亦將文定
page 6	港十一個月來糧食出入口統計入口一萬二千五百九十二萬日本糧食短缺向港大量購買
page 6	滬大同學會
page 6	難民工藝社昨日攷試
page 6	僑胞匯款集中本港
page 6	防空演習擬在農曆歲晚舉行告羅士打為警報站
page 6	中航港渝班中途折回
page 7	國際足球盃中華隊下馬示威初戰輕取蘇格蘭結果四比零全局攻勢極盛李惠堂獨進三球負傷下場
page 7	上半時中華一球佔先
page 7	下半時蘇隊再失三球
page 7	男女游泳界兩個新紀錄
page 7	普通界女子籃球今晚恢復比賽港大對培道華僑對思思
page 7	英國網球形勢衰落本年情況尤為不振
page 7	今日排球義賽紅灰重鬥綠白門票所得救濟新界難民
page 7	英國足球甲組賽結果
page 7	全港華人越野賽跑
page 7	國產土布傾銷海外本年度尚稱穩健歐美頭擁擠售價低廉
page 7	茶葉出口較前增加
page 7	Ｘ方在游擊區內統制棉花運銷一萬擔已被運往日本朝鮮該死尤菊藤偷雞勿着蝕把米
page 7	桐油價漲外商多購進
page 7	鎢礦市沉寂
page 7	陰謀破壞中國金融日人收買銀幣滬小錢莊利慾薰心甘受利用
page 7	印銀市場
