page 2	社評日本的饑饉與黑暗
page 3	晉西激戰重創日軍日師團長牛島戰敗自殺鄂南我軍連日砲轟通城
page 3	行政院會議李品仙任皖主席褒揚前主席廖磊
page 3	華中日軍擴大編制裝備
page 3	滬西歹土
page 3	吳奇偉赴嶺東視察
page 3	胡大使講演日本軍人態度暴戾恣肆中國不願早日結束戰爭
page 3	羅翼群本月中旬就職
page 3	滬西有砲聲日偽紛出佈崗愛文義路一槍殺案
page 3	振委會擬款救濟內蒙難胞
page 3	日閥孤立中頻向蘇聯送秋波一想情願企圖拉攏姑妄言之姑妄聽之
page 3	日外交徬徨歧途對英美談判仍未嘗斷念外務省討論對偽方關係
page 3	謀刺宇垣案日報紙開始揭載
page 3	汪逆昨晤西尾感謝栽培厚意
page 3	津日租界又定奇怪限制
page 3	烏盟三旗一部王公投誠
page 3	郭泰禎抵滇今日就任新職
page 3	國聯大會下月初開會將注重預算案之表示對歐洲戰事避免討論
page 3	渝仰中航機昨日始抵仰光
page 3	顏惠慶由紐約往美京
page 3	財政部通告舉辦外幣定期儲蓄保障華僑及國內商民
page 3	龍雲召集所屬討論民食問題將定嚴密辦法減少操縱
page 3	日機襲洛
page 3	馮副委長縱論外交方針中國不應依靠外援祇應以自助求他助
page 4	德國外交前途將至山窮水盡義蘇中立態度不變和平攻勢已成弩末
page 4	德缺乏原料尤其飛機用汽油僅足供兩月之用
page 4	對目前時局芬情緒悲觀未來蘇芬談判勢將拖延美國對芬表示同情
page 4	美比商約美代表團將抵比討論擴大可能性
page 4	人間地獄英政府發表白皮書揭發德集中營黑幕
page 4	土國民大會定於今日舉行批准三角協定
page 4	美輪燧石城號過挪威駛德赫爾表示將採可能步驟保障該輪美籍船員安全
page 4	西線在對峙中雙方僅有局部之砲戰英空軍飛德北部偵察
page 4	蘇代表團在德研究造艦問題並談判收買在蘇德貨船
page 4	甘地今日進謁印督
page 4	馬來漁業均為日本掠奪政府設法補救
page 4	英輪四艘又被擊沉
page 4	德機襲擊北海英艦隊潛艇圖偷襲英倫未逞
page 4	波羅的海德艦橫行
page 4	義黨政軍要員實行調整
page 4	美眾院辯論中立法修正案議程委員會決定限制討論
page 4	日閥的單相思
page 4	德蘇義關係
page 5	反攻東寶戰事我各路均獲勝利日軍圖犯三埠無進展新開路一帶勢成對峙
page 5	艱苦奮鬥之下瓊崖軍政現狀決於短期內施行總反攻軍民合作勝利絕有把握
page 5	資源委員會成立水力發電審委會第一次大會通過要案多起
page 5	潮城日軍迭遭襲擊韓山意溪砲戰激烈
page 5	南路徵募將士寒衣共五萬餘件
page 5	日艦　聚粵南圖謀伺機而動北海外商輪船迭遭威脅
page 5	粵南沿海行由廣州灣到陽江
page 6	寒冬即將屆臨各善團籌備救濟中賑會呈當局請求辦法各界賑聯會昨撥款捐衣
page 6	和平紀念日本港自製罌花出售
page 6	開徵所得稅亦有人表示擁護政府不欲影響中下級人士別有會心者偏欲拖人落水
page 6	兩飛行員來港談澳洲發展空軍現有航空訓練處四十二所飛機制造方面出產率甚高
page 6	又一漁船被日艦搜劫
page 6	舊鎳幣今日廢用仍可向銀行掉換
page 6	大婦殺妾案被告被判死刑殺人者僅得一種刑罰但將向港督請求減刑
page 6	港大校委會名單按該校組織法重新組織共十六人七名當然委員
page 6	港僑自衛團旺角油油麻地區成立荷里活道今晚出動
page 6	燈火管制本港將再舉行肅清街上行人
page 6	小輪及貨艇誤觸水雷在大澳灣海面詳情刻尚不悉
page 6	本港的士今日增價說不確
page 6	汎美飛剪機更改起落日期
page 6	一仙小型報派報公會請增售價
page 7	藻泉盾籃球大戰今晚有三幕上演
page 7	特別銀牌比賽羣雄秣馬厲兵東方招兵買馬爭雄奪霸聖約瑟野心勃勃有冀圖
page 7	梵恩斯力克潘萊獲職業網球錦標
page 7	江干送別紀
page 7	拳壇珍聞
page 7	大眾體育會今日成立小球表演助興
page 7	乒乓團體賽開始決戰本星期六舉行
page 7	下屆世動大會芬京照常籌備
page 7	南華陸運大會今日截止報名
page 7	學界籃球戰績
page 7	更正小啟
page 7	外匯牌價無變動英美匯市仍乏生氣申匯市況先緊後淡
page 7	八九金市靜滯買賣仍少價格微跌
page 7	股票市況回靜買戶寥寥成交僅四千餘元
