page 2	莫洛托夫的演詞
page 3	莫洛托夫外交報告強調中蘇兩國友誼蘇聯對為生存而戰之偉大國家仍根據不侵協定維持善鄰關係蘇德友好不受歐洲變化影響
page 3	美項如此反應
page 3	滇民李恒升捐獻私設小學一所
page 3	日機百餘架又飛川肆虐僅在廣安南川等地投彈始終未敢竄入重慶市區
page 3	紅十字會醫藥物品仍可經緬甸公路運輸 
page 3	政巡團動態蔣作賓由滇西返抵昆明蔣延敝返渝談視察結果
page 3	國民政府明令褒揚張似旭氏蔣委長電唁錢鴻業家屬
page 3	何部長呈國府請褒卹周駿彥遺體在渝安葬蔣委長親自執紼 
page 3	滬恐怖行為迭出領團決設法制止將請工部局採取步驟
page 3	國華滬經理險遭匪毒手
page 3	義泰興煤號經理被綁架
page 3	新聞報編輯倪瀾深被綁
page 3	渝婦女慰勞總會紀念成立三週年蔣夫人慰勞空軍將士
page 3	廣西大學校長馬君武逝世遺體昨日在桂入殮
page 3	滬白俄領袖莫滋萊被殺
page 3	傷兵之友粵省徵求以來成績相當優良
page 3	迤邐東南海岸線
page 3	一艦長述徐盈記
page 3	對日表示懷疑
page 3	對歐各國關係
page 4	日新閣政策發表後美國印象惡劣兩國關係或更將逆轉 
page 4	蘇聯西境軍隊調動忙羅閣改組傳說仍盛
page 4	羅斯福召開國防會議史托克馬夏爾等皆出席巴拿馬運河破獲間諜網
page 4	飛泰日機跌落水田
page 4	路透社發表聲言否認德義宣傳
page 4	義大利軍隊集中埃及邊境法比海岸德軍開始調動德機猛炸英東岸多佛港
page 4	美民主黨競選總統運動舉出弗林負責進行美獨立黨召開三屆大會
page 4	蒙滿勘界赤塔會議延至今日舉行 
page 4	溫莎夫婦巴哈麻群島準備歡迎
page 4	法駐外使節將大加變動
page 4	赫爾新基工人與警察衝突 
page 4	川煙毒檢查團組織就緒不日出發視察甘三青團協助禁煙事宜
page 4	日本商船停赴英港口改以葡京為終點
page 4	上游水漲聲中黃河水利會在蓉召開會議設立上游林墾工程處經部水利司獨立辦公 
page 4	瑞典國王重申中立政策努力保持自由獨立 
page 4	達拉第等罪狀將判定
page 4	佐藤尚武愀然返日大橋已允就外次職
page 4	悼馬君武博士
page 4	多雨季節
page 4	外交環境的分析與運用一
page 4	日議會制度日趨沒落近衛難忘新政治體制
page 4	巴西基維離蘇返芬京
page 4	小磯國昭將任日駐荷印特使日南進野心之暴露
page 4	北海道海嘯日漁船千餘艘盡被巨浪捲去
page 4	朝鮮日當局續捕兩英僑路透社遠東總經理滬寓竟亦被人私自潛入搜查
page 5	粵各縣市舉辦國民兵建設實驗區訂定大綱由本月起實行分三階段實施年底完成 
page 5	北卡被侵後中山斗門略緊四邑河道交通受阻我挺進隊戒備加嚴
page 5	桂南米荒禁止熬釀桂省府令十四縣照辦 
page 5	重慶點滴
page 5	廣東各縣宣傳委員會五十六縣已成立
page 5	粵省各縣設首席保長村街為單位得聯合設置任務為籌設國民學校等
page 5	七二四成都被炸災場素描 
page 6	本港文化界今日紀念魯迅誕辰下午在孔聖堂開紀念會木刻展及晚會分別舉行 
page 6	歸國僑胞須補填擔保書粵省振濟會駐港辦事處電東路視導員派員迎接
page 6	邊境外日軍被水圍困糧食恃飛機投下
page 6	九廣路昨被山泥阻斷
page 6	本港三年來物價指數比較表本年第二季較去年第二季增加百分之四一點四
page 6	英籍婦孺一批今晨赴澳洲
page 6	本港英文學校下學年恢復學制畢業會考由明年起停止以港大入學試決定資格
page 6	港越輪昨恢復航運
page 6	今天雨水紀錄
page 6	七月份氣象報告雨水紀錄已超過九十吋將打破一八八九年紀錄
page 6	統考試卷開始評閱評閱委員分配各科工作取錄生兩週後即可發表
page 6	英輪佛山號來港無限延期船公司與領港局有爭執等待交涉一說今日來港
page 6	中央振濟會派員致祭雷躍雲並書贈遺愛在民巨匾雷氏遺囑喪費捐助善團
page 6	僑團學校發起捐募寒衣運動我社會部規定八一開始振聯會下次會提出討論
page 7	今晚水上盛會勵進應戰域多利雙方名將如雲必有精彩演出女子節目兩項亦屬旗鼓相當
page 7	蘇聯夏季運動
page 7	今日棒球聯賽南華逢戰港啤
page 7	第三戰敗於全星選手
page 7	東方遠征追記第一次馬來亞征戰 
page 7	港圓外匯牌價不動申匯市況略轉趨淡
page 7	國幣略跌人心仍鎮定
page 7	股票轉鬆弛各股價格又告不支
page 7	八九金市依然沉寂金條成交亦少
page 7	德權鼎小球今日開幕洋務藍對榮發黑榮華隊對果菜隊
page 7	籃球游泳節目一覽
