page 2	社評希特勒的腳跟義大利
page 3	鄂南我軍猛襲陽新附近交通線均摧毀鄂北日軍一部圖進犯未逞
page 3	抗戰將入第五年國內同胞賀年慰勞總會電全國發起函前方軍民海外僑胞
page 3	邕寧老教士追述日軍潰退情形實際係被我方擊敗逃竄倉皇縱火未逞
page 3	成都蘭州間無線電話開放營業話音清晰
page 3	話說當今英格蘭前奏矛盾交響曲速寫一個動亂時代倫敦航信
page 3	粵省獎勵訂購洋米充實戰時食糧
page 3	前成都市長楊全宇槍決囤積居奇者之殷鑒
page 3	萬墨林被捕後竟移解滬西捕房徇日無理要求
page 3	日人騷擾下孤島百態
page 3	日機襲滇曾在筒舊投彈我方損失甚微
page 3	本間抵台北
page 3	東條返日曾視察華中侵佔區
page 3	蔣經國過韶赴衡據談贛省糧食無問題
page 3	上海救火隊員破獲偽鈔機關
page 3	華美電台案日迄未答復美有強大之發電機將予打擊者以打擊
page 3	美又加緊禁運羅斯福總統頒發命令十五種原料限制出口
page 3	牛油製蠟戚壽山新發明
page 3	粵南路行署定月底結束
page 3	近衛再拉救兵荒木將入閣充任無任所大臣
page 4	不睬納粹恫嚇美仍加緊援英對於沒收領海船隻仍照合法程序考慮
page 4	過去八個月英空軍戰績出擊五千次範圍遍歐陸製機廠交通線皆為目標
page 4	羅國外長由格里西安努繼任
page 4	美國防會主席呼籲努力生產
page 4	教皇發起和平祈禱祈求禳除戰爭苦難
page 4	英軍調集阿國邊境準備擴大非洲戰事東北非義屬地將受威脅英海陸空軍猛攻巴第亞
page 4	東北非形勢烏瞰一
page 4	希軍擊退義軍反攻
page 4	北晨勝利聲中英嚴防德進犯料德將動員其整個資源對英本部作最後之決戰
page 4	耶穌誕節英王將作廣播
page 4	芳澤謙吉抵荷印陰謀活動
page 4	英閣改組官報不久即可發表
page 4	英有意解除對越之禁運對方談判在進行中日輪不斷運軍火赴曼谷
page 4	德國厭迫維希排除反德分子以廢止休戰協定為威脅貝當內閣連日商籌對策
page 4	德國之苦悶
page 4	美造艦公司否認計劃被盜僅失去購料清單
page 5	粵民政廳長何彤談本年度民政設施發展合作組織普及國民教育積極查禁煙賭促進衛生設施
page 5	粵桂湘交通線匪徒落網韶關一地擒獲百餘名
page 5	遂溪施行反封鎖增派團隊武力緝私設立貨物稽查分處
page 5	中大新生一月三日開課
page 6	四屆國展昨日開幕代督岳桐中將親臨剪綵
page 6	國展
page 6	中茶公司
page 6	本港食米將由泰國供給港府刻正與泰政府交涉
page 7	中西足球義賽我軍兩戰奏捷西聯戰將臨陣脫逃實力影響文奎景祥各建奇勳滿場稱讚
page 7	兩戰總評
page 7	協會陸運大會今天預賽下午在加山
page 7	新春日足球義演西聯隊產生人強馬壯至盼我軍緊要提防掃桿埔頭上演米軍樂隊助興
page 7	拳王喬路易定期戰康比萊
