page 1	社評工會與政治紀念國際勞工節
page 2	國大今晨舉行閉幕儀式大會決設憲政會督導委會總統副總統證書派代表送達
page 2	國代紛作歸計金飾店交通機關生意興隆最後一次會大家無精打采
page 2	榆林通信大殘破中的小殘破
page 2	在孫科的號召下建國協會昨成立當場選了孫氏做會長
page 2	國代科長打架兩人都犯了法南京地檢處提起公訴
page 2	英報論蔣主席他當選總統是必然的事政府如不改革他的努力將無效
page 2	施昌璧死了嗎京警局頗為懷疑
page 2	陝境國軍進駐汧陽青島外圍發生戰事
page 2	工業資本的南流續完
page 2	中大研究生請願要求一律得貸金
page 2	美國援華即開始行動華府等待中國交還約定書杜魯門將咨文國會請撥款
page 2	晏陽初要回國了
page 2	粵省府還要裁員下半年再裁百分之十
page 2	軍墾計畫擬好只要有錢就能開始
page 2	改革粵省農業也在擬總計畫
page 2	苛政猛於虎粵各縣攤派擾民海口一地月達四五十億有關當局正在設法制止
page 2	一個月來第三次廣九車票又漲價快車三等一百州多萬
page 2	憲兵搜中大但沒有捕人為何搜查校方也不知道
page 2	禁止私設電台粵行轅再度宣布
page 2	省澳通話有待省港間線路將增加
page 2	粵鹽輸日在商討中收購桐油生絲成績不佳 
page 3	杜魯門日內發表咨文請國會批准軍事援歐
page 3	聯合國機構又一打擊西歐各國籌組合眾國海牙歐洲聯合會議下週舉行
page 3	西歐聯防會議開幕傳將建聯軍三十師蒙哥馬利可能出任統帥
page 3	五國同盟機構改稱永久性委會
page 3	社會主義的藥方記克里浦斯的預算案
page 3	美陸長談戰說阿拉斯加可能被奪
page 3	西歐經濟合作五國財長協議
page 3	美軍費究竟多少參院兩委會通過數目不同
page 3	美洲各國將締盟約要合作共謀西半球安全泛美會議即將宣告閉幕
page 3	杜魯門向國會讓步徵兵計畫要打折扣同意接受折衷辦法以求批准
page 3	美艦隊訪義
page 3	美國厚愛日本贈送大批牛羊
page 3	安理會警告外約但不得侵入巴力斯坦阿拉伯國家試探英態度
page 3	阿猶戰地談判雅法台拉維夫間砲火暫停耶路撒冷爭奪戰進行中
page 3	英軍撤退後猶人要建國
page 3	上書公主替狗乞饒槍擊教師代友求分
page 3	荷蘭破壞政治協定印尼向聯合國控訴荷在東印度成立八新邦企圖藉此控制公民投票
page 3	美佔領司令承認德納粹餘孽漸抬頭美方寬大納粹黨員很多被起用
page 3	不顧各國反對日決設海上保安廳並將在各大城設辦事處
page 3	平壤會議結束責備美方函件送達漢城
page 4	今天是五一三處慶祝勞動節各工團亦將分別舉行慶祝會
page 4	禁止黃金進出本港辦法未變
page 4	匯豐銀行建九龍分行
page 4	香港中山聯運廣西輪二日起辦
page 4	青年會聖詠團舉行成立典禮
page 4	如有人來調查房租請先向他索閱證件
page 4	夏令時間明天開始
page 4	香港海事處布告招商承辦載客渡輪
page 4	收受鞋金疑犯四千元交保
page 4	港府宣布更訂公價
page 4	空軍當局昨宣布雅蘭亭酒店解徵
page 4	麥唐納改任總專員
page 4	馬思聰今明兩日在港演奏全部作品
page 4	目擊四童屍體司機上水警署昨日傳訊
page 4	四月十日兩人在校
page 4	翁伯達的黃金沒收與否週後分曉法官認為還要考慮
page 4	被控三合會員馮耀保不承認
page 4	看日蝕還要等八天
page 4	打暈司機搶去現款
page 4	婦女會開慈善舞會假手槍太像真的了汽車咪表裝小馬達
page 5	金融市場成謠言世界一說國內改革幣制發行銀元一說港方管制金鈔買賣官價
page 5	滬幫拋出黃金大家搶買關金申匯省匯齊落
page 5	管制金融實不可能
page 5	金市萎靡不振金價最低成三三○元息價大至去二角五分
