page 2	美國擴充海軍的展望
page 3	南路我軍大舉進攻邕欽路東側據點先後克復欽縣一帶日軍在我包圍中
page 3	粵當局對游擊區加強政治鬥爭修正縣府組織縣長改用軍人
page 3	米內荒謬談話英絕不重視對遠東態度無改變可能
page 3	向上海市民揭發汪奸謀潘公展今午廣播
page 3	晉省日軍反戰情緒愈濃洪洞趙城標語到處可見某種組織將逐漸行動化
page 3	湘全省各界開討汪大會革除周佛海省籍
page 3	國民教育會議繼續舉行通過要案
page 3	行政院例會
page 3	行都新印象美按察司由渝返滬盛讚我民氣及建設
page 3	國內機關團體派員出國工作須呈報海外部以杜奸人假借名義活動
page 3	行都各界籌建無名英雄墓並鑄汪鐵像長跪墓前
page 3	華西大學創辦人畢啟退休返美成都各界紛紛開會歡送國府特頒采玉勳章
page 3	滬租界當局平抑物價將布告取締奸商
page 3	湘參議會二次大會開幕
page 3	燕大校長司徒雷登在築參觀事畢今日遄返重慶
page 3	財部接收川各鹽場
page 3	粵桂合作事業日見進步粵設管理處總綰一切桂兩年來成績頗不弱
page 3	地質學會年會在渝開幕
page 3	西北工學院辦理完善院長賴璉抵渝談科系將再予擴充
page 3	從禍水中躍登彼岸二
page 3	贛北續克要點
page 3	嶺東日軍潰退
page 3	同蒲兩側激戰
page 4	芬蘭及挪瑞兩國將締互助協定純屬防禦並非對蘇
page 4	英方人士認為蘇聯無力援德
page 4	英援華政策決賡續不變伯特勒向眾院報告盡力履行援華義務
page 4	韋爾斯離英赴羅馬將再會見義國當局本月底可返華盛頓
page 4	諾門罕空氣緊張傳蘇日又發生衝突
page 4	印前省長奧戴爾遭狙擊殞命印度大臣亦受微傷兇手就捕定期開審
page 4	蘇芬停戰後日驚惶失措認蘇對日態度將強硬對美蘇關係甚感疑懼
page 4	德義商約內容德以火車運煤至義義將以農產品運德
page 4	波羅的海三國會議定十四日在里加開會
page 4	日軍破壞美權益確數滬美僑研究中
page 4	諾門罕衝突說
page 4	英國態度堅定
page 4	論去年上海對外貿易出超二 
page 4	英國加強作戰決心德正忙於進攻準備
page 4	英眾議院辯論援助芬蘭經過
page 4	義謂波羅的海成蘇勢力範圍
page 4	德報最初評論以波比喻芬蘭
page 5	南僑回國慰勞團各代表由星出發將先在昆明會合然後赴渝全體團員共五十四人
page 5	設宴歡送 
page 5	前山三廠海關被日軍強佔小欖形勢甚穩定我軍收復大黃圃
page 5	新塘沾涌日軍撤退
page 5	我軍繼續反攻江會
page 5	順德米貴每元僅十二兩
page 5	革命之母
page 5	五六百萬
page 5	認真考察
page 5	非常慚愧
page 5	不可誇耀 
page 5	華僑社會
page 6	立法局會議全體議員贊成戰稅法案結果通過首讀及二讀五百萬元為英國造艦
page 6	戰稅法案擬製經過
page 6	四項戰稅開徵辦法
page 6	羅文錦對該案意見
page 6	五百萬元建造新艦
page 6	住客聯合會函請華人代表贊助減租轉請政府賜予合理解決並盼盡量指導俾知導循
page 6	英國政府表示感謝
page 6	對英獻金一十萬鎊
page 6	財委會追撥戰費六百萬元 
page 6	航行注意船政司通告
page 6	東華三院新舊董昨謁港督港督設午餐招待並致訓辭周兆五及李耀祥均有陳述
page 6	太平戲院今晚上演秦檜
page 6	全港佛教徒十七日公祭蔡公在荃灣東普陀寺
page 6	國光製漆廠出品神馬牌漆油將巨量推銷各地
page 6	蔡公治喪會商得政府同意後五四舉行追悼會
page 6	北大同學昨晚聚餐紀盛討論紀念蔡公辦法推定同學會理事十一人
page 6	李樹芬作贊同表示
page 6	各項新稅收入估計
page 7	督憲杯華聯代表昨夜開會選出榮才早景祥休養顯漢充門將大家努力期獲錦標歸
page 7	東南大戰門票下週發售
page 7	華人游泳會出發徵求會員
page 7	美國排球聯會最新排球規則一
page 7	本週足球秩序總會修正公布國軍三路出師東方休息督憲杯賽最能惹人注目
page 7	港對美匯牌價續縮竟造成最低紀錄申匯英匯市況仍穩定
page 7	股票市況活躍買戶爭先恐後需求眾多全日成交總值五十萬元
page 7	八九金市益形活躍價格續漲創成紀錄
page 7	菲女籃球犯港場地問題協會派人調查 
page 7	溫故知新錄五華會退出比賽
