page 2	社評日議會開幕
page 3	晉東南我把握主動連日出擊斬獲甚眾晉南全面形勢日已降為劣勢
page 3	中樞昨開會紀念雲南起義由白崇禧擔任報告昆明各界亦開會紀念
page 3	日機犯閩濫炸漳州石碼鎮
page 3	湘行政會議昨在長沙開幕
page 3	岳陽附近日軍內閧殺死小隊長等十餘人
page 3	杜月笙離渝前曾對滬同胞廣播勸勿收用汪行之鈔紙
page 3	英報論汪鈔
page 3	話說當今英格蘭二銀風箏下的倫敦空襲難題怎樣對付倫敦航信
page 3	賀年信運動後方熱烈推行領袖親筆題訓詞于院長撰慰勞歌
page 3	日本重臣湯淺去世
page 3	滇報界歡宴緬甸訪華團雲栖寺熱情洋溢
page 3	當局積極平抑糧價撥款購糧運川平售
page 3	上海動亂
page 3	關吉玉過桂談蘇省現狀本年絲棉產均豐堆省財政仍短絀
page 3	邱昌渭電告桂南災況上思最為慘重
page 3	財政部計劃徵稅以市價為準物品數項歸國營
page 3	中美傳進行借款楊秉銓等已抵舊金山英援華會促政府繼續援助
page 3	北平戒嚴附日軍多反正
page 3	桂林各報聯合義賣各界預約極踴躍
page 3	要聞簡報
page 4	阿境義軍又敗希軍已迫近瓦隆那英艦隊亦協助作戰
page 4	美建艦計劃工程進行極速兩新主力艦將下水威力無匹各項定購軍艦均能提前完成
page 4	英首相演說美反響良好菲列浦斯重任駐義大使表示美國政策已有變更
page 4	耶誕節英德空中休戰德快艇濫襲英商輪
page 4	日對越南貪求無厭要求專用河內老街鐵路鑾披汶表示決對越報復
page 4	巴爾幹之對久貿易一
page 4	美議員泰定斯談歐洲和平方案首須恢復挪丹荷比法主權繼而重建波蘭捷克等國家
page 4	美國東北發生地震房屋商店皆無損失
page 4	德國更換駐羅公使由吉林格繼任
page 4	海參崴美領館明年一月成立
page 4	耶誕動態
page 4	教皇悲天憫人重申五項原則
page 4	美總統羅斯福勉為光明奮鬥
page 4	教皇之呼籲
page 4	法德之間
page 4	法德恢復談判達蘭啣命逕赴巴黎
page 4	培維斯抵美談英國近況
page 4	希特勒赴前線與士兵度耶誕
page 4	德國納粹領袖各致廣播演講
page 5	廣州日大舉拉伕傳又將進犯粵北軍運繁忙日機增至一百餘架我為準備萬一積極疏散物資
page 5	江會石岐日軍大部調往廣州
page 5	澳門慈善彩票提前揭曉號碼一二一四
page 5	桂林舉行防空演習秩序井然成績良好
page 5	桂省桐油產量激增
page 5	粵青年團元旦改組李漢魂兼任團主任
page 5	交部派員督察粵桂兩省公路主任顏澤滋已抵韶關暢談粵公路工程狀況
page 5	磊石日軍蠢動不逞兩次渡河均被我擊退
page 5	桂林簡訊
page 5	我奇襲湖後日軍增兵固守派隊搜索深圳附近各鄉拘去無辜鄉民三十餘人
page 6	昨晨港九僑校舉行聯操大會男女僑校共二十八單位學生千餘人秩序極良好
page 6	中央振委會東江救濟工作診療人數已達千七百名急振已結束歸總站辦理
page 6	米價逐漸下跌暹米豐收昨日大批運到楊永庥談跌風仍將繼續
page 6	本港回教徒紀念先賢斡葛素為回教傳入中國之鼻祖昨講述歷史並誦經祈禱
page 6	青年協進會昨舉行成立會聯絡感情砥礪學術服務社會李政耀馮思敏等任理事
page 6	協同和出品公開在國展會試驗
page 6	談談前程萬里
page 7	國際杯與我無緣中華竟遭淘汰先盛後衰五比六險溝裏翻船迷哥怨聲載道含恨歸家
page 7	華隊失敗的因素
page 7	球圃菜根集六
page 7	國際杯賽第二幕英葡大會戰下午三時三刻在九龍場勢均力敵有劇鬥
page 7	滬中美籃球義賽中華首次失利防線鬆弛美軍乘虛入隙三七比四輸了四隻球
page 7	協會陸運閉幕各項成績優異萬公尺跑創大會紀錄
