page 2	社評美國怎樣進一步援英
page 3	明斯克東南激戰中蘇軍奮勇堅守陣地德芬軍傳已佔領漢哥群島
page 3	蘇軍實行焦土抗戰柏林承認蘇軍優越
page 3	蘇聯民氣蓬勃一致擁護史達林演詞
page 3	英報熱烈讚揚史達林氏演說
page 3	敘利亞英軍佔領巴米拉城守城維希軍被近投降
page 3	蘇加緊動員必要時可再出一千萬人蘇羅邊境德軍集結二十餘師
page 3	印度改進軍需生產
page 3	芬京警報頻傳蘇空軍猛襲芬機場德軍沿拉多加湖向東進攻
page 3	貝魯特港被襲維希向英抗議
page 3	真理報痛斥維希
page 3	中東方面英蘇動態土注意華維爾東調
page 3	阿比西尼亞義軍又一部向英投降阿境義據點將次肅清
page 3	美副國務卿晤英蘇大使商談援蘇問題
page 3	英代表團傳又一批赴蘇
page 3	英國改善新聞情報
page 3	對法屬德佔領區英軍將開始進攻英機加緊轟炸西歐各據點
page 3	史汀生談話美加緊擴軍正組織驅逐坦克部隊
page 3	戰後中國必居領導地位英名作家威爾斯之預言
page 3	我與馬來亞磋商合作對重要問題意見一致刁特使任務完畢返國
page 4	美國慶紀念羅斯福總統演辭以團結保衛自由我林主席特電致賀倫敦首次熱烈慶祝
page 4	傳德日成立協定竭力防止美參戰韋爾斯盼日維持太平洋和平
page 4	美報譏諷軸心國家承認傀儡毫無意義
page 4	美海軍政策及問題之四計劃及目標
page 4	我與德義斷絕邦交倫敦充分表示滿意
page 4	一元獻機運動航空建設協會發起
page 4	顧大使談話現時國際局勢對華有利中國更不願與日本妥協
page 4	全國運輸機關均改歸運輸統制局接管
page 4	社會部改善工會制度增進勞工福利
page 4	留港粵參議員陳炳權等抵韶
page 4	郭外長對英廣播中英兩國關係密切
page 4	英增強遠東防務大批軍用品運緬
page 4	浙東我克復坎門晉南敵軍竄犯受重創宜昌敵機被我擊毀十三架
page 4	陪都籌備紀念七七
page 5	汪逆朝主內幕所謂三萬萬借款純屬空城計籌政局將變化諸逆心神不定
page 5	粵糧食評議會李大超譚葆壽出席報告全省軍民糧食最近情況
page 5	程天固赴墨履新沿途訪各僑團慰問僑胞
page 5	討論事項 
page 5	粵省臨參大會召開預備會議實行節約運動謝絕外間宴會研討發展工業開礦等項計劃
page 6	防空演習二十一日起連續舉行一星期此次規模當屬空前宏大在灣仔二區試用防空燈
page 6	余俊賢談我僑教經費增至百二十萬元清貧僑生名額現增至三十名各僑教團體分別歡迎余俊賢
page 6	當局為節省紙張擬限制花衣銷耗包括衣紙元寶爆竹紙等當局對此事縝密考慮中
page 6	港九教聯歡迎余俊賢
page 6	抗戰第二年內港僑捐輸二百餘萬商會四十四萬元為最多其餘上中環兩果販次之
page 6	港九各難民營多被颶風吹毀錦田難民宿舍十毀其七各營難民暫寄居營幕內
page 6	颶風又有襲港勢天文台昨又懸一號風球前掠過港之颶風仍未散
page 6	糞的糾紛住客不願繳交每月一元糞費
page 6	抗戰四年之中國出英文專刊中國報道委會出版
page 6	戰時經濟委員會計劃開徵酒稅但一部委員提出反對認為酒足以鼓舞軍心
page 6	仿林女中導正中學舉行畢業禮
page 6	人才調劑協會港分站徵求工業專門人才計分三種專門技術人員日內即可正式公開徵求
page 7	今天兩場棒球戰中華對抗港啤第二幕香港會鬥工程
page 7	訓練游泳人才問題
page 7	中籃高級組決戰培英白冠軍五六比五四壓倒綠隊何恩德頒獎歡呼散場
page 7	南華在星義賽勇克軍聯隊一比零報復一箭之仇前日離星返香港
page 7	域多利游泳預選成績未見優良日間主辦全港校際游泳下月二日開會討論
page 7	居聯會今晚水藝會
page 7	中華水藝會改十九日舉行
page 7	卓雄杯錦輝同義奏捷
page 7	中西游泳對抗華隊預選明晚開始角逐
page 7	外匯牌價申匯略漲英匯沉寂美匯亦靜
page 7	股票扶搖直上市場人心興奮買賣活躍昨成交總值十三萬餘元
page 7	國幣市況依然不振
