page 2	社評英國之認識與決心
page 3	我軍完全克復潮安湘北反攻前鋒迫近羊樓司
page 3	蘇浙皖Ｘ大舉興建兵營已在蘇州四排渡圈地
page 3	七月上半月我軍戰果作戰二百二十六次斃Ｘ官兵一萬餘名
page 3	關麟徵謂Ｘ士氣衰竭進展絕不可能
page 3	雅納爾由青乘艦赴滬
page 3	駱美奐將飛寗夏履新
page 3	Ｘ方造謠英使正式否認
page 3	皖Ｘ銀行發行四行偽鈔
page 3	汪逆作惡收買眼線便於滬Ｘ搜查
page 3	滬Ｘ佈防預防八一三
page 3	蘇聯空軍又出動飛偽滿境轟炸交通線海參崴艦隊亦極活躍
page 3	庫頁島煤礦雙方爭執中
page 3	鄂北大勝後
page 3	暹羅更改國名與吾國的關係下
page 3	滬租界當局遏低米價派員監視交易
page 3	盧幹滋夫婦安葬在墓地舉行紀念會勞動民眾參加典禮
page 3	經濟部研究平衡物價成立管理委員會正在擬具計劃中
page 3	英美對華考慮新貸欵作購置軍火機件之用
page 3	滬浙航線陸續復航中
page 3	平偽開始管理外匯英商決意不理
page 3	華北地名法幣滬銀行將拒用
page 3	颶風襲閩江
page 3	冀中我軍衝入保定大水泛濫橋梁沖毀Ｘ軍運輸大感困難
page 3	粵幹訓所首期昨日結業畢業學員三百餘名當局決定分配工作
page 3	抗戰影片將運越緬放映
page 3	黔省學生紛紛請纓殺Ｘ
page 4	張伯倫剴切聲明外交政策不變克萊琪報告在考慮中二次會談改明日舉行
page 4	莫斯科談話昨繼續舉行英法輿論保持緘默
page 4	英退職海軍司令致書德人民陳述英對德關係意見戈培爾著文妄加駁覆
page 4	德對但澤又有新陰謀圖以共管美名誘致波蘭拆散英法所組和平陣線
page 4	波撞車慘劇死傷二百餘人鐵路職員被捕
page 4	英美物物交換實施上恐尚有阻碍
page 4	反侵略陣線各國商軍事合作計劃英愛恩塞將軍飛華沙法代表團前往安喀拉
page 4	波蘭今日的歧途
page 4	英法合作作反間碟活動
page 4	美國務副卿將任駐菲專員
page 4	南保代表赴英倫敦外交界對此極重視兩國態度將有明顯表示
page 4	賈特菲演說正告野心國家勿再蹈大戰前之覆轍將英國實力估計過低
page 4	法機百架今日飛英報聘英飛行員一千人將再度飛往法國
page 4	德義之謎
page 4	Ｘ軍將在江南長久駐防
page 4	現代史之奇蹟
page 4	英美將增加貸款
page 5	會城Ｘ軍瘋狂舉動發砲轟擊四邑輪渡澳門三埠交通照常往來Ｘ艇集結虎門我已戒備
page 5	游擊司令吳飛談中山戰局Ｘ人侵擾目的不過威脅我應加緊準備沉着應付
page 5	丘譽談政工會議收穫通過六十餘案政訓方針決定
page 5	石龍Ｘ兵火燒瘋人院四十餘人焚死
page 5	赤坎瓊小招生
page 6	商會正副主席郭泉吳澤華當選領導港僑責任至為重大兩氏素孚眾望深慶得人
page 6	選舉經過
page 6	香港大學入學攷試取錄各生已公佈
page 6	駐粵Ｘ領昨日來港傳與港Ｘ領有所會商
page 6	正副主席查獲選正主席之郭泉氏
page 6	女子公寓業餘劇人二十日晚獻演費穆導演演員極整齊現正日夜排練佈景輝煌
page 6	廠商電器兩會七七賣花成績共得國幣一千港幣六百餘元撥節食捐兌足救債五千
page 6	肺癆症不容忽視今年發生四千餘宗霍亂三百三十九宗
page 6	紀念聶耳歌詠界昨晚開會
page 6	南洋荷屬各地限制華貨入口凡當地已有出產之物品華貨一律不准運往推銷
page 6	昨晨高等法庭提審刑名案彙誌公務員受賄案押候一週唐發強搶舞女入獄兩年
page 6	劉瑞驥律師被控違例案撤銷由政府大律師維逸主控韓潤森律師辯護
page 6	港督委任李佐臣為本年團防局紳
page 7	南華足球在棉蘭三比零勝棉選手最後一戰二比二和巫人隊十九轉征怡保吉隆坡星洲
page 7	南遊日記
page 7	澳菲台杯賽五比零菲隊全軍覆沒
page 7	爪哇足球界歡迎李惠堂
page 7	康恩簽合同出戰李尼維赤
page 7	公開水球戰南華不敵域多利勝四比一
page 7	歐女子徑賽名將翻新世界紀錄蒂絲通八十低欄稱霸法女三人接力來頭兇
page 7	新聞來自孤島東華重光準備建築球塲
page 7	游泳之意外及救生
page 7	荷叻匯牌價略縮其餘滙價無變動英匯美匯市況均仍乏生氣申匯市況仍穩賣買昨頗多
page 7	八九金市略堅但靜價較上日微漲半仙
page 7	股票市昨不振投機者多存觀望態度全日成交僅二萬餘元
page 7	英銀市氣弱孟買銀參差
