page 2	勉粵省當局
page 3	錦江兩岸不斷砲戰Ｘ偷渡被截擊竄回北岸新會淪陷我軍相機反攻
page 3	芮城Ｘ受創西退太原以西Ｘ又圖蠢動
page 3	蔡金花移駐安徽北部英姿不減當年
page 3	某經濟專家談我法幣信用益穩在華北依然暢通如故Ｘ偽破壞計劃不成功
page 3	滬工部局董事業已推定不再經投票手續
page 3	本財政年度中國預算總額二十八萬萬五千萬較上年度略有增加
page 3	英外相將報告偽組織反英英議員關心中國事件
page 3	兒童節渝市熱烈慶祝
page 3	華北羣醜媚Ｘ組織訪日經濟視察團竟擅自討論關稅制度
page 3	壽晉百齡政院部會長官
page 3	粵黨政軍機關致力於開展工作每週舉行聯合紀念週商討工作聯繫及策進
page 3	行政院會議設立西北技術專科發展農林生產事業
page 3	朝鮮義勇隊在前方殲Ｘ建功
page 4	伯克抵倫敦英波談話開始將附帶簽訂經濟協定英將對土耳其提保證
page 4	英眾院辯論外交問題
page 4	張伯倫重申反侵略決心
page 4	辛克萊希望政策應實施
page 4	邱吉爾力辯非包圍德國
page 4	外相在貴院報告外交
page 4	義國覬覦阿爾巴亞傳在東南集大軍圖謀在該國登陸
page 4	義報為德張目恫嚇波蘭勿與英法接近並謂義不能作無期等候
page 4	莫斯科新聞對歐局悲觀主促進集體安全辦法對波蘭態度仍表懷疑
page 4	英大使潘思訪義外長申述英波關係觀點
page 4	羅斯福批准陸空國防案將增加飛機至六千架鞏固巴拿馬運河防務
page 4	中美文化協會致電羅斯福謂新中立法不利於我請勿因此影響我抗戰
page 4	英報論評蘇日漁約事稱頌蘇俄態度責法對日軟弱
page 4	歐局關鍵
page 4	美國如何
page 4	伊斯美當選土耳其總統內閣辭職慰留並另增設兩部
page 4	赫德森在瑞典擧行談話將互派代表團討論英瑞商務
page 5	Ｘ由廣州大舉增援江門再起劇烈爭奪我軍六千正向江門反攻大戰在即　　　現無恙
page 5	Ｘ軍投誠分隊長若林政訪問記彼對侵略戰爭極感厭惡俘虜牧本併解桂林收容
page 5	我空軍出動炸石龍石灘Ｘ陣黃濤所部挺進增城
page 5	欽縣Ｘ機狂炸
page 5	粵戰形勢下
page 6	港九萬餘兒童熱烈慶祝兒童節分別開會演詞意義深刻在歡樂中不忘拯救祖國
page 6	英政府撥款添置商船武裝太古九龍船塢承辦大部分裝置四英寸砲位
page 6	防空常識本港防空當局編印書籍四種
page 6	華商總會領導精神動員案昨議決交幹事值理審查協助英賑華南分會籌款
page 6	各難民營人數大增較週前多七百人
page 6	英屬地間新聞電報減收每字一毛五仙倫敦澳洲等地適用
page 7	星中華臨別表演今日會師華聯隊下午五時一刻仍在嘉山交鋒雙方旗鼓相當演出必夠刺激
page 7	南華會大功告成榮獲乙組錦標昨以四比零大破士葛軍
page 7	甲組足球賽雛鳳鎩羽三比一士葛報仇
page 7	滬聯足球會修改會章將徵求各隊意見
page 7	世運會觀眾住宿問題已獲圓滿解決各級宿舍價目亦均訂定
page 7	划船預演今年六月二十九三十
page 7	港澳埠際足球賽正式陣容產生澳隊實力不弱將有激戰
page 7	暹匯續縮澳匯未變其餘均再漲英匯美匯先趨緊後沉寂申匯市況穩定買賣不多
page 7	股票市續有進展買戶尚多給價較前略高賣家仍少成交依然不多
page 7	八九金市略穩但靜買賣不多價格微漲
