page 2	社評美國應把握主動
page 3	晉南戰局重心北移太行山麓展開激戰我軍五路轉進控制有利陣形黃河北岸日砲隊已狼狽北竄
page 3	菲已開始禁運輪出領證制適用菲島美總統已將法案簽署
page 3	日本將受重大打擊
page 3	英工黨年會提出備忘錄申述中英美友誼
page 3	日荷談判僵持東京又作恫嚇
page 3	美影星廣播呼籲援華鄧波兒慰勞中國之兒童歌詠團唱義勇軍進行曲
page 3	出國護照本人應簽字關係方面促國人注意
page 3	黑龍江省府不久將成立馬主席在前方策動復土工作
page 3	美大使訪孔副院長
page 3	王法勤逝世蔣委員長電唁
page 3	日機襲滇桂
page 3	大學畢業考試辦法教育部決嚴格執行
page 3	德使奧特訪問松岡
page 3	滇緬路運輸積極改進中貝克談監理會工作計劃
page 3	美國方面之幻覺認日將疏遠軸心松岡對爐邊談話拒不批評
page 3	對美總統演詞日報觀察不一
page 3	胡大使赴加接受名譽學位
page 3	美對遠東危機尚未完全洞察陪都各報對美總統演詞觀察
page 4	羅斯福總統表示仍維持中立法與海洋自由政策並無牴觸美勞工同盟通告禁止罷工
page 4	美總統演說各方反響一斑英認美已迫近參戰邊緣柏林認為不聳聽不新穎
page 4	哈里法克斯謁見美總統會談達兩小時
page 4	新加坡與印度
page 4	納粹的工業力量四
page 4	馬尼拉之批評
page 4	威爾基氏擁護總統演辭呼籲團結為行動後盾政論家認為參戰前奏
page 4	克里特島澳紐疲軍苦戰不斷與德援軍猛烈肉搏德方宣傳已佔領蘇達灣
page 4	軸心利用法輪圖增援北非被英機發覺放魚雷擊沉法屬突尼斯港亦被轟炸
page 4	漢國閣員集中巴黎
page 4	伊人決堤圖陰英軍推進伊前攝政抵法魯雅正從事組織新政府
page 4	美眾院通過陸軍購機案數達二十餘萬萬元美巨郵改作海軍輔助艦
page 4	威廉二世向體日趨衰弱
page 4	德義船隻損失總數開戰迄今達五百餘艘
page 4	英眾議探詢英蘇近況艾登無肯定答復
page 5	抗戰四年以來我空軍戰績彪炳擊毀日機已達一千五百餘架祖國空軍建設基礎益臻鞏固
page 5	我軍事考察團在星訪問完畢鄭康祺發表臨別贈言
page 5	戰時國防軍需工業技術員工緩役辦法
page 5	優待俘虜
page 5	高欽師管區徵政日有起色各地清欠運動順利開展陣生暢談出巡督徵經過
page 5	日艦砲轟陽江閘坡防城東興形勢緊張
page 5	我克惠博經過惠陽損失約達一百萬元
page 5	滬市民食前途行將轉入佳境投機米商現已黔驢技窮米價不難跌進百元大關
page 6	立法局會議港督演說宣布提高戰稅率戰稅委員會報告書發表輔幣及迫遷兩法案通過
page 6	港銀行通匯地點國內外僅百四十餘區港銀行聯會最近通告
page 6	回國僑胞
page 6	小販已呈港督備陣遭遇苦況請求指定擺賣地段範圍禁毀壞貨品傷殘身體事
page 6	港仰運費最近一再增加港泰運費亦增
page 6	巴國排華事件昨抵港巴僑百七十三人彼等詳述在巴悲慘遭遇
page 6	某名流主張增加華籍太平紳士名額計萬八千餘華人中只有一個但每七百餘英人內即有一名
page 6	拘捕
page 6	培正分校定後日舉行家長日慶典
page 6	赴緬領照手續日前有十六人赴緬受阻中國旅行社請旅客注意
page 6	今日端陽節市上魚肉果品漲價鍾聲華員龍舟競渡
page 6	招商局泊港海雲輪售與挪商華林公司售價計為美金三十萬元價款用以發展內地航運
page 7	公開棒球聯賽會今日代表會議商討比賽事宜各隊舉行抽籤本星期日有兩塲友誼賽
page 7	世界著名拳鬥家希墨林喪生因被俘虜企圖逃脫被鎗擊斃德方消息未證實
page 7	居聯體育部現正積極發展各項運動成立初中級游泳訓練班
page 7	星島征菲球隊人選產生陳齊珍隨軍
page 7	東星征澳足球隊第一戰陣容排定
page 7	星中華體育會開理事會促進會務進行
page 7	南華在星第一戰戰和華聯記老惠微感不適臨陣倦勤德輝統帥結果瓜分四球
page 7	投桃報李先各獲自由碼
page 7	危險鏡頭雙方極少演出
page 7	東方水球隊週末戰米杜息
page 7	平分天下二比二訂和約
page 7	老惠論戰
page 7	外匯牌價仍無變更英匯沉寂申匯微淡
page 7	股票市況穩靜昨日成交二萬餘元
page 7	國幣市況略轉下游
page 7	四四金市依然沉寂
