page 2	社評美國宣布對日廢約以後
page 3	東京談判進行停滯英代表態度轉堅強美財部研究進一步對日辦法
page 3	德國作空人情希特勒為安慰日本計已與日簽訂貿易協定
page 3	遠東危機與美國二
page 3	板垣要挾平沼加入德義軍盟主張再召開五相會議以應付歐洲之新局勢
page 3	顧大使之談話美毅然廢止美日商約對世界福利影響遠大
page 3	英法政府將發表聲明闡明莫斯科談話現況德國已顯出恐慌
page 3	駐美日使館參議須磨將被調任他職
page 3	日反英運動復熾我各界醞釀向英忠告請繼美國採積極措置
page 3	英國重視新加坡防務馬來羣島新司令抵任將準備隨時應付非常
page 4	晉南續有激戰夏縣Ｘ軍被我擊退翼沁公路漸次肅清
page 4	華中Ｘ軍總部強徵壯丁集訓
page 4	Ｘ機狂炸美僑財產美領從事調查
page 4	Ｘ搜括法幣在港套外匯
page 4	冀中我軍連日襲Ｘ制勝
page 4	華北水患情勢嚴重平漢北段已停車
page 4	美日商約之廢止儘可提前禁軍用品輸日日本此時無力對美作戰
page 4	法幣問題檢討續
page 4	本年上半年對外貿易統計戰區各關均為入超
page 4	中蘇借款傳已接洽就緒
page 4	湘贛城鎮被炸中央將撥款救濟
page 4	康省台站省府積極修復
page 4	Ｘ誣我軍使用毒瓦斯我為正義人道而戰絕不採用殘酷行為 
page 4	黔保安會議已於昨日閉幕
page 4	滬愛多亞路被捕人犯昨日大部釋放
page 4	英航空大臣乘機遇險被迫中途降落駕駛人員受傷
page 4	滬英兵四人橫被Ｘ扣留拘押三小時釋放
page 4	法國總選延期兩年舉行
page 4	英王批准信用放款案授權政府貸予友邦
page 4	倫敦警察嚴防騷擾
page 4	英埃海空軍將聯合演習
page 4	法幣怎樣
page 4	德國的安慰
page 4	京滬路沿線我游擊隊活躍火車一列被炸毀
page 4	羅斯福考慮三次競選
page 4	英國將擴大宣傳工作賀爾提增加預算案
page 5	Ｘ艦砲擊石岐中山形勢愈趨嚴重城?老弱婦孺連夜疏散橫門封鎖仍固Ｘ偽續增
page 5	粵省府省務會議決設省立瓊崖聯中契稅繼續減徵一年
page 5	由軍艦帶來的汕頭歸鴻淪陷前後情形報導下
page 5	粵省增加農村貸款
page 5	粵當局救濟漁民
page 5	瓊崖戰訊Ｘ犯咸諒石橋被殲
page 5	河源集團結婚
page 5	惠陽槍決匪徒
page 5	來函照登
page 6	商賬會昨決定八一三獻金辦法日期八月十日至十五日集行商會獻國幣五千
page 6	光管招牌遇颶風須熄滅
page 6	國民外交協會發起海外義賣向國內各社團徵募精品首批物品趕聖誕節義賣
page 6	本港某煙草公司籌劃在滇種植提倡後方生產減少漏　潮汕抽紗移往四川發展
page 6	港府正式公佈實施強迫兵役法八月二日開始檢驗體格委出兵役管理處各委員
page 6	本港居住問題新建樓宇有如雨後春筍最近半月擁擠情形漸減
page 6	八月七日本港公眾假期
page 6	舊輔幣十一月一日起停止通用
page 6	中環填海完成後交通中心將東移可填成之地四萬餘方尺建廣大碼頭為巴士總站
page 6	中環果販七七義賣已收港幣五千餘元
page 6	青年會隨軍服務團派員來港募捐
page 6	延繳水費將附加罰欵
page 6	昂船洲砲台實彈演習演習日期規定
page 6	婦運會改稱以後直轄於總會
page 7	棒球聯賽閉幕後國際賽乘時崛興下月中旬開火採用淘汰制兩華携手合併實力極強固
page 7	帆布艇賽今天下午舉行
page 7	菲網球名位發表山查茲居第一安邦成績亦佳名列第二
page 7	今日一場友啤出戰西洋兵
page 7	雨中雜記
page 7	廣東體育會在粵北成立張發奎李漢魂任會長推動工作計劃已決定
page 7	南華遠征隊請援惠堂升火待發預算後日乘輪赴爪哇因生意經明天纔決定
page 7	東南西北
page 7	南遊日記
page 7	泰國網球隊八五抵港港方準備迎戰
page 7	申匯市況昨好趨轉荷匯再略上漲印匯則微縮英匯美匯市況頗穩但仍靜
page 7	上週港股票市況非常呆滯各股票價格有下跌傾向昨日市況尤屬黯淡異常
page 7	過去半年內粮食進口情形戰事影響來源時斷時續銷場消失米石麪粉俱減
page 7	八九金市穩而沉寂
