page 2	社評基輔棄守以後
page 3	湘北我軍開始反攻敵軍全部陷我包圍汨羅南岸敵軍傷亡已萬餘人
page 3	美日談話停頓紐約輿論痛斥安撫政策日方否認近衛再致函美總統
page 3	臨洮觀測隊報告日全蝕詳情攝得五彩影片攜歸研究
page 3	教部遵蔣委員長諭實施國民體育計劃合軍訓警訓體訓為一
page 3	香港封存法幣事財部發言人談話此舉目的在消滅黑市
page 3	我決繼續抗戰直至最後勝利顧大使在倫敦發表聲明
page 3	日本向那裹走上
page 3	教部通令整頓學風國家綱紀必須整肅凡有越軌執法以繩
page 3	滬公共租界中區日人又被擊受傷
page 3	反侵略會籌開年會中國分會定十月底舉行李石曾氏日內飛渝協籌一切
page 3	陪都初霧今年見霧特早為已往所未有
page 3	敵窘狀一斑以犬貓肉冒充火腿臘腸缺乏紙料數大報將停刊
page 3	爪哇中部火山爆發
page 3	越南日軍月杪在柬埔寨舉行實彈演習
page 3	貿易部部長人選已確定組織方案審訂中
page 3	回教齋月自前日起開始回胞奉行齋戒
page 3	澳駐倫敦代表離澳過美赴英
page 4	基輔失陷證實紅軍仍在近郊抵抗
page 4	城內滿目荒涼德軍一無所獲
page 4	德又誇大宣傳謂已抵亞速海
page 4	英機六百架又猛炸歐陸歷四十四小時多中目標英機損失為數至微
page 4	英人一致呼籲援蘇主張派軍在歐登陸
page 4	大選前夕的菲律賓一
page 4	高壓下之挪威人民橫遭逮捕監獄為滿挪人之工商業盡被強佔
page 4	希王抵英
page 4	自由法國派聚利亞總督新內閣亦已組成
page 4	德對東線戰事抱悲觀態度日通訊員之報導
page 4	美國西部發生地震
page 4	貝當如此呼籲停止反德行動謂狙擊行動將引起不祥事件
page 4	保國局勢嚴重迫近參戰邊緣德兵源漸缺亟待補充保王及軍事將領曾訪希特勒
page 4	英報論保國之動向攻土侵蘇皆有可能
page 4	德土經濟談判一部分已完成
page 4	美代表三謁教皇衆認意義極重大
page 4	短評湘北二次會戰
page 4	美化學品價格飛漲當局已設法制止
page 4	伊朗前王財產已被充公用以賠償不漢罰款
page 5	東北義軍苦鬥十年實力較前益強勁李杜將軍談義軍之組織
page 5	桂林米價大跌市府極力疏通來源公布六項調節辦法
page 5	慰問蘇聯函交總會彙寄
page 5	桂省調劑金融日內有大批輔幣運到
page 5	川省田賦改徵實物自本月十九日起實行
page 5	滬中外金融機關擁護新外匯政策
page 5	中交四行辦理結匯
page 5	英文金融週報讚揚平準工作
page 5	粵省行政會議通過糧食增產交通建設等要案多起
page 5	空襲時間工廠給資辦法社會經濟兩部會同訂定
page 5	外籍專家發表意見
page 5	鄧植儀在粵視察指示增產方針將分頭向各方詳細討論
page 5	上海美僑紛紛撤退
page 6	外匯統制局昨通告限令停付國幣存欵但接規定辦法仍得支付
page 6	公務員加薪研究委會注意警察生活對華警薪俸額特別關切普通警察月薪二十二元
page 6	馬思聰與新中國樂曲由抗戰中歌詠蓬勃現象講到綏遠聯曲劍舞
page 6	培正嶺英真光等校競奪學校募債冠軍
page 6	鄺榮賄賂案二次提訊
page 6	菓洲貨艇主串同海盜劫去貨物萬元華探翁輝得憑各方線索將各人犯貨物大部起回
page 6	我出席勞工大會代表即行離港赴美朱學範乘飛剪機出國港勞工團體歡送朱氏
page 6	歐亞港梅線積極籌劃有關方面妥為接洽
page 6	失事之中航機南京號昨日拆卸運回機場受傷師等傷勢已好轉被厭受傷之黃志昨出院
page 6	第二批特務警察明日開始受訓受訓者仍多屬第一次報到人員設深造班編練教官人才
page 7	全港華人游泳賽昨日圓滿收場陳震南四百公尺破全國紀錄尤世坤劉帝炳亦打開新局面
page 7	鐵城杯籃球戰民大南華均捷
page 7	週末賽馬增多一場
page 7	球國風雲急四華陣線談星島東方兩會無大變化德輝投奔光華頗夠剌激
page 7	校際小球賽比賽章則公布
page 7	韶關球事雜記羅斗文踢足球受人愛戴譚江　有意赴韶關服務
page 7	特別銀牌籃球賽星島力取育賢四十一比卅七贏兩球今日康元僑星有劇戰
page 7	卓雄杯決賽摩托戰西園
page 7	本港昨日外匯牌價依然穩定全無變動但申匯市况略見好轉
page 7	股票市況轉弛基輔陷落日美談判停頓影響市場陷於冷落狀態
page 7	國幣市況趨漲因受凍結國幣存款刺激最高時達一七七五○
