page 2	社評偽軍反正
page 3	贛北鄂南鏖戰甚烈我軍又衝入南昌發生劇戰通城崇陽均在我軍控制中
page 3	南昌近郊戰
page 3	我機炸鄂Ｘ
page 3	我包圍偏關
page 3	渝市善後事宜政府積極辦理中籌撥鉅欵救濟難胞Ｘ機昨又飛川轟炸
page 3	河北在我們手中二重慶航訊
page 3	汪兆銘在滬行動無自由投機者裏足不前
page 3	我軍攻入德州焚燬Ｘ倉庫工廠破壞津浦路車站
page 3	英決派軍艦保護華南航權Ｘ加緊封鎖我沿海之結果
page 3	蘇皖我軍猛烈反攻各路進展均順利
page 3	曹炳生大殮兇手來歷查明
page 3	紀念五九滬市民吃素
page 3	豫北偽軍紛紛反正投誠
page 3	陸逆日安在定海被擒
page 3	Ｘ酋厭戰在粵賦詩明志
page 3	Ｘ機轟炸莫干山西人電請制止
page 3	英使赴蓉日內仍返重慶
page 3	汕海大風溺斃難民多名
page 3	潿洲島上疫癘流行
page 3	中央社職員李堯卿逝世中宣部呈請中央優卹
page 3	Ｘ機肆虐鄂閩陝均遭轟炸
page 3	韶各界舉行擴大紀念週由張發奎報告
page 3	滬兩暗殺流氓趙永桃死
page 3	富陽之Ｘ圖蠢動受創
page 4	德義兩國同意締結軍事同盟短期內將在柏林簽字齊亞諾返抵羅馬報告
page 4	德向義提保證不以暴力威脅波蘭為換取同盟之條件
page 4	內容嚴守秘密義認簽訂同盟目的係試探蘇對歐政策
page 4	英國不感驚異官方暫時保留批評不影響反侵略陣線
page 4	美外交界觀察德義簽訂軍事同盟日將與民主國協調
page 4	法官方極重視對歐洲大局無影響英法仍須準備防變
page 4	日南進政策與暹羅二
page 4	蘇聯人士意見軍事同盟不足為異祇圖恫嚇西歐各國
page 4	日本圖附驥尾拓相謂日本與德義進行簽訂三角同盟
page 4	波蘭觀察樂觀義實被迫與德締盟波德關係待德自決
page 4	Ｘ侵我祇年餘窘態畢現壯丁被徵農忙無人原料缺乏各業停頓
page 4	蘇聯向英保證外交政策不變英覆文已送達莫斯科德蘇協調亦屬不可能
page 4	波丹金抵羅蘇土談話經過圓滿同意加強友好關係
page 4	里比亞總督巴爾波抵埃
page 4	德海軍演習在丹麥海面舉行
page 4	傳義王月底將報聘德國
page 4	短評德義同盟
page 4	日本加入
page 4	Ｘ之惡謠
page 4	羅外長加芬科將再訪土希
page 4	生產會議昨日在渝舉行
page 5	Ｘ猛犯寧陽路不逞遭我打擊潰回會城我軍乘勝攻略已將孤城包圍江佛路鄧部克雅瑤進至玉崗
page 5	Ｘ機專與我人民作對六日又炸汕頭市燬屋甚多民眾傷亡尚少潮汕鐵路沿線亦遭轟炸
page 5	徭山行原始社會的巡禮二
page 5	陳卓霖溺職案已在三水獲得確據
page 5	汕頭加緊疏散
page 5	澳門劃商業區
page 5	北海英艦抵埠
page 6	本港教育積極改善師資訓練學校九月開課教育行政經費月有增加
page 6	怪機三架昨日闖入大澳上空
page 6	粵省銀行廿七年度獲利二百餘萬較前年增加五十三萬元
page 6	中國工業合作社發起籌款運動由本港名流組織籌委會託四婦女團體開餐舞會
page 6	駐華英艦隊司令諾貝爾擢升上將肯特旗艦昨晨昇上將旗仍留任駐華艦隊司令職
page 6	戰時攝影團籌備戰影展覽
page 6	粵振濟會定明日召開談話會李漢魂函各委參加
page 6	賑聯會常委例會黃花崗再演問題演出名義等仍待商
page 6	救亡劇團義演由廿五日至廿七日在利舞台民族萬歲保衛祖國等三劇
page 6	郎靜山攝影展覽十一日舉行預展
page 6	副刊投稿人籌組光社集議二次通過章程
page 6	國民宣誓僑光旋風昨日舉行洋務工會在請示中
page 6	貂蟬紅樓夢本港閨秀名流義演為婦女兵災會籌款
page 6	抗戰特輯中央戲院今日三場收入完全貢獻政府
page 6	法國郵船禁止閒人登輪
page 6	兒童遊藝會定本月二十日舉行
page 6	毒藥法例修改後在憲報公佈
page 6	印刷業商會今日成立有印刷業商百餘家葉蘭泉主持開幕禮
page 7	公開網球單打賽徐煒培蟬聯錦標昨日決賽力克頑弟徐潤培戰來認真落力結果三比二
page 7	歐洲帶台杯網球第一週結束南匈德波獲得勝利
page 7	學界排球昨日比賽結果
page 7	比國代表與去年相同
page 7	南華會遠征前將先戰港聯隊日期尚未決定總會已予允准港埠際隊定今日抵埠
page 7	昨晚公開籃球賽星島佔先二分南華認為有錯誤將提出上訴東方雖勝鍾聲最後自願棄權
page 7	山查茲當選菲第一單打
page 7	上海田徑界不甘寂寞定期開國際運動會
page 7	前重量拳王勃拉鐸克將重作馮婦
page 7	鑑泉杯乒乓今日比賽四場
