page 2	從松岡的煙幕說起
page 3	美國準備加緊援華寇里一行由蓉返渝關島設防案美眾院已通過
page 3	松岡異想天開散佈和平煙幕艾登外相將予駁斥
page 3	野村語無倫次猶圖對美誘脅對關島設防甚震懼
page 3	美眾議院議員力主制日倘日向新加坡進攻美海軍將打擊日本
page 3	英國各報洞燭日人企圖一致對日無情譴責
page 3	美將增強太平洋航務增撥大批輪船西來俾英輪增航大西洋
page 3	美國新任命三武官分赴泰國星洲吧城蕭氏被任為副國務卿
page 3	馬來亞防衛森嚴星督勉防軍戮力防敵印度亦已準備應付非常變局
page 3	國父逝世十六週年各地將集會紀念並舉行植樹典禮
page 3	日政府與軍部又開聯席會議討論應付國際局勢
page 3	荷印積極戒備對粉碎侵略有決心日荷間談判尚無發展
page 3	日本方面找尋口實又圖對越加重壓迫暹羅灣內日艦達十五艘
page 4	德機飛希臘偵察義希和謠仍熾英國考慮加緊援希傳南保亦將發表宣言
page 4	美租借法案參院舉行第三日辯論議員呼籲民主國團結
page 4	達蘭返維希將向貝當報告談判經過法統一北非空軍指揮權
page 4	德人在波蘭榨取掠奪大工商業橫被霸佔委出董事支領鉅薪
page 4	英軍距阿京僅百五十哩阿復國運動發展迅速
page 4	阿根廷準備接收外輪現正研究辦法
page 4	滬汪紙店被人投彈
page 4	英蘇談判迄在停頓中波羅的海現狀承認問題兩國立場不同不允讓步
page 4	渝獻金競賽成績美滿總額幾達四百萬元超過預期數目四倍
page 4	英眾院討論英西談判問題談判現仍在延擱中
page 4	全國糧食會議昨晨開幕
page 4	全國主計會議首次在渝開會林主席蔣委長頒給訓詞以公慎嚴精勤五義勗勉
page 4	綏西激戰四日日軍西犯不逞湘北我軍出擊又獲勝
page 4	安東尼斯科排除異已
page 4	關島設防
page 4	達蘭返維希
page 5	我收復斗門後中山日軍起恐慌連日施行戒嚴封鎖灣澳交通泥灣白石倀軍已撤退
page 5	桂省立醫學院劉南山報告最近概況
page 5	陳嘉庚建議創設國立華僑師校教長陳立夫覆函贊同並主張在海外另設一僑校
page 5	蔣委員長新運廣播
page 6	立法局昨日會議通過本年度預算案議員抨擊移民局之腐敗反對以所得稅代替戰稅
page 6	代督岳桐中將跌傷不克出席由輔政司史美就任主席非官議員按序發表意見
page 6	鐸威路不贊成低水準入息稅政府應體恤人民之疾苦直接所得稅將遭遇反對
page 6	羅文錦之演詞闡釋華人態度政府未能積極解決柴荒移民局行政已怨聲載道
page 6	少廖亞利孖打批評政府行政防空洞建設進行過遲緩移民局職員緩慢無禮貌
page 6	譚雅士之演詞批評稅收估計認為新稅似未包括在內促請政府肅清各種罪惡
page 6	李子方之批評保存盈餘政策目前如動用盈餘之款項下年度預算當不致不足
page 6	財政司之答詞改組戰稅委會研究所得稅及增稅問題本港仍應保存盈餘稅項
page 6	代督委派委員查究移民局事本港之柴荒有解決希望糧食統制問題日內公布
page 6	中國文化協進會續辦文化講座分設甲乙兩組徵求學員內容較第一期更為豐富
page 7	霍斯籃球隊過港明晚對抗港聯該隊下午四時在中青演講籃球戰術港九女分區籃球賽同晚舉行
page 7	恩德杯賽週末開會議
page 7	滬西青籃球決賽華星獲冠軍卅八比廿七擊潰軍官隊逞威西青華人吐氣揚眉
page 7	學籃女籃頒獎禮延期下週舉行屆時有男女表演賽兩場聯會大會春季後即召開
page 7	美匯市況昨畧回緊英匯仍靜申匯穩定
page 7	國幣市況尚稱堅穩
page 7	四四金市略趨穩定
page 7	股票仍屬不振買賣寥落價格稍趨下游
