page 2	希特勒東進的觸鬚
page 3	英進一步制裁侵略停止發給日輪憑照克萊琪訪豐田通知廢除商約
page 3	日海軍航空隊已侵入西貢日軍已佔領西貢附近區域越領海日艦增至四五十艘
page 3	遠東紅軍實力優厚日如北侵將受打擊
page 3	郭外長演說中英美密切合作可令日首先敗潰
page 3	龍田丸駛抵舊金山但不准卸下絲品
page 3	霍金斯在莫斯科與蘇當局會談討論加速以軍火援蘇霍氏重申美援蘇決心
page 3	華北日偽對英荷報復封存加拿大荷印資金
page 3	滬報一致呼籲對日經濟制裁伍德海主張劍及履及
page 3	菲陸空軍編入美陸軍定八月十五日實行
page 3	廣州日偽統制英美資金宣布實施交易條例
page 3	奧特訪山本
page 3	美總統請求國會規定物價與租值物價上漲影響國防生產
page 3	頭山滿訪近衛
page 3	美眾院軍委會贊成延長兵役
page 3	孔部長發表談話英美封存我資金係應我要求中英美在經濟上更緊密合作
page 3	亞倍茲返巴黎德法交涉重開巴黎報章鼓吹倒閣柏林要求維希聯防
page 3	印度準備銀行宣布封存中國資金辦法
page 3	蓋達又發狂言主張射擊美艦視美艦為交戰船隻
page 3	光榮孤立日國民新聞之呻吟
page 4	布丹尼親上前線紅軍再度反攻斯摩倫斯克益鞏固
page 4	蘇波協定簽字即將恢復外交關係波人在蘇組志願軍
page 4	英蘇空軍聯合作戰轟炸挪威北部
page 4	東線德軍捐兵折將
page 4	日本人比菲律賓人更聰明麽
page 4	空軍節陪都民眾團體準備盛大慶祝
page 4	德空軍司令鳥達特自殺
page 4	美總統輪五艘復航遠東
page 4	旅滬荷僑準備撤退
page 4	沿海敵艦移動鄂贛捷報頻傳
page 4	蘇聯勞工英雄發明新武器史達林備加讚揚
page 4	伊朗與阿富汗境內納粹第五縱隊活躍
page 4	荷女王向國民廣播保衛荷印不辭一戰
page 4	上海存糧日漸短絀
page 4	滬敵宣布擴大禁運十四種物品禁止出口
page 4	日機轟炸美砲艦美提強硬抗議議員要求作有力處置
page 4	捷克流亡政府美國正式承認
page 4	後門開不得
page 4	滬特一區法院仍照常工作談判說全屬無稽
page 4	本報渝館又遭轟炸昨日仍繼續出版
page 4	緬防空當局參觀我防空情報工作
page 4	拉第摩氏住宅曾落彈數十枚
page 4	澳駐華公使艾格斯噸將來華履新
page 5	粵省優良稻種收穫成績甚美滿四行集款二千萬元收購轉播本造各江豐收糧價可望平復
page 5	敬悼雲史先生一
page 5	桂在監人獻機航協總會特致函嘉許預計全國可籌廿萬元以上
page 5	粵省營織造廠開工出口布疋手工精良
page 5	自由法國運動星洲蓬勃開展各地擁有軍隊十五萬人民眾堅決反對維希政權
page 5	有趣味的算式希特勒將蹈威廉二世覆轍以數字證明本年內必實現
page 5	五華鎢礦走私猖獗幾全部落於敵手望當局嚴加緝拿
page 5	敵軍清鄉部隊迭遭我軍聚殲滬寧鐵路兩側滿佈電網一般無辜鄉民輙遭喪身
page 5	中山荷包島敵軍落艦撤退高瀾橫琴兩島亦無敵蹤
page 5	新都沙坪學府拾零
page 6	財政司昨繼續公布限制對華匯款辦法每人每月只准匯國幣千五百元指定十一銀行辦理外匯
page 6	嶺大同學會舉行百萬基金運動同時慶祝鍾榮光氏壽辰八月七日演塞上風雲
page 6	棺木日缺全港僅剩四千餘副壽及冥鏹亦起恐慌
page 6	海賊串同船戶騎劫貨物萬元尖沙嘴警探卒追蹤破案海賊船戶拘獲贓物截回
page 6	八十老翁領導募債港九木炭會熱烈購債
page 6	我某大實業家抵港談戰時西南實業工廠投資超過一萬萬元各種原料均試用國產品
page 6	羅旭龢女公子辦女光月刊
page 6	八月四日公眾假期郵局頌辦公時間
page 6	星群書店廉價發售書刊
page 6	中環菓販救護隊已安抵目的地該隊穿過敵人封鎖線返國服務熱誠至可嘉
page 6	商會新職員即可揭曉決定整頓會務
page 6	柴薪黑市活躍柴價最近高漲零售柴商表示經營官柴無利可圖故須暗抬柴價
page 7	協會年會順利進行下屆職員產生莫慶蟬聯會長林子豐任副席新舊職員即行交代禮
page 7	體壇憶舊錄
page 7	雨阻球事
page 7	香港會阜拉任甲組隊長
page 7	鐵城杯友聯戰新青
page 7	甲組足球新軍工程實力強橫英倫好手多人決為該隊效力
page 7	卓雄杯小球賽東山戰馬球祿臣
page 7	星甲組足球聯賽工兵破中華一比零菲而洛銅頭建功聯賽形勢起變化
page 7	港府凍結華人資金影響申匯市況好轉美圓價格則再度低跌
page 7	國幣回漲
page 7	股票市況沉靜買賣寥落成交三萬餘元
