page 2	貢獻於香港中國青年
page 3	我軍猛攻克復奉新忠勇空軍飛安義予Ｘ重創贛北Ｘ軍死傷已逾三萬人
page 3	贛北方面
page 3	豫鄂方面
page 3	粵海方面
page 3	外部通知各使館我封鎖海門Ｘ機械化部隊開杭在錢塘江沿岸騷擾
page 3	償付外債財部再加解釋以鹽稅為擔保之公債由中央銀行另立專賑
page 3	南昌城郊血戰Ｘ遭遇空前打擊武寧攻守慘痛壯烈Ｘ人讚頌我軍英勇
page 3	鄉民奮勇擒Ｘ機師由軍委會給獎
page 3	滬Ｘ受挫我軍攻至北新涇
page 3	鄧家彥視察桂省黨務
page 3	桂省優待軍人家屬成立優待委會
page 3	鞏固幣制法案英貴院三讀通過
page 3	我空軍飛蘇北炸沉Ｘ艦二艘皖南我軍亦擊沉一艘
page 3	英眾院開會討論香港情形日機濫炸深圳事件已交付二萬元賠款
page 3	粵Ｘ得不償失軍費開支浩大每月收入極微
page 3	滬金融界組經濟考察團出發西南各省
page 3	滬Ｘ開槍擊傷行人四名
page 3	平郊我軍勢力雄厚Ｘ軍疲於奔命
page 3	晉南戰局趨緊張浮山陷落Ｘ續東犯綏包Ｘ偽勢成對立
page 3	渣打銀行年會董事會主席演說認中國前途有望
page 3	粵省振濟會商今後計劃首期救濟預算擬定
page 4	法總理堅決表示拒絕義國要求法團結愈足禦外侮談判須根據協定精神
page 4	議認演詞強硬實出意料之外
page 4	巴黎當局公布法義協定換文
page 4	張伯倫宣佈增加地方軍總數共達三士四萬人足應會歐洲任何變故
page 4	艾登等三十四人主組國民內閣已向眾字提出動議案
page 4	廣西學生軍三月二十五日桂林航訊二
page 4	斯允匈要求割讓土地千六百公哩並派代表赴匈京會商
page 4	英德商務談判現已停止進行
page 4	波國會議長稱對德決不讓步外交政策亦不受限制英波現正作密切聯絡
page 4	西內戰結束共和軍轄境紛紛投誠國防會委員大部被扣
page 4	美對承認事仍在考慮中
page 4	義德西要人將舉行集議
page 4	法總統選舉下月五日舉行候選祇有五人
page 4	墨索里尼出發作沿海遊
page 4	影城有情人終成眷屬基寶與林拔結婚
page 4	世界筆會法分會舉行中國文藝欣賞會我顧大使等均參加
page 4	有田邀會英美法大使圖拉攏民主國平沼表示對三國關係須打開難關設法調整
page 4	Ｘ新黨運動最後幻滅中野正剛辭議員東方會幾瀕瓦解
page 4	德波關係
page 4	外電誤傳
page 4	蓋達著文盛語淩英對英國空軍不放在眼裏
page 4	法國增強越南防務設飛機廠多家
page 4	中德商務最近漸見好轉
page 5	正規軍紛紛增援爭奪江門我佔優勢鄉民數千鳴鑼動員參加抗戰容奇桂洲北街豬頭山均克復
page 5	上海人民誓行國民公約成立動員總會發表嚴正宣言
page 5	Ｘ又在福州肆虐炸繁盛區沒有炸彈扔石頭市民受傷者數人
page 5	延安的女自衛軍下
page 5	台山開墾殖區
page 6	全港學生界今日舉行國民宣誓決定實行精神總動員擁護國民政府服從蔣委員長
page 6	大霧瀰漫中港外兩巨輪相撞廣東號輪受傷較重霞飛將軍號亦折返
page 6	時人往來
page 6	港大副總監擬於日內赴渝徵詢我當局對該校意見參觀我國高等教育現況
page 6	立法局舉行例會提議各案均通過
page 6	各僑團工會響應焚債運動表示購買公債志切為國洋務工會昨第二次發動
page 6	紀念劉湛恩殉國一週年港各界籌備紀念會
page 6	領島少年團歌詠隊廣播兒童節歌今晚八時在播音台
page 6	救濟學生會昨招待教育界報告辦理經過
page 6	鮮牛奶消毒明日實施各公司已籌備完妥
page 6	清明掃墓園林官發出通告須小心燃及山草
page 6	業餘聯誼社新社友擴大交誼會四月二日在孔聖堂
page 6	海龍帆船
page 7	東方會最後一戰今日對抗米杜息下午五時在掃桿埔球場舉行名將曹秋亭許文奎趕來助陣
page 7	明年世運大會門票銷售暢旺僧多粥少定座將加限制
page 7	林添德朝氣蓬勃擊退老將芬渣大戰三十二局連勝兩盤
page 7	法國蒙特卡羅網球大賽各國參加極踴躍
page 7	滬華人足球隊又一傑作預備組錦標重歸東華
page 7	暹匯稍漲申澳無變更其餘均低縮英匯需求俱多市勢仍緊申匯市況好轉華商頗多吸進
page 7	股票市未見好轉全日成交約十一萬元但股價大致仍頗穩定
page 7	八九金市異常堅挺好友吸進漲勢頗勁
page 7	英金續漲英銀俱平
