page 1	中菲訂約
page 2	晉境戰鬭持續進行汾城緊張國軍進駐猗氏
page 2	魯南山區日來無激戰共軍結集新泰萊蕪一帶
page 2	瀋陽方面所傳林彪被殂經過
page 2	閩境小有擾亂
page 2	籌備接收大連龔學遂定日內赴平轉瀋
page 2	麥帥報告日本政務日本人民需要增加主權注意復興工業重建貿易遠東委會宣布勉強批准日憲
page 2	執行遠東委會決策盟總命令日本政府償還盟國人民財產凡在戰時所奪去之財產均應償還中國發生戰事在一九三七年七月
page 2	恢復日本工業文化不應由美片面行動太平洋學會美分會之意見
page 2	田糧會議下月初在京舉行
page 2	蔣主席昨對中訓團員講話
page 2	行政院改組待決定國府組織法或刪第十五條蔣主席堅邀徐傅霖任府委
page 2	顧維鈞在美演講促完成德日和約
page 2	我擬向美購船港航業人士談話
page 2	對於國府改組美國反響一斑
page 2	對於援助希土法案郭泰祺聲明我立場
page 2	平津記者參觀新港美哨兵曾舉槍強迫各人返車記者聯誼會對此舉表示遺憾
page 2	羅隆基返滬交涉釋放杜斌丞等無結果
page 2	準備對日和約美專家討論將完畢
page 2	川陝路大橋突焚燬重慶行轅規定交通警備辦法
page 2	廣九車遭襲擊乘客及憲兵死　廿餘人
page 2	川漢鐵路測量隊即自渝出發
page 2	興築滇黔鐵路計劃正由交部審核中
page 2	李逆輔群判處死刑
page 2	粵省復興計畫將由華僑　任一部經費
page 2	華僑赴菲困難菲移民局不核准入境申請書法勃爾謂須等待新政策決定
page 2	台省審戰犯平岡久忠等二名受審
page 2	南京遊園盛會昨在後湖舉行紅十字分會　　
page 2	李承晚定今晨飛漢城
page 3	奧和約序文全部通過條款三項亦獲致協議疆界賠償問題仍在僵持中
page 3	不得向奧要求賠償波茨坦會議已決定貝文反對南國之要求
page 3	外長會殆將休會英法代表正作返國準備
page 3	史達林接見南國副總理
page 3	從華萊士訪英看英國政治情勢
page 3	范登堡發表談話主張停止租借物品運蘇
page 3	丹麥與美談判要求撤退格陵蘭美軍
page 3	英蘇應更趨接近拉斯基在捷京之談話真理報論修改英蘇條約目的
page 3	德煤出口英美法即締協定
page 3	法總統抵西非視察
page 3	挪威歡迎華萊士稱他為平民最重要之呼聲
page 3	生理奇蹟蘇聯四歲半小孩體重達一百十磅
page 3	成年的英國女儲君
page 3	蘇聯阿富汗簽訂電訊協定
page 3	英王位繼承人伊麗莎白公主成年英人注意她此後生活的改變
page 3	尼赫魯遭示威者襲擊
page 3	中東四國談判訂約伊拉克有依賴美國傾向
page 3	闡明團結運動目標戴高樂即發表聲明法政局將因而趨於明朗
page 3	日參議員選舉昨在各地平靜舉行
page 3	奧斯丁演說稱美為保衛和平而行動
page 3	保障新聞自由美記者協會之呼籲
page 3	原子能發展遲滯李林塞爾表痛心
page 3	移交印度政權英議會將進行立法工作
page 3	董其武談話綏省決普設合作社
page 3	令人不快
page 4	有關土地產權問題地政署函地政局解釋街衢及行人道上不得築騎樓露台
page 4	敵偽徵用土地照現行法定地價補償
page 4	路局案更審陳伯莊被傳作證
page 4	小火兩處跌傷一人
page 4	電話公司薪金高級職工月入達千萬元普通職工在水平線以下電話公司產業工會負責人談
page 4	外灘公園遇仇人九年沉冤一朝雪李孝思仗敵勢捕殺鄉人攜姘婦遊園不料遇苦主
page 4	遊覽蘇州無錫青年館旅行團舉辦
page 4	兩個小偷越獄捉回來成三個
page 4	失業教員充工役貧病交逼跳樓死一日三起自殺都是為了貧病
page 4	滬市童子軍五月五日行宣誓禮
page 4	東華隊不堪一擊漢城四比零大勝
page 4	華聯蟬聯冠軍昨日險勝汕隊四十比三十八相差二分
page 4	民校演說比賽定下月初舉行
page 4	精武摔角拳擊比賽今晚七時在體育館舉行
page 4	體育協會新理事名單
page 4	交大續辦航機兩科交通當局予以支持
page 4	搗毀報館議會等處後蕪湖警察又復全體罷崗憲兵維持市面秩序夜間戒嚴
page 4	團體學校竟遭波及
page 4	警察欠餉大有問題
page 4	中牟大橋拆除另建十孔長小橋一座
page 4	嘉興車站武劇乘客站員互毆
page 4	記者請願團返錫將再開會商善後
page 4	川省農貸核定一百五十餘億
page 4	東安縣長違法瀆職縣參議會提出彈劾唐生智批評艾孟求種種不當
page 4	丹陽參議會五五召開首屆大會
page 4	廣州院轄市李揚敬談九月前改制
page 4	陝省施行緊急措置八個行政區專員縣長皆授特權關中陝南治安較佳亦候令實施
page 4	適之圖書館績溪議會決定建立
page 4	桃汛已過水位續落飛機偵察黃河堤防
