page 2	社評如何鞏固法幣地位
page 3	鄭州附近敵受重創中牟以西戰況猛烈南昌敵軍結集有蠢動模樣
page 3	美禁絕汽油運日英荷亦採以同樣步驟日對外貿易全部停頓
page 3	日本經濟每況愈下商相亦談話承認
page 3	清水囈語主張壓迫蘇聯停止對德抗戰
page 3	敵壓迫江海關禁運物資出口
page 3	馬來亞缺乏勞工徵集志願軍英軍總司令潘錫福談話
page 3	晉南我軍出擊克汾河各渡口
page 3	湘北磁鐵戰
page 3	倪邁雅抵菲定今日搭乘原機來港出席中英美財政會議
page 3	德夫古柏行抵印度
page 3	田賦推收通則行政院修正通過
page 3	滬孤軍營因一士兵患病潛逃又被斷絕內外交通
page 3	上海之危機物價飛漲漫無止境勞資糾紛更形嚴重
page 3	我沿江砲兵擊沉兩敵艦
page 3	鄺炳舜電蔣委員長致敬並匯十萬元勞軍
page 3	滬兩租界由下月一日起停止節省陽光
page 3	請購外匯手續私人得向平準會申請
page 3	工程師學會定期在筑舉行
page 3	粵專員縣長一部分調動
page 4	莫斯科區大雪惡戰在維亞斯瑪附近進行中德軍後備隊全出動
page 4	美國的經濟戰略三恩源譯自八月份幸福雜誌
page 4	英加強中東防務組織東非指揮區
page 4	武裝商輪擬議政府勢在必行
page 4	冰島英美守軍嚴防德軍進犯巡邏機盤旋終日確保大西洋前哨
page 4	保境軍事調動忙全境已在德軍控制之下
page 4	芬蘭拒絕英警告竟謂對蘇作戰全屬自衛
page 4	澳全力作戰新總理寇丁氏演講貫澈前任政府職志
page 4	白宮討論中立法問題將提兩項修改准許商船武裝及駛入交戰區
page 4	美國舉行對外貿易會議羅斯福總統致書面訓辭論國際貿易與和平要旨
page 4	鎌田的話
page 4	短評不可再火上加油
page 4	德土聯合聲明否認假道傳說 
page 4	美飛機輸出七個月之統計
page 4	美眾院以絕大多數否決禁止援蘇條款眾院將討論經濟援蘇計劃
page 5	西江敵國無力再犯江會方面戰事膠着
page 5	韶關舉行勞軍運動獻金台上捐款踴躍月餅勞軍參加熱烈
page 5	晚秋慶豐收
page 5	韶關頭籌備紀念國慶發動宣傳運動以國防為中心
page 5	粵省行發行國幣券五千萬業經財部核准現正付印中田賦徵實進行頗順利
page 5	經濟界雜訊
page 5	粵糧政局成立今後兼顧增產倉儲工作將聘專門人才研究增產
page 5	成都瑣聞
page 5	韶防空壕內毒蛇傷人
page 5	大鵬南澳等地已無敵蹤我積極辦理善後
page 5	中大研究院最近狀況第二次招生考期約在十一月中旬
page 6	中英美金融會議昨日舉行預備會英美兩代表今年可抵港
page 6	湘北大捷人心振奮僑團熱烈慶祝雙十中外機關團體學校休假
page 6	立法局今日會議討論追加預算九十餘萬津貼米商款不足十一萬
page 6	阿根廷領事歐的士司機被罰百五十元
page 6	慰勞孤軍各界紛贈禮物
page 6	一毫印花稅郵局通告以郵票暫代
page 6	糶米會將集中全力辦理公共飯堂準備在港九每區設一所售菜站必要時即予撤銷
page 6	郭德權昨歡宴美軍事代表團英美駐港海陸軍司令官均被邀請參加該宴會
page 6	警探昨破獲私鎔港幣機關拘獲男女疑犯共十餘人搜出銀幣銀條值數千元
page 6	福建同疑兵會華民出面調解接見該會代表
page 6	華商會昨會議通過修改會章組織特委員會負責起草並決定設立國貨陳列所
page 7	星島會足球部定明昌開委員會議宋靈勝或可參加星東大戰許意成事東方昨開會討論
page 7	鍾聲泳場開週年水藝會
page 7	公開渡海泳加聘華職員域多利會舉辦之全
page 7	運動益害談佩明
page 7	星島體育會蔡惠鴻昨午大宴韋英
page 7	南華田徑測驗定國慶日舉行
page 7	皇仁水運會功德圓滿吳紹文冠軍
page 7	華人游泳會明日舢舨比賽
page 7	中青會單車環遊新界
page 7	鐵城杯賽印警平正獲勝
page 7	甲組聯賽形勢
page 7	澳門陶英乒乓隊明晨進犯香港正午開始比賽南商先打頭陣在港比賽共十場
page 7	乙組足球聯賽光華勇挫東方
page 7	股票市況靜寂買胃疲弱價格尚穩定昨日成交僅九萬餘元
page 7	外匯牌價無變更英匯美匯市況暗談申匯市況再略鬆弛
page 7	國幣市况續趨下游
page 7	輔幣短絀貼現率大漲
