page 2	再論歐局之謎
page 3	我將發動正規戰晉鄂對峙粵南較緊我軍對鍾祥取包圍姿態鄱陽東岸激戰繼續進行
page 3	樊城擊落Ｘ機贛鄂慘遭狂炸
page 3	川康視察團定今日出發將遵照蔣委員長指示注意禁煙及民間疾苦
page 3	日本人的字典要從反面去看張秘書長在渝廣播
page 3	到農村去渝專門以上學校學生昨日起出發宣傳兵役
page 3	范石生在滇遇刺身死
page 3	央央銀行擴充滇省業務
page 3	津英商會會長被綁架後截獲
page 3	金融會議孔院長閉幕詞續金融制度異常穩固在國際上獲得地位
page 3	由杭富至皖南嘉興一帶不斷接觸蘇北Ｘ軍攻勢衰歇
page 3	紐約婦女聯會贈蔣夫人榮譽章我使館秘書代表領取謂乃同情我抗戰表示
page 3	Ｘ軍火庫被炸確係反戰份子所為主動三人已被槍決
page 3	滬英商會會長反對華北偽幣制認為係破壞門戶開放之實例將以最大努力使其失卻效用
page 4	德國併捷後英法劇烈反應駐德英大使決定召回英醞釀組新聯立內閣
page 4	美國政策轉強加緊擁護民主國家
page 4	德國將再東進米美爾為第二目標
page 4	德軍入捷後大捕政治犯五千人被送入集中營金準備亦全數被攫奪
page 4	小俄羅斯向匈呼籲要求自治權利並請德向匈設法疏通匈軍隊前進續遭抵抗
page 4	希特勒赴摩拉維亞
page 4	希特勒邀晤霍爾第
page 4	英積極擴軍四年後海軍將無敵軍器軍火產量亦增
page 4	希特勒接見捷總統
page 4	捷克事變的內幕我們所得到的幾個教訓下
page 4	蘇日關係漸緊張日調大軍赴鮮滿邊境對漁區拍賣尚無表示
page 4	德國接收英日捷使館
page 4	Ｘ覬覦法屬發鎳礦工商省特組代表團前往新加拉度尼亞
page 4	羅斯福對關島築港案有重向眾院提出意
page 4	法增強越南防務設立機廠添派飛機並將舉行軍事演習
page 4	渝大學生的兵役宣傳
page 4	華北排斥外商
page 4	莫洛托夫演說蘇俄入新階段
page 5	粵調整黨政軍機構籌設幹訓團分期訓練幹部人員黨部省府委員定四月一日宣誓
page 5	澳四界會徵求僑胞回國服務
page 5	順德Ｘ勢漸弛我增援反攻大良新縣長吳以起赴任
page 5	粵第八區專員鄧世增就職秘書科長均已委派
page 5	睦洲河面匪劫電輪客貨損失二千餘元
page 5	浙訓練監犯編感化隊
page 5	春耕期屆中央振濟會推進生產救濟通令各省努力進行增撥粵桂急振款項
page 5	馮庸抵滇談東北游擊隊現況精銳卅萬隨時出擊襄防方面無大接觸
page 5	迷信結果瘋婦闖禍深圳難民營遭殃難民早遷幸無恙
page 5	中山籌設夜校
page 6	本港與華南間出入口貿易大減上月份出口僅及去年十之一本年損失將達二萬萬元
page 6	本港教育司擬辦師範學校九月開學現在討論中招考學生須中學畢業
page 6	漁民子弟寄宿學校慈善家集資籌設
page 6	兒童節舉行戶內贈旗獻金得款救濟教養難童
page 6	無線電時代播音台十周紀念收音戶增至萬餘
page 6	兒童保育分會在粉嶺覓得院址昨勘測完竣即趕速興工下月一日召開會員大會
page 6	還債運動英華女中學生捐出七百餘元
page 6	女青年會一期募捐成績甚佳
page 6	茶香室血案二次過堂李炳春延律師代辯
page 6	中國工業合作作協會在港設立分會國內急需各種技術人材希望愛國人士返國投效
page 7	甲組聯賽今日四場南華南戰警察會下午四時半起在九龍界限街場舉行銅鑼灣畔東方會對抗海軍
page 7	埠際人選李惠堂譚均幹已允屆時出席
page 7	星洲中華足球隊出征前奏曲一比一戰和星洲航空隊
page 7	游泳新紀錄
page 7	今晚首戰全菲副選隊
page 7	職業網球賽潘雷慘敗勃琪先示下馬威三盤中僅失一局
page 7	麗華杯足球決賽西文員陣線產生
page 7	草地網球賽大林珍輕取衣雲氏
page 7	昨日外匯牌價申匯價微漲市況略淡且靜買賣亦少英匯美匯市況俱屬沉寂
page 7	八九金市依然穩靜價較前微漲七仙半
page 7	一週間股票市況大致尚稱穩定匯豐銀行黃埔船塢成交最多
