page 2	社評歡迎寇里氏
page 3	豫南我軍光輝戰績殲滅日兵已逾兩萬失地先後收復現正乘勝追擊蘇浙邊境我軍繼續加緊反掃蕩中
page 3	日軍增調越南企圖策動事變美使向法詢問泰越談判真相
page 3	日本政策的徬徨倫敦泰晤士報
page 3	傳泰兩機場供日人利用
page 3	美使調任我政府已同意
page 3	日人慣技造謠挑撥
page 3	松岡又對美恫嚇竟謂考慮引用交戰國權利
page 3	日方對荷印面目益猙獰居然抹煞荷蘭政府
page 3	英報撰文斥日野心
page 3	日機圖襲渝
page 3	縱火不逞日人圖掩飾發表聲明表示遺憾
page 3	羅斯福總統代表寇里今日抵港昨在馬尼拉發表談話謂全美對華同情濃厚
page 3	滬四銀行遷至公共租界
page 3	金華亭遺屬中央決優卹並派員料理喪葬
page 4	美租借法案眾院開始辯論威爾基返美後該案將付表決美又大批建造商輪
page 4	伊里特利亞英軍又攻克巴倫杜義喪失領土一萬方哩希軍續勝迫近瓦隆那
page 4	古巴發現反叛政府陰謀陸海軍參謀長被捕總統暫兼軍事統帥
page 4	德對近東採懷柔政策對土改持溫和論調並向伊朗保證善意
page 4	英輪損失三萬餘噸
page 4	巴黎會談結果維希對德屈膝貝當內閣將澈底改組拉伐爾再度袍笏登場
page 4	日議會提出追加軍費預算一般預算達七十八萬萬日閣軍部舉行聯席會議
page 4	美總統代表與土交換意見聞土曾重申對希戰立場德方對美舉措極感困惱
page 4	蘇日談判長期漁約日方如此宣傳
page 4	羅鐵衛軍紛紛向當局投誠
page 4	美一轟炸機飛行失事墮落華盛頓州
page 4	威爾基視察英國工業區盛譽英人抗戰決心昨赴南愛晤凡勒拉
page 4	豫南大捷
page 5	全國交通界本年度發展計劃行將盡量利用人力物力財力各方面均有新的設施
page 5	澳柴價回跌銅元浮現市面
page 5	萬山島日軍秘密建築電台中山沿海日艦行蹤飄忽中順邊境我游擊隊活躍
page 5	逆水行舟記韓江快船
page 5	粵省籌設麵粉廠
page 5	粵省各校實施生產勞動訓練
page 5	粵定期召開金融會議
page 6	日軍在惠州登陸港韶交通被截斷本港郵政當局昨日公佈運入我國內地郵件停收
page 6	海外部長吳鐵城前日由仰光返港發表談話詳述南遊觀感友邦表同情僑胞愛祖國
page 6	商會擔保入境證今日期滿撤銷大澳走私船隻多改業偷運各內地旅客入境
page 6	回教青年會新職員已選出
page 6	旅港桂僑發起在柳州建設新村已成立籌備處開始招股港方由張兆棠負責辦理
page 6	三次義舞本月九日舉行
page 6	東華三院新總理我允就任明日選舉主席及首總理
page 6	廖恩德醫務所遷華人行
page 6	港府注意糧食問題鼓勵米商作適額之貯存決定維持麵粉接濟不斷
page 7	公開草地網球賽下月十日開鑼現開始報名定三月一日截止收入盈餘款項概捐出作戰費
page 7	麗華杯足球決賽陸聯布新陣門守賓琪因病或改用連奴士荷息復出上火線
page 7	澳足球選手隊定十一日犯港東方秣馬厲兵準備迎抗
page 7	華人游泳會職員產生王道安任主席
page 7	恩德杯排球賽十二開始報名
page 7	公開乒乓賽十六開始校際秩序重編
page 7	南華國術部招收新學員
page 7	本週足球節目二月八日星期六甲組聯賽
page 7	外匯牌價仍無變更美匯淡靜申匯穩定
page 7	股票市況沉寂買胃呆滯成交僅二萬元市底已現鬆弛之勢
