page 2	日本食糧恐慌的嚴重性
page 3	廣州外圍日軍增加侵擾中山並圖北犯嶺崬偽軍多反正經分別改編桂南膠著殘日仍困三塘附近
page 3	賓陽清除竣事秩序漸恢復居民返家已達十之五六滿貼抗議標語氣象一新
page 3	蔡元培遺體定今日入殮全國各地紛紛電唁家屬羅富國爵士亦浼人致意
page 3	廣州日軍譁變全市加緊戒備
page 3	滬槍殺案漢奸張連生被狙擊斃命
page 3	楊杰大使在返國途中
page 3	綏蒙各盟旗政委會組織法國府已明令公佈
page 3	蘇聯宣傳品將在渝舉行展覽
page 3	川省厲行禁煙四區正副協辦人選業已委定即日赴任
page 3	汪偽組織正在排演中
page 3	滬愛國青年警告奸商如再囤積將謀對付
page 3	高逆淩蔚在津病卒
page 3	人事行政會議舉行談話會戴院長親自出席
page 3	粵當局組織省訓練委員會加緊訓練各級幹部人員各區縣將分設訓練團班
page 3	昆明通信滇緬行三
page 3	滬西報證實日人不法行為蘇州河北拉伕確有其事
page 3	日間諜一名在桂南被我捕獲
page 3	晉南繼續掃蕩西犯日軍潰退
page 4	蘇軍越芬蘭灣進攻哈柏沙利等兩島大砲掩護滑雪隊活躍 
page 4	美國對日採沉著態度禁運案將隨時予以考慮美議員論日本南侵野心
page 4	韋爾斯今日抵巴黎羅斯福向記者表示並未考慮派使駐德
page 4	德巡邏隊活躍突襲英軍俘去多人作戰技術迥異從前
page 4	胡大使演講世界新秩序國際間應有明確義務按實力大小分擔責任
page 4	英工黨與和戰問題一
page 4	日本民政黨決議開除齊藤黨籍會場混亂大演全武行
page 4	傳德軍再度集中瑞士積極戒備召集合格人員入伍盧德邊境亦告緊張
page 4	英國充賽戰時經濟機構努力節約增加輸出發行公債三萬萬鎊
page 4	美前年造艦計劃最後兩艘已興工
page 4	民政黨與齋藤
page 4	汪兆銘與日閥
page 4	蘇聯真理報論日本危機
page 4	英國思想界之軒波中英國通信
page 4	蘇羅將訂不侵協定
page 4	日本共黨甚為活躍普遍作反戰宣傳平民參加者甚多
page 4	英決嚴禁德煤出口義運煤船六艘被扣
page 5	日軍猛犯中山前山一帶苦戰中翠微被侵擾石岐吃緊各鄉民眾已紛紛疏散
page 5	唐家日軍進犯上柵
page 5	石岐震動商民疏散 
page 5	省府防止盜竊交通器材訂定辦法維護交通私行買賣嚴重處分
page 5	李應剛談作戰經過
page 5	西藏紀行八
page 5	神秘之邦 
page 5	權貴剪影
page 5	劫後粵北從化全縣無一乾淨土清遠災黎數達十萬人
page 5	澳門難民麕集糧食價格高漲
page 5	疊石方面在相持中
page 5	日機肆虐騷擾各地
page 6	克利蒲爵士談在華印象甚佳民氣旺盛交通成就驚人即乘輪赴滬再轉往美國
page 6	印象之佳遠出意表
page 6	國共兩黨無分軒輊
page 6	中國勝利世界受益
page 6	將赴美國訪羅斯福
page 6	前晚燈火管制成績尚屬良好防空主任談得天時之助中環三數燈火熄滅較遲
page 6	炒馬票者有違法例蔡昌等昨被處罰
page 6	勸募不力
page 6	華商籌振會常委促主席領導工作因主席缺席要案須押候勸募隊十一日暫停工作
page 6	塘西歌姬續辦義唱參加者多屬新人
page 6	粵省府考錄計政系學員在廣州大學放榜
page 6	東樂大戲院今晚仍演洪承疇
page 6	米行勸募
page 6	本港米價飛漲運出手續頗多觸犯法例
page 6	日軍再犯中山中山商會振濟難民撥款十萬元推散振代表定明日攜餅乾藥品出發
page 6	中振會第九區籌振中山難民
page 6	國民戲院新機裝置完竣
page 6	強迫停航搜查日艦砲擊湖南輪彈中船頭幸傷勢非重日允道歉及賠償損失
page 6	昨日成績
page 6	防空訓練班定期頒發畢業證書
page 6	首都趕製軍衣廿萬件婦慰會寄贈車衣機
page 6	三八婦女節女學生遊藝紀念會明晚在孔聖堂舉行
page 7	總會聯賽小組會召開遴選會議商決督憲杯及際埠賽人選體協會今日舉行月會
page 7	星拳手馬奎斯不敵菲島拳師我僑楊貴光準備來星決雌雄勝者將往歐洲爭取世界地位
page 7	知恥近乎勇昨有四華人退出比賽
page 7	陶公籃排球賽新中民榮獲籃球冠軍
page 7	球國尖事記東方南遊推出領隊雛鳳改陣迎戰東方
page 7	籃球裁判會明日開常會
page 7	中青游泳團旅行沙田本月十日出發
page 7	英匯仍乏生氣美匯市再略趨緊申匯仍淡牌價回漲三元
page 7	買戶遲疑觀望股票市況呆滯買賣範圍狹窄成交僅十萬元
page 7	八九金市昨日微露生氣
page 7	金條昨多成交
page 7	溫故知新錄華人足球誕生史
