page 2	設立經濟企劃院之建議
page 3	鄂北殘日猶圖反撲棗陽東南戰況猛烈克復信陽我軍向武勝關挺進
page 3	晉西鄉吉地區我軍痛殲頑日
page 3	蘇聯真理報讚揚我抗戰主動地位已屬我軍力能獲得最後勝利
page 3	何部長報告豫鄂會戰經過
page 3	監察院于院長電李長官祝捷各方紛起發動慰勞
page 3	軍事委員會駐陝辦公廳正副主任人選已定桂辦公廳下月成立
page 3	梁山空戰結果擊落日機七架
page 3	南僑慰勞團抵贛備受歡迎今日轉赴浙閩
page 3	打擊日偽
page 3	三點認識
page 3	板垣對汪不予理會阿部在寧無所事事
page 3	偽特務機關被丁李瓜分 
page 3	陳逆公博等抵東京朝見
page 3	日禁汪使用國民黨名義
page 3	偽中央銀行遭日方反對
page 3	鄧青陽陸幼剛由韶關抵桂林
page 3	冉聚豐捐資獻國國府明令頒給金章
page 3	滬公共租界防衛力加強全體英僑均加入義勇隊字林西報著論含義深長
page 3	滇越公路各段工程加緊進行中本年年內全部可完成
page 3	陳嘉庚由青返蘭轉赴寧夏
page 3	現階段的荷印
page 3	荷印的總
page 3	避難留居
page 3	荷印人民
page 3	從下列兩
page 3	據吧城當
page 3	美英日都
page 3	粵南北竄日軍被我截擊潰退
page 4	英法猛烈反攻德軍侵至海峽沿岸朗恩以北展開激戰
page 4	德軍左翼被阻剛伯萊有激戰
page 4	英軍源源抵法空戰進行猛烈
page 4	比軍堅強抵抗協助聯軍反攻
page 4	義國態度曖昧不明德匈傳訂秘密協定
page 4	秘魯政府禁日人入境日認不能容忍擬提嚴重抗議
page 4	一丘這貉日使團抵羅馬義方故作親　
page 4	美各界領袖擁護國防案美人呼籲加緊援助聯軍
page 4	法充實陣容英方表滿意戰略國策切實刷新英法合作更形密切 
page 4	鄂北戰果擴大 
page 4	能獲些什麼
page 4	歐戰現勢兩點
page 4	英國嚴防間諜活動禁外僑攜槍械
page 4	從日本統制石油問題觀察日本的內部衝突三羅辛吉爾作恩源澤自美亞雜誌
page 4	法境一部德軍續向西北推進
page 5	全國合作事業正在蓬勃發展中健全機構設合作實驗區九處本年推行六大新計劃
page 5	江會日軍又圖蠢動犯杜阮蓮塘均遭擊退日機三架飛八區偵察
page 5	加強抗戰經濟促進後方生產農業促進會成效卓著並巡迴輔導改進生產
page 5	閩省行擧辦僑眷貸款辦法簡單期限六個月借款數額每戶二百元
page 5	費吳生擬七月間返美為我宣傳募捐
page 5	我軍五萬人向滬郊挺進軍火充實士氣旺盛一度交綏日偽受創
page 5	西康日記九四
page 5	一○七往獅子岩採藥去
page 6	華西齊魯金陵金陵女大四大學聯合招生分在港滬滇湘各處舉行考期為下月一日至二日
page 6	港大入學考試下月三日舉行
page 6	市政衛生局昨日例會十王殿擬設水廁
page 6	瑪利醫院醫療肺病患者概況華倫泰醫生發表去年治癆統計全年共四○六宗死者七十八宗
page 6	長沙會戰定二十六日復映
page 6	治療肺病患者
page 6	肺病治療方法
page 6	帝航機來港途中在義京曾被扣留指該機擅自飛入禁區盤查兩小時始予放行
page 6	乳鶯出谷
page 6	馬奇諾間諜案
page 6	打雀遇鬼
page 6	美國軍力大示威
page 6	六國大封相
page 6	會文堂書局全部圖書一律四折
page 6	四華人代表等歡送英服務團秩序排定今日分別舉行廣大討論增進中英學生友誼
page 6	青春十七年
page 6	國民黨先進梅光培昨日大殮中委陳策等均親往致祭明日安葬華人永遠墳場 
page 6	病者死亡比率
page 6	鄒敏初逝世定今午入殮
page 7	東方足球遠征隊展期明日飛岷全體征員定早上齊集半島酒店出發壯士名單今夜可決定
page 7	東方征澳得利四比二勝無畏
page 7	籃球裁判會辨訓練班定廿七晚開課
page 7	世運餘聞
page 7	港圓外匯牌價略漲英美申匯市況穩靜
page 7	昨日國幣市況依然穩定收市時人心尚好
page 7	八九金市昨稍趨鬆弛
page 7	股票續趨下游匯豐銀行股價再度低跌
page 7	學界排球賽漢文奏捷三比二贏華仁
page 7	南圻乒乓名將鄭家兄弟定期在港義演三天
page 7	華雄會續辦夏令籃球星期日開會議
page 7	公開男籃球賽青年甲戰培英
page 7	征貢埠際隊獲利三千餘元 
