page 2	日本不必夢想
page 3	宜昌日軍蠢動受創沙市近郊我又獲勝南路加緊肅清欽縣趕辦善後
page 3	美陸海軍雜志論日本南進英美遠東實力足以左右一切
page 3	滇騰衝發現沙金礦四處著手繪圖呈請開發
page 3	張部長返渝據談西北運輸情形良好車輛與燃料將盡量改進
page 3	川主席張群今日就職李伯申任秘書長
page 3	余長官召開政工會議會期一共九日
page 3	三湘壯舉棉背心二十萬件運前方慰勞將士
page 3	又一奇謠前越督現在非洲如何能分身來華
page 3	汽油內運免稅期限延至明年五月底
page 3	美撤僑輪又一艘抵上海
page 3	國民政府明令滬法租界法院暫停職務其他任何非法組織行動一律認為無效
page 3	韓國光復軍已開抵西安
page 3	滇省工合積極發展總會准撥專款定期召開工作會議
page 3	湘當局決心平抑物價全省澈底實行
page 3	滬被擊日軍官已傷重斃命日人封鎖虹口大肆搜查無辜被拘者竟達數百人
page 3	西北大雪陝甘交通受影響
page 3	粵李主席曾親赴湘贛購米問題完滿解決
page 3	歐戰特約通訊大時代的巴黎8
page 3	在所謂秋季攻勢下浙東日軍流竄戰的失敗
page 4	希軍繼續挺進義軍反攻又遭重創傳已由科爾加潰退
page 4	英空軍使用新武器襲擊義艦時曾大奏    膚功
page 4	墨西哥灣德輪遭英艦追擊圖出發接濟德潛艇逃走不及一輪自沉
page 4	墨索里尼將發表演講
page 4	蘇積極造就航空人才在各大城市設預備學校
page 4	艾登將報告赴中東經過並將公開辯論
page 4	安東尼斯科離義返羅京
page 4	英輕裝艦隊襲義索馬利蘭蘇丹英軍重採攻勢猛烈砲轟義軍防地
page 4	英德空襲再趨緊張英王出巡撫慰災黎
page 4	加拿大增強兩面海岸空防英帝國航空人員加成為訓練中心
page 4	普維斯談軍需運英情形受轟炸損失者為數甚少美國恆能依期交貨
page 4	西已撤銷歧視美記者令美大使曾訪西內部
page 4	貧乏的義大利既無羊毛又乏煤斤隆冬將屆無以自處
page 4	美將發表德間諜報告調查已獲實據
page 4	德義商輪在浙海被日扣留
page 4	惹火燒身
page 4	在華英僑捐款購機月匯萬鎊歸國
page 4	今後日本的動向
page 4	德義軍事會談結束傳對英將採新攻勢桑納赴柏林途中將訪拉佛爾
page 4	希軍兩路攻進阿境
page 5	潮汕我居主動地位不斷出擊斬獲頗多雲春霖談日軍雖不足一團但並無撤退模樣
page 5	白蕉仍對峙中
page 5	粵派員撫輯欽縣義民
page 5	桂會計長報告計政優待出征軍人家屬費用達百二十餘萬
page 5	中山進出記三
page 5	韶關英德勸儲熱烈酒茶樓認儲三萬餘元左縣長倡導自由認儲
page 5	日機濫炸水東貨物損失甚微
page 5	小廣東輪又抵澳門載煤一千二百噸
page 5	日軍嚴查順民證岐關交通昨受阻日傳將派兵進駐婆蘿島所謂海防委員會解體
page 6	移民局今日辦公開始簽發各種證書十年證手續費改為二元擬根據一九三一年登記
page 6	聖約翰救傷隊昨舉行救傷演習港九各隊參加者千餘人據副總監談稱成績甚佳
page 6	中國文協舉文化講座
page 6	港各工廠業務尚能維持水準登記工人五萬七千餘名各種機製品質量均提高
page 6	鍾密士冒充幫辦螳螂捕蟬黃雀在後勒索酒店被拘警署
page 6	戲劇與教育座談會旁聽記
page 6	白雲故鄉教電協會香港分會今日贈學界半價券
page 6	五防空區昨舉行白畫演習防空九龍區定下月初旬舉行學校訓練學生走避空襲
page 6	佛山輪不準備駛往廣州
page 6	誰人奪得錦標歸
page 6	砲壘道防空洞前日開始動工希望本年底能完成十所雨季已過工作頗為便利
page 6	醫務局將在九龍增設醫院兩所為適應目前環境之需要決先建設傳染病醫院
page 6	崇正總會在葵涌設臨時醫院
page 7	光華氣勢如虹東方會險遭不測前鋒連絡散漫演出大失常態結果三比二戰局沉悶
page 7	戰地鏡頭
page 7	海軍不景氣幸賴十二碼自由球一比一逼和聖約瑟
page 7	女子排球南華敗於仿林
page 7	中美籃球最後一幕岷甸奴對抗星島會
page 7	德權鼎小球決賽秩序昨日抽籤編定
page 7	南華陸運會定下月舉行
page 7	校際小球賽嶺東勝知用
page 7	歐洲戰事影響士每土漲價越南來貨時斷時續本港出產供不應求
page 7	我國洋米進口今年數量增加
page 7	小球友誼賽中央勝大眾
page 7	戰後談兵
