page 2	社評近東戰事決勝因素
page 3	英國對我作新援助五百萬鎊貸款將成郭秉文次長已與英當局商定中蘇新易貨協定不久可完成
page 3	中條山戰局開展日軍傷亡數萬我軍已轉至外圍作戰鄂北日軍一蹶不振
page 3	東江日受重創大批傷兵運抵廣州
page 3	滬市民五萬餘電英首相致敬
page 3	徐堪任糧食部長國府明已發表傳張家璈調長貿易部
page 3	日軍部機關報侈談解決事變
page 3	我軍事代表團在星廣播祝中英兩國勝利
page 3	菲輸出編制案美眾院已通過
page 3	蘇日協定正式換文
page 3	荷日談判並無進展
page 3	日機濫炸成都等地陪都亦發警報
page 3	魯斯夫婦將離渝返美
page 3	墨索里尼接見日代表團
page 3	日機自焚駕駛員畢命
page 3	日雙製造藉口謂美警告越南不得與軸心國家接近澄田突飛返東京
page 3	諸暨以南激戰日軍全線潰退贛東北我恢復原陣地
page 3	東江各縣舉辦急賑收容戰區災民
page 3	捐資興學國府嘉獎雷尚哲
page 3	克拉基特昨赴成都
page 3	滬西一歹徒昨日被擊斃
page 4	美總統將咨文國會宣布緊急狀態存在眾院通過建補助艦案
page 4	達蘭在巴黎繼續與德談判傳德要求取得達卡爾維希揚言將進攻擁護高爾屬地
page 4	法使海雅向美抗議
page 4	高爾將軍痛斥維希
page 4	西內閣改組後親德色彩濃厚
page 4	南大西洋海面航運受威脅埃輪森順號被德轟沉美官方對此異常重視
page 4	蘇陸軍春季演習集中伊朗邊境伊境英軍進陷法魯雅德降落傘部隊進攻克里特島
page 4	輪上搭客美人最多
page 4	格拉尼派代表遊說阿拉伯人
page 4	敘利亞高射砲轟擊英國飛機
page 4	美國各州舉行軍事演習步兵砲隊均參加
page 4	日人一貫作風到處煽動離間
page 4	美國勞工動態煤業工潮已告解決鐵路工人要求增薪
page 4	加羅爾將赴古巴現已乘輪離伯茂達
page 4	大西洋德潛艇活動擊沉英油船數萬噸
page 4	飛行水庫英自美購巨型飛機運水接濟近東英軍
page 4	中英新貸款
page 4	糧食部將成立
page 4	美將有重要宣布
page 5	粵調整省營工業新工廠籌備就緒麵粉紡紗織造廠下月可興工酒精廠原料缺乏擬停止開辦
page 5	加強縣長職權負地方治安全責軍委會行政院會訂辦法
page 5	林語堂談中國抗戰
page 5	川省制定實施辦法
page 5	謝團長追悼會上海各界隆重舉行孤軍營內空氣悲壯
page 5	鬱林颶風暴雨災區廣達三十里田野盡成澤國房屋無一完整財產損失百萬元死傷近百人
page 5	會場一瞥莊嚴肅穆
page 5	追悼儀式甚為隆重
page 5	雷團附述謝氏生平
page 5	李漢魂兼任新職粵省保安司令部特別黨部特派員
page 6	港府實施穀米專營設立穀米官營局董事九人財政司任主席黑市米業已陷停滯狀態
page 6	港韶飛機位訂購者眾現已定至九月
page 6	港僑領取護照者眾因與科境證有同等效用在韶設簽證處說未證實
page 6	官地開投競爭熱烈
page 6	明年港府預算案四十八萬餘元立法局明日下午開會羅文錦將再提出質問
page 6	賑聯會決定七七素食法函肉商請協助
page 6	港督及俞市長昨分別宴兩大使詹氏今晨乘飛剪機離港高斯大使明日飛渝履新
page 6	童匪港九兩地達六百人
page 6	市政衛生局會議清糞費仍未決定嘉利謂每層樓須設一馬桶每層樓收費十元未獲通過
page 6	港澳振濟會主辦社會服務處即成立地點在彌敦道四八七號服務範圍包括職業介紹
page 6	上書羅斯福簽名者達四萬餘人昨第三日情況熱烈
page 6	移民局案報告書寄呈英政府發表時期仍尚有待
page 6	失業清糞工人昨又結隊請願集郵局前求見衛生局長警探到場彈壓至晚未散
page 7	今年棒球聯賽下月七日揭幕比賽場址決在九龍漆咸道球場月底截止報名現已有七隊參加
page 7	鎮和基金保管會明日開會議商討基金保管等辦法首次球賽收入將公布
page 7	滬銀錢業籃球賽上行奪錦標中儲退居亞軍
page 7	今天學界籃球賽興中對抗平正另有嶺東對大中華南戰英華昨日高級組因雨停戰
page 7	學界排球賽仿林出師迎鬥英皇軍
