page 2	從預算案看日本財政
page 3	晉境西北戰事激烈我軍退出靜樂據守城郊馬占山部縱橫綏熱創Ｘ
page 3	排斥外商利益Ｘ統制華北外滙自今日起禁法幣行使美商請政府保護權利
page 3	我法幣益穩本市某銀行家表示以後一切都有辦法
page 3	本港西報讚揚借款成功承認中國地位重要係為民主政治而戰
page 3	中英借款成立日輿論表焦躁聲言採取報復行動
page 3	林主席捐助珍藏獎勵獻金
page 3	中野正剛昨狼狽離京
page 3	何廉赴滇商西南經濟建設
page 3	法大使呈遞國書國府大禮堂隆重典禮中法邦交將益臻親密
page 3	粵省政府澈查官吏瀆職
page 3	瓊島現階段Ｘ所攻佔僅沿海地區我游擊隊在山地抗戰
page 3	英報輿論
page 3	戰時兒童保育會週紀念蔣夫人親臨致訓盼注意難童教育
page 3	收容猶太難民中央考慮辦法中擬移往西南各省
page 3	綏境蒙政會工作積極推進
page 3	黃旭初昨　省視事
page 4	英航空大臣在眾院提空軍新預算案總額二萬零五百萬鎊空軍實力已較前大增
page 4	Ｘ興亞院聯絡部人選皆海陸軍現役軍官大規模的侵華機關
page 4	法右派報紙揭破希特勒陰謀先削弱西歐民主國地位再藉武力威脅以遂所求
page 4	史達林將發表政綱共黨十八屆大會昨日起開始舉行
page 4	近衛臥病湯淺內府昨往訪談事變處理問題
page 4	義新國會本月二十三日舉行首次會議
page 4	德南極探險團經南非角城首途返國曾在南極發現新大陸
page 4	教育會議宣言將本着最高領袖的意旨替國家訓練健全的青年
page 4	孟哲斯特十日記三
page 4	瑪德里叛變敉平叛徒總部向當局投誠拘獲共產黨千四百人
page 4	英法對封鎖均保持緘默
page 4	土耳其承認國民軍政府
page 4	Ｘ鼓勵民航航空運輸公司案即將提議會討論
page 4	我購料委員會前日在倫敦舉行年會對貸款成功表示慶賀
page 4	Ｘ對外貿易一月至本月上旬入超八千餘萬元
page 4	捷政局緊張斯族急進份子陰謀獨立當局預為戒備首要被逮
page 4	Ｘ銀行界限制借款避免物價被操縱
page 4	美巴經濟合作換文已由雙方正式簽字美銀行將增加信用放款
page 4	日本人的憤怒
page 4	新法使遞國書
page 4	所謂聯絡部
page 5	中央振濟委員會再撥款物救濟惠博惠屬壯丁悉數改編警衛隊東江各縣恢復郵匯及儲金
page 5	九江Ｘ退減我砲毀Ｘ軍械庫團隊炸燬Ｘ坦克車
page 5	東莞游擊區發生疫症每日斃Ｘ數十
page 5	新會各界明晚簽訂除奸公約各長官親到會簽
page 5	粵財政不敷將加徵奢侈品稅財廳籌設財政人員訓練所
page 5	四邑航業合作社職員選出已呈航政局圈委
page 5	潮安童軍服務團主席何春帆繼任擬組織戰時互助社
page 5	吳奇偉任粵贛閩邊區司令
page 5	麻章電台三日開始業務
page 5	潮安組模範隊
page 6	衛生當局佈告防範腦膜炎傳染病勤開門窗使空氣流通發現此症後應急就醫
page 6	合唱新譜現已出版港幣六毫
page 6	兒童保育會兒童節日籌款攝難童照片向國外宣傳昨第二十次常會議決
page 6	英賑募捐會舉辦集團義賣推舉葉蘭泉等為籌委並擬沿門勸捐及賣花
page 6	女青年會募事業費萬六千元
page 6	防空展覽會舉行消毒表演展覽會明日正午閉幕擬續在灣仔等區舉行
page 6	漫畫家魯少飛昨離港赴新彊
page 6	本港回教徒互助會今晨舉行成立會
page 6	海底絞泥工程今日開始航政司昨日佈告
page 7	今日銀牌半決賽南華南戰東方會雙方勢均力敵無異錦標決賽各出精兵良將局面必夠刺激
page 7	征菲足球隊人選有變動海軍二選手無暇出席總會又將起用侯澄滔
page 7	職業綱球賽勃琪對潘雷已於昨日開始
page 7	英國足球球員要求增加薪金決以罷賽作為後盾
page 7	男子籃球賽今晚開幕女子組同時頒獎
page 7	足球案件吳德榮停賽一年陳少泉亦被處罰
page 7	公開網球賽昨日因雨停止
page 7	昨本港外匯牌價印匯略回縮英美匯市況仍屬沉寂申匯再緊華商多吸進
page 7	八九金市殊乏生氣買賣不多價格略降
page 7	英金不動英銀俱漲
page 7	一週間股票市況大致尚稱堅穩屈臣氏獲利三十萬元
