page 2	社評加緊淪陷區的黨政工作
page 3	蔣總裁嚴促黨政首長子弟服兵役西江戰局較緊北江無變化晉省東南北各路均有激戰
page 3	鄂贛小接觸
page 3	粵省新猷狀省府訓練青年充實政治基礎
page 3	Ｘ犯大青山百靈廟附近激戰綏遠自衛團活躍
page 3	平津車不通廊房發生戰事
page 3	晶報停刊上海少一漢奸報
page 3	關於滇緬公路一月二十日倫敦航信
page 3	行政院會議方策代理豫主席林友松任粵省委
page 3	冀南Ｘ軍
page 3	贛擊落Ｘ機航空員脫逃
page 3	滬槍殺案兩漢奸被擊斃
page 3	國防最高委會張群擔任秘書長秘書廳正組織中
page 3	蘇偽軍紛紛反正徐州Ｘ東犯企圖頓挫錢江北岸城市被我軍控制
page 3	娛樂船Ｘ異想天開又作麻醉運動
page 3	滬日文報紙悲觀的論調真理報謂日軍事失敗戰線延長進攻愈困難
page 3	浙大校舍被炸一部帥生均平安
page 3	國府命令
page 3	破壞工作平漢Ｘ軍損失
page 3	珠江航運
page 3	我神勇空軍轟炸三灶島向Ｘ新築機場投彈傳Ｘ艦一艘被命中
page 4	英首相宣稱英法聯合無間法國重視德義驚異經濟援華正在考量
page 4	援華問題眾院熱烈討論
page 4	通貨法案眾院二讀通過
page 4	英失業工人超過二百萬較去年同期增二十萬各報對政府嚴厲批評
page 4	倫敦至角城飛行新紀錄三十九小時三十分
page 4	德銀行總裁芬克財政新猷發行短期及中期公債考慮向外國舉債問題
page 4	國際茶業會定三月間舉行
page 4	美增加空軍造機計劃將立即進行並設立航空大學多所
page 4	英空軍人員已達二萬七千餘人
page 4	緬甸將成獨立國家
page 4	傳西政府軍仍將繼續抗戰西總理已返西班牙
page 4	在淅河戰壕裏
page 4	西國總統前赴巴黎
page 4	西政府軍退入法境
page 4	英法進行調停西戰
page 4	獨裁者卓別靈之有聲片諷刺極權國元首
page 4	義報反對英法幹旋
page 4	巴勒斯丁會議昨在倫敦開幕張伯倫分向阿猶演說阿拉伯代表要求獨立
page 4	英德兩國計劃歐洲煤業同盟協定確切的額定尚未規定勢須與關係國家談判
page 4	大員子弟快服兵役
page 4	國防最高委會
page 5	粵教廳救濟戰區學校設法盡量收容員生後方各校擴充名額增設班級派員籌設東江等臨時中學校
page 5	我游擊隊襲九江Ｘ圖報復竟殺平民六十餘人慘遭毒手
page 5	X船侵入廣州灣法艦集中形勢險惡X亦怕事自動退去
page 5	Ｘ軍再度封鎻珠江省澳交通又中斷
page 5	閩粵邊區黑旗軍匪首朱慶瑞伏法何宗昌陳鼎鳴同登鬼籙
page 5	廣州漢奸呂春榮在長堤被刺倖免
page 5	粵省預算每月一百六十萬元
page 5	廣州灣改用國幣
page 6	賑聯會擴大舉行孫總理逝世紀念難民習藝所合併案引起爭辯昨電李主席請撥廿萬元助賑
page 6	荷印航空公司爪貢綫擴展至港將與聯美之港美線啣接
page 6	英賑華會務賑概況
page 6	港參政員昨已飛渝
page 6	馬頭涌孤軍又擅離營英警開槍截擊流彈傷一少女
page 6	港難民人數减少各區難民多自動返鄉現營中收容人數統計
page 6	港寶交通現未停頓
page 6	救濟學生會昨開聯誼會
page 7	埠際足球練習賽代表隊對抗港聯明日下午五時在海軍場舉行菲律賓足球隊定十四日抵埠
page 7	海軍力克米杜息形勢益見優異結果二比一予南華更大威脅
page 7	春申慈善籃球賽混合敗于麥令作戰調度失當相差三分女子表演孤島大勝西聯
page 7	球藝小評
page 7	滬學生網球隊昨戰勝葡體會今晨赴澳門對抗西洋會
page 7	長虹籃球隊歡迎各隊比賽
page 7	外匯牌價各有縮漲英美匯淡後略緊申匯再略淡華商吸進二百萬
page 7	昨股票市稍穩成交數量仍不多總值不過七萬四千餘元匯豐銀行定本月廿七日派息
page 7	八九金市先鬆後穩價格起落尚屬低微
