page 2	社評今後之大公報
page 3	英遠東軍事當局表示新加坡防務已鞏固不虞威脅不懼封鎖德夫古柏定今日訪問荷印
page 3	炸彈炸彈炸彈淪陷區民眾紀念九一八粵寧滬敵人漢奸均魂飛膽落
page 3	李杜將軍談東北義軍人數現有四十萬正分四區苦戰中
page 3	上海同胞
page 3	陪都各界火炬大遊行熱烈紀念九一八
page 3	九一八日報撰文自承侵略禍首德義步日後塵破壞歐洲
page 3	蔣委長告國民書續昨
page 3	國勞大會我代表兩名
page 3	全國運輸會議定期在渝開幕
page 3	騾六千頭越過西南邊界開入緬甸工作
page 3	印度馬來亞日僑撤退
page 3	美貸巨款援蘇兩國成立一萬萬元換貨協定美已允蘇先行挪用五千萬元
page 3	日本漁船侵入美領海美參議員函國務部報告
page 3	日本製造藉口向蘇聯抗議謂在領海內發現蘇浮雷
page 3	檀香山廣知報警告安撫日本萬分危險
page 3	晉城敵軍敗退我殲敵百餘獲步槍卅枝湘北流竄殘敵傷亡慘重
page 3	法艦駛赴日本據稱從事修理
page 3	泰獨立黨指斥官員賣國行為
page 3	羅慕洛由渝飛滇轉緬
page 3	日統制燃料定下月起實行
page 3	敵海軍省人事調動
page 3	宋子文氏電唁季驚先生家屬
page 4	中路紅軍再度告捷德坦克師傷亡慘重斯摩倫斯克已被包圍
page 4	列寧格勒愈形牢固蘇聯艦隊協守海疆南路德軍又圖進侵克里米亞
page 4	瑞典三驅逐艦失慎被炸沉沒失事經過仍在偵查中
page 4	美將義輪移交英國
page 4	美當局考慮武裝商船諾克斯對記者表示護航未足確保航運
page 4	英美對日的包圍轉
page 4	納粹鐵路蹄下法比已成人間地獄人民屢遭集全屠殺
page 4	伊朗儲君即位宣誓效忠憲法蘇軍已開入德黑蘭
page 4	伊朗問題英蘇一致
page 4	德圖土國日亟指使保國提無理要求
page 4	德對南美國家採取報復手段
page 4	美經濟國防局開始執行職務援助民主國家封鎖軸心
page 4	英自由黨通過信任政府案擁護羅斯福邱吉爾宣言對蘇抗戰表示欽佩
page 4	傀儡大觀蘇聯淪陷區內竊匪竟成警長
page 4	菲委賓洪水泛濫堤岸崩缺損失嚴重
page 4	美參戰軍人大會主張取消中立法贊成總統外交政策
page 4	九一八在淪陷區
page 4	保國無理要求
page 5	西康東南重鎮西昌教育邁進中國內學者專門人才薈萃其地技藝專校有改西康大學計劃
page 5	中國史上之大教育家十四
page 5	越僑考察團在桂招待各界報告敵人登陸後僑胞情形劉侯武蔡廷鍇等到會演說
page 5	韶關改市加緊進行
page 5	桂林區高考初試合格應考者共二四二人
page 5	桂教育研究所改設師範專校一切籌備正積極進行中經費已定三十五萬餘元
page 5	韶關合作社將成立營業
page 5	桂省府在龍州設立歸僑村回僑輔委會訂定辦法省政府飭屬予以協助
page 5	昆明至下關驛運已開始
page 5	粵路敵軍北犯受敗挫馮村獅嶺一帶失而復得新街龍翔敵軍企圖蠢動
page 5	渝市點滴
page 5	粵一年來節儲達四千餘萬元勸儲分會紀念成立週年今後儲運著重普遍持久
page 6	港九僑團聯合大會沉痛紀念九一八大會向林主席蔣委員長致敬
page 6	港居民缺乏營養死亡數字劇增肺病死亡數字令人可怖醫務處發表醫務報告書
page 6	首批特警百零五人昨日舉行畢業典禮俞允時警司等親臨檢閱挑選三十四人充任教官
page 6	立法局昨會議通過戰稅法修正案多項港督楊格盛讚羅富國爵士政績
page 6	通電致敬
page 6	港督楊格宴港名流各人對新督印象甚佳
page 6	防空工程案昨日繼續審查
page 6	八個衛生米平雜站昨晨開始營業購額最少三仙最多五毫前往各站購米者頗踴躍
page 6	黃炎培昨晨離港赴菲發動勸募戰債臨行表示希望繼續募債策動僑資發展我紡織業
page 6	小心孑孓屋內如被發現每條罰款五元
page 7	居聯會水球隊參加澳門水運明日下午出發甲乙兩隊隨軍另作數場水球慈善賽
page 7	游泳教學法單論入水與轉身法
page 7	體協會九一八通電擁護國民政府
page 7	鐵城杯籃球賽平正戰域多利第二幕警察對抗華僑績分表上中青列前茅
page 7	桂林首屆水運會各項成績美滿老將陳其松依然出風頭十四閉幕廾二頒發獎品
page 7	卓雄杯賽同義出戰西園
page 7	復興田徑運動星華對抗前奏
page 7	校際籃球賽開始報名產生小組委會
page 7	外匯牌價仍無變更美匯呆滯申匯略淡
page 7	股票市況好轉買家需求激增存戶亦多拋出昨日成總值三萬餘元
page 7	國幣價格略趨下游
page 7	滬標金價略趨上漲
