page 2	社社松岡收穫了什麼麽
page 3	浙東日軍攻勢受挫諸暨以南形勢轉穩閩江南岸我軍向長樂反攻
page 3	美決加緊增強菲島防務對日南侵威脅之答覆
page 3	澳作戰顧問委員會開會
page 3	日損害英商務英議員提質問
page 3	松岡丑表功侈談此次訪歐收穫
page 3	我將由美獲取一切必需軍用品平準基金協定即簽字
page 3	日報叫囂抨擊美國
page 3	日放無聊空氣向美試探傳有人慫恿松岡訪美
page 3	郭泰祺氏將提早抵美定期訪謁羅斯福與赫爾
page 3	滬工董問題領事團謂將有表示
page 3	顧維鈞使英魏道明使法政府已內定即可發表
page 3	實施經濟管制行政院擬定四原則褒揚故北大教授鍾觀光
page 3	滬西暴徒四出行兇
page 3	日汪屠刀下五壯士就義
page 3	美國務卿再聲明太平洋政策不變
page 3	中英切實否認締結六國軍盟
page 3	緬自建軍艦第一艘下水
page 3	荷印總督本年將告退休政府予以勸留
page 3	泰越關係和約簽字無期加魯前往曼谷
page 3	西貢日水兵與法人鬥毆
page 3	滬中交等四行將設聯合辦事處當局籌劃保障行員辦法
page 4	希臘遷都克里特島決心繼續抗戰倫敦承認希戰頗暗淡但撤軍必先得希同意
page 4	西糧食危機未除不願放棄中立達蘭赴巴黎與德談判貝當仍堅持原來立場
page 4	美總統談戰局對英表信心一隅勝負不致影響全局美決繼續加緊援英
page 4	英首相在眾院報告時事英國對西貸出巨款艾登東行經過延期發表
page 4	英國增強近東防務鞏固埃及東西外圍
page 4	蘇德邊境蘇疏散居民滿載防務物料火車亦已開抵蘇德邊界
page 4	澳軍在希艱苦作戰澳議員表關懷孟席斯勉澳人加緊團結
page 4	美國陸軍現正準備作戰計劃編練二百八十萬人陸軍動員局長對參院之聲言
page 4	美軍事觀察員在東非遇難
page 4	汎美國家經濟會議曾討論收購外輪問題
page 4	德國軍隊抵挪增防
page 4	美國醫生響應總統呼籲紛紛向華盛頓投效
page 4	駐希英使館疏散館員傳已飛離希臘
page 4	泰晤士報評論一九四一之戰將為一種延宕行動藉以掩護美國動員
page 4	東非阿境義軍依然負嵎頑抗北非英軍突襲巴第亞
page 4	竄擾何為
page 4	愈快愈妙
page 4	希特勒接見齊亞諾曾作短促談話
page 4	哈里法克期訪美國務卿
page 5	中央撥款補助增加粵糧食生產一面積極救濟興梅米荒厲行各縣米糧自由流通
page 5	西康日記第十五編由麗江返昆明
page 5	振濟南路災區加緊辦理中中央散振決分五路出發
page 5	廣州灣統制交通帆船汽車均須登記檢驗糧食與日用品均告漲價
page 5	日本駐檀總領事發表荒廖談話對中日戰事淆亂聽聞我梅總領事痛加駁斥
page 5	統籌鋼鐵產銷經部將召集會議
page 5	後方生產事業之一川絲的產運銷四川絲業公司近況
page 6	羅富國師資學院昨舉行開幕典禮港督親臨主持並致訓詞全院根據教育則例興建
page 6	立法局今日討論木倉管理細則儲藏木材屋宇須領執照二三讀通過後即行實施
page 6	王曉籟勸告滬工商業將資金早日內移
page 6	荷印僑領丘元榮前日由黨渝返港
page 6	文藝界貸金委員會定期舉行審查會議
page 6	銀鑛灣新茅屋須改善
page 6	清糞制度目前尚難改善官方看接辦後仍照舊辦理居民負擔費用迄未決定
page 6	工合專家兼顧問艾黎談工合現況現有工作人員逾四萬人每月出品總值二千萬元
page 6	中茶公司參加國貨聯合宣傳週出品廉售並加送贈品
page 6	南華學院教部批准設五系校長鍾魯齊返港
page 6	英公主伊利沙白電謝本港致賀誕辰
page 6	婦聯宣訓班招國語班學員
page 6	港教育界籌設全國兒童保康會保育兒童增進國民體質計劃擬就呈我當局審核
page 6	官糧售出二萬餘包警方調查米商操縱
page 6	各青年團體聯合紀念青年節學賑會籌備分兩區開會昨日會商議決紀念辦法
page 6	官立學校增設免費學額漢文視學官昨發出通告即日起報名六月初考試
page 6	時局不定居民多自動疏散離港輪船飛機均甚擁擠不少外人亦擬遷往內地
page 6	東吳法學院留港同學今晚歡宴吳陳丘薛
page 6	女青年會今日舉行感恩會
page 6	防癆協會明日舉行週年大會
page 7	中青籃球慈善賽東方轉戰港聯雙方兵強將勇劇鬥難免下午八時開火球迷請早到場
page 7	南華遠征南洋總會正式批准定月底首途出發陳鎮和杯義賽恐受影響
page 7	籃球聯會昨開執委會議
page 7	港澳足球大戰勝負關鍵談老球迷力主探用新戰術盼港方從速改良
page 7	學界排球比賽下月五日舉行比賽程序昨已正式編定高初級組採用單循環制
page 7	外匯牌價俱無變更美匯緊靜申匯仍淡
page 7	股票市況衰疲昨日成交二萬餘元
page 7	晏榮杯聯賽廿七截止報名
page 7	國幣市況略趨下游
