page 1	"社評從大鈔發行說起"
page 2	"太原城郊繼續搏鬥冀中國軍戰徐水棄固城淮陰北上部隊奪回泗陽"
page 2	"立院通過增關稅減鹽稅今天繼續舉行秘密會議總預算案通過後即行休會"
page 2	"物價與幣制"
page 2	"用增稅代替增發通貨歷史上抑止通貨膨脹都從改革財政開始"
page 2	"立院特種委會昨晚討論物價"
page 2	"長江水又漲武漢居民談水變色桂省水災公路交通停頓"
page 2	"大法官下月辦公"
page 2	"燃管會等將被裁撤中下級職員多要失業了滬工商輔導處成績很不錯這次被裁撤工業界很惋惜"
page 2	"美貸款助改幣制說華府官員說是不確"
page 2	"國營事業資產據說不出售了"
page 2	"革新國民黨又有一種計劃"
page 2	"監院加速通過法案如無新提案今天午後休會"
page 2	"非濶老莫上莫干山旅館費每天千百萬"
page 2	"航空郵資今起調整"
page 2	"程潛抵漢日內赴長沙"
page 2	"日輪橫行無阻竟駛抵秦皇島裝貨滬航業界密切注視"
page 3	"法議會投不信任票許曼內閣全體提出辭職總統歐禮和準備提名新總理"
page 3	"載高樂蠢蠢欲動促他的人民同盟快訂黨綱說不久便將被邀提出政見"
page 3	"曼谷通信僑教間題發展的新階段續完"
page 3	"陶里亞蒂傷勢漸愈"
page 3	"美一枚原子彈運送時失了踪"
page 3	"美南夙怨冰釋南願償付所欠債款美允解凍存金財產"
page 3	"蘇決運糧接濟柏林部長會議宣布撥糧食十萬噸傳蘇駐德首長將易人"
page 3	"西歐五國會商德局多不贊成向蘇攤牌三小國主恢復四國談判法內閣塌台有如冷水潑頭"
page 3	"美替南韓建軍李承晚當選總統"
page 3	"華府會議頻繁商量柏林局勢"
page 3	"美第三黨草擬政綱費城大會後日開幕"
page 3	"杜魯門將提管制物價案"
page 3	"英議員主五國會議政府拒絕認為無用外次說不必表演渴望和平"
page 3	"暹羅又復稱泰國鑾披汶初改的名字又為制憲會議採用"
page 3	"日共書記長被炸傷反共同盟領袖投擲炸藥田德球一扶傷繼續演說"
page 3	"共黨譴責政府發動各地罷工"
page 3	"美人何善忘乃爾對日理事會勸人民忘舊惡說兩國曾經和平親善相處"
page 4	"籲請改善輸管制度華商會決組織委員會研究並接納雷蔭蓀等退會聲明"
page 4	"新界安謐如恆必蔑警司昨對記者表示警察增防只是普通戒備"
page 4	"上水一帶入夜戒嚴元朗各鄉加強自衛"
page 4	"典當制服九龍醫院苦力被拘"
page 4	"英贈艦將抵港僑團籌備歡迎今天下午會商進行"
page 4	"學生夏令營男女青年會聯合舉辦"
page 4	"浮海者性命自理海事年昨天發出警告叫遊艇須備救生器具"
page 4	"織布業工資問題勞資談商無結果不景氣籠罩下雙方都為難"
page 4	"糧食燃料上週價格公布"
page 4	"今天配暹米每斤四毫半"
page 4	"港澳機乘客屍體又再撈起了兩具一是納爾遜一是趙昌或趙才"
page 4	"反扶日會今開常務會議"
page 4	"兩人意圖械劫被判入獄兩年"
page 4	"英太平洋艦隊今天首途赴日"
page 4	"為何向妻淋鏹水蕭國五痛述老婆薄情認罪後要入四年苦獄"
page 4	"阻街女郎被人敲詐趙細根容星樓兩人被控昨天被解到中央裁判署"
page 4	"帶槍三枝坐牢兩年婦人郭惠忠昨日審結"
page 4	"有車者注意薄扶林道修理水喉明晚起禁車輛通過"
page 5	"黃金衝破三四零關一日間漲十二元半美匯再降美鈔依然盤穩"
page 5	"閩省半年來僑匯共計十五萬億元晉江泉州佔有百分之八十"
page 5	"國幣內匯昨轉回醒現鈔千萬值港幣十四元申匯劇升百分之十九強"
page 5	"國布在暹香俏越幫大量搜購珠布大鵬飛鴻富貴直昇粗紗轉淡幼紗上揚"
page 5	"檳城徵收出口稅轉口貿易受打擊"
page 5	"紗布掉換棉花辦法業已簽訂六八○磅棉換廿支紗一件以下半年產量百分十為限"
page 5	"昨財政司通告港英匯兌限制價值五百鎊以上者須外匯管理處核准"
page 5	"湛江米價漸趨穩定"
page 5	"澳穗價升大戶聞報猛購"
page 5	"買氣益盛金價堅挺"
page 5	"暹金市步落汕匯再上揚"
page 5	"華南的走私下"
page 5	"輸英冰蛋一萬餘噸值十七億餘萬元"
page 5	"港商對國幣作如此看法"
page 5	"股市疲滯成交稀疏總數二一萬餘元"
page 5	"滬物價指數上週三九二萬倍漲百分之三十三"
page 6	"倫敦航訊世運足球大勢"
page 6	"足球總會新執委昨天舉行首次會議七人足球賽定期揭幕各小組負責人已選定"
page 6	"本屆參加會員共二十個單位"
page 6	"設五人委員會計劃改建球場"
page 6	"協會提案夜長夢多"
page 6	"今晚籃球劇戰南華遇公民中華鬥黑貓冠亞軍命運將決定"
page 6	"世運火炬抵達羅馬續向瑞士邊境行進世運會入場券暢銷一時預料各項競賽不致賠本"
page 6	"小黑貓嘉山發威恩平初失利客軍演出並不精彩在港尚有三場比賽"
page 7	廣九路上嚴密戒備鐵甲車日夜分班巡邏各橋梁晚間不許人走
page 7	張君嵩明天去湛江駐台山的保警一營隨行省參議員黃昭明談湛江之役說當時有兩連兵力變了過去
page 7	七月洪泛即過去各江水位都漸落
page 7	各地早造都歉收省府再請減徵借
page 7	開平水災損失約達四萬億元
page 7	五華不建機場興甯築機場到處要錢
page 7	振濟四邑火災旅美慈善會撥款及衣
page 7	港穗間輪船運價昨天起又增加了廣九路運價也躍躍欲漲
page 7	電報加價廣州市今天起實行
page 7	修復徑　公路興寧梅縣率令辦理
page 7	攜帶鴉片當作路費老隆警所捕四學生
page 7	吳履遜被扣案不簡單喻英奇曾催陳偉烈回汕頭並拒絕翁照垣等保釋要求他說吳不該做職業紳士
page 7	不能加票價便減少行車穗公共汽車商表示沒有錢做賠本生意
page 7	烽火濟南一插曲中年夫妻鬧婚變鞏鳳蓮駢文啟事哀艶動人李紹文默默無言不作表示
page 7	啟事原文情辭哀豔
page 7	親子到濟尋父始知原已有妻
page 7	靜靜的金融市場穗金管局要壓制港幣漲潮派出十四隊員警整天監視
page 7	桂米運粵五萬擔集梧州並已陸續轉穗
page 7	招妓為座上客責妻為廚下　
page 7	特進最後忠告希於三日答覆
page 7	不再修銅像搬走去思碑
page 7	張鵬飛被捉住
page 7	青年軍一師調台灣受訓
page 7	黔省望謨不靖千餘人自稱解放軍
page 7	常德大半被水淹二十個鄉成了澤國三十萬人避於城中
page 7	鄉紳姦佔姪媳婦縣長把他活埋了蘄春人抨擊這一中世紀作風
page 7	民青兩黨推人擔任湖南省委
