page 1	論政客與政治家為世界真正和平而哀思羅斯福
page 2	晉境共軍全面攻擊冀中戰事益趨緊張
page 2	陝北國軍進駐橫山
page 2	魯境山區將有大戰
page 2	東北共軍又動長瀋線上國軍嚴密戒備
page 2	湯陰解圍
page 2	中共動向中央社之報道
page 2	我們對於當前時局之建議
page 2	美軍又一子彈津郊炸死兒童
page 2	蔣主席昨抵杭下午曾赴紹興瞻謁禹陵
page 2	參政會駐委會決議提高參政會職權請政府交涉收回澳門
page 2	張自忠蔡元培中樞決議國葬
page 2	改組政府雷震抵滬促張君勱入京蔣勻田談參加政院為政委兩名
page 2	李承晚抵京
page 2	日本賠償美將提新建議我得百分之四十五作戰最久損失最重所得亦應最多
page 2	賠償問題重要階段麥帥總部兩要員抵華府會商遠東委會遲無決定美國不安
page 2	惲震談話首批一二月內啟運分配方面已有準備
page 2	請協助泛區重建泛區重建呼籲團在京報告豫災情甚重農貸遲未發下呼籲團及官方視察團今赴汴
page 2	　亮功何漢文由台啟程返京
page 2	殷逆汝耕上訴有結果也發還更審
page 3	馬歇爾函莫洛托夫檢討美蘇對韓政策重開談判解決朝鮮獨立方案美英反對魯爾萊茵與德脫離
page 3	波外長抨擊馬歇爾重申波蘭西疆業獲　後解決認為馬帥建議危害歐洲和平
page 3	關於德波疆界馬歇爾建議摘要
page 3	外次會議　進展美蘇意見仍　左
page 3	日本通訊之三四月選舉之前下
page 3	吉田演說希望早訂和約
page 3	五民眾大會
page 3	援助希土計劃范登堡修正案通過安理會表決援助希土時美不承認否決權之行使
page 3	塔虎脫康納利相繼責難蘇聯
page 3	英蘇將開貿易談判
page 3	聯合國原子能委員會小組會通過美國方案優先討論國際管制機構問題
page 3	美與十五國訂航空權利協定包括中國在內
page 3	紀念羅斯福杜魯門將發表演說
page 3	芬蘭內閣辭職
page 3	國際貿易籌備會議談判減低關稅問題
page 3	帝國特惠制英不致輕易放棄
page 3	大川周明竟獲取消戰犯嫌疑
page 3	義外長下月訪英
page 4	警局發表四次大火原因並未查出放火情事外傳四兒童放火團並無根據
page 4	大火頻仍影響保險業羅北辰晉京請示
page 4	茂昌大火大部熄滅消防員仍防守中
page 4	市政考察團參議員踴躍參加十四日開會商討
page 4	昨日結束所屬機構移交港口司令部
page 4	劉敬宜將任中航總經理昨抵滬日內晉京
page 4	配金舞弊案昨訊兩證人
page 4	侯德榜昨由港飛抵滬
page 4	聯勤部生產司人員數十億元舞弊嫌疑有關布商三人已遭當局扣押
page 4	弟弟咖啡館小帳分配不勻中西侍者糾紛
page 4	行總被焚物資並未保險價值數億元
page 4	華鋁鋼精廠解雇工人百名
page 4	商務裁定書可能與中華同例
page 4	海閩輪撞沉伏波艦後並未停輪救人證人昨在地檢處指明
page 4	江杓被控劫奪汽車
page 4	公董局儲蓄金問題中法意見未能一致公董局地產法方已轉移
page 4	艾格頓辭聯總署長職
page 4	書業將再請願要求營業稅全免
page 4	同濟復課無確期宣鐵吾接見學生代表
page 4	南派籃球隊會師汕隊迎戰春茂下午六時在體育館球房女子組青聯與力隊嚮導
page 4	毓琇盃籃球賽今日五場比賽
page 4	交大學生呼籲續辦航輪兩系
page 4	羅斯福盃籃球賽中華隊初選揭曉
