page 2	社評生產會議與農村問題
page 3	防制Ｘ機轟炸蔣委員長昭告全國指示應變方針共報國仇報告軍事大勢勝利在握
page 3	一週戰況五月八日至十四日軍事委員會發表
page 3	滬五同胞被捕名團體提抗議工部局上書領事團請注意Ｘ軍之違法
page 3	劉廷芳等抗Ｘ有功孫司令特電嘉獎
page 3	Ｘ侵佔鼓浪嶼英態度強硬有力議員督促政府派兵登陸以示決心
page 3	英大使日內離渝返滬
page 3	班禪轉世事將由其弟主持
page 3	沙王一行晉謁閻司令長官
page 3	滬一大學生被人開槍擊斃
page 3	豫鄂Ｘ軍受創我軍節節挺進中粵Ｘ戒備防我襲擊
page 3	中華書局在滇設辦事處
page 3	運華貨物過越免徵稅
page 3	本報記者桂越視察桂一般設施良好越人同情我抗戰
page 3	粵省動員會定今日成立
page 3	粵參議會昨開首次會議
page 4	蘇覆文抵倫敦堅持原來立場英政府正在研究中法土協定傳將公布
page 4	波國防部長抵法商軍事合作辦法但澤問題國聯不討論波當局態度十分堅決
page 4	直布羅陀附近西軍挖掘戰壕英大使將參加勝利巡行議員表示不滿紛起責難
page 4	Ｘ對歐局態度仍徘徊歧途各報輿論大唱高調
page 4	Ｘ黔驢技窮竟借重和尚東京設校訓練僧侶將來華從事宣撫
page 4	希特勒執迷不悟傳將發宣言恫嚇民主國
page 4	敘利亞內閣辭職與法當局政見不合
page 4	對愛拉立三國英不負義務外次伯特勒在眾院宣布
page 4	生產會議蔣委員長親臨致訓勉出席各專家完成偉大使命
page 4	義外長週末赴德簽軍事協定義王亦將聘柏林以增強軸心關係
page 4	英王今日抵加加當局赴魁貝克迎迓美報紙著文表示歡迎
page 4	美參謀部長抵波多黎哥籌建空軍根據地
page 4	維也納舉行殖民地運動竟提出交還口號
page 4	阿王索古向國聯提申訴
page 4	英眾院討論在華權益問題日不法行為已提警告對華貿易積極擴展中
page 4	西向法荷借欵恐難成為事實法財部公報予以否認齊蘭抵巴黎負責調查
page 4	美天主教捐款救濟渝災
page 4	中國藝術展覽會昨在紐約城開幕羅總統之媳主持
page 4	李蒙夫婦行抵上饒
page 4	政院會議重慶物價飛漲擬定平抑辦法
page 4	在華濫施轟炸Ｘ對美提保證美外交界表示懷疑認為不可輕予置信
page 4	短評領袖的話
page 4	如此保證
page 5	四邑Ｘ軍蠢動新鶴全線激戰甚烈會城再陷Ｘ進至大小澤古勞海口現亦發生接觸
page 5	粵南情勢仍緊張Ｘ艦一艘窺伺徐聞遂溪被炸災情甚慘
page 5	滇省府委員周惺甫將任中樞要職
page 5	西江戰局
page 5	粵省府六一合署辦公
page 5	桂省黨部白崇禧兼特派員魯宗敬任書記長
page 5	合浦空前米荒
page 5	粵運輸站收容所先設新會等三十四處
page 5	汕頭槍決漢奸
page 5	中山覆車傷人
page 6	兒童保育分會舉行籌欵遊藝會第一次本月廿日在九龍第二次下月假何東私邸
page 6	各界賑聯會請中賑會助欵黃花崗重演日期決定救亡劇團定期義演濤款
page 6	普益商會選舉職員郭泉仍任正主席
page 6	婦女慰勞會昨日常務會議接納嶺大國大小球義賽資送流亡學生赴廣州灣
page 6	防空當局設特別班培育防空訓練員
page 6	泰倫保華又傳年底來港轉赴澳洲表演
page 6	浸信少年團慈善賣物會定期在聖保羅舉行
page 6	霍芝庭救傷車將在九龍置放車內設備華麗值八千元車房擬設旺角深水埗間
page 6	海龍號失蹤兩月美議員呈請總統組織控查隊搜尋
page 6	難民營人數逐漸減少
page 6	粵省賬濟會失學難童豋記定本月廿二日開始舉行函催澳方教師登記名冊
page 6	文森救護隊昨來港將轉赴東江駐港惠僑明日歡迎
page 6	難童學校定期舉行賣花籌款香港九龍酒樓茶室
page 6	全張電碼書節省譯電時間
page 6	英帝航公司海陸聯運便利參觀美展人士
page 6	英海軍部增派三艦來港
page 6	生活合唱團籌得三百五十餘元
page 6	無線電話本港電報公司接洽擬與英屬各地通話
page 6	節食節用籌得欵項學賑會將慰問難民徵集購辦需用藥物
page 6	奧利沙輪船由星赴歐途中失火
page 6	霍亂症最近發現八宗香港七宗九龍一宗死二人肺癆病死亡率驚人
page 7	旭和盃二次決賽南華會再戰海軍今日下午五時一刻在嘉露連山舉行榮照兆榮均下山陣容一新
page 7	憑藉最後罰球南華勝一分士氣振奮卒獲籃球冠軍迎頭一棒星島俯首稱臣
page 7	聘請大批國外教練準備奪取世運錦標
page 7	台杯網球南國勝匈國結果四比一
page 7	菲律濱台杯選手今日過港表演預定逗留兩日比賽六場
page 7	國際杯足球收入七千七百元已拔交慈善機關
page 7	夏威夷水上狂歡節
page 7	成都各大學籌開聯運會
page 7	荷匯牌價再略縮英美匯市況沉寂申匯先緊後稍淡銀行多購進
page 7	本港股票市況昨日略趨鬆弛存戶貪圖利潤頗多拋出買家壓低售價成交故少
page 7	英金不動英銀俱平
page 7	八九金市略淡且靜買賣仍少價再低落
