page 2	社評近衛松岡嗚咽的濫調
page 3	李宗仁將軍縱談抗戰情勢前線將士精神振奮誘殲日軍屢建奇功東戰場激戰日軍進犯擊退
page 3	行政院落舉行例會任桂競秋兼皖財廳長
page 3	英國當局保證禁止軍火輸日
page 3	日機襲粵
page 3	商務書館職工怠工一小時反對資方強調人員
page 3	本報渝版社評論新四軍問題盼中央於維護軍令原則下採取寬大之態度審慎處理
page 3	日又對蘇讓步換取臨時漁約已於二十日晚簽字
page 3	海南島汪廈門日汪間之秘密約定
page 3	鄂省積極開發資源籌設企業公司進行
page 3	湘航建會發起獻機三十架桂報義賣款匯渝
page 3	徵兵制度略將更改
page 3	汪紙無用各銀行不予行使惟賭窟用作籌碼
page 3	中緬商談順利興築中印緬公路成立中印航空線
page 3	高等攷初試已分十處同時舉行報名應試逾兩千人
page 3	美繼續撤僑
page 3	內外危機交迫下日本議會重開近衛松岡施政報告依然濫調選舉法改正案眾院強烈反對
page 3	大政方針不知所云
page 3	松岡開口不忘南侵
page 3	日狂態復萌欲駁斥赫爾
page 3	日外部內定加藤使法日駐阿公使昇格
page 3	白鐵無辜
page 4	在百萬民眾歡呼致敬中羅斯福就三屆總統就職演詞強調贊揚民主政治
page 4	儀節進行時民眾之狂歡
page 4	美遠東政策將繼續加強
page 4	貝當晤拉伐爾後法閣將改組法官方發言人表示內外政策均無更改
page 4	羅鐵衛軍發生內鬨德軍官一人被槍殺羅京紛亂事態嚴重
page 4	泰越邊境全線激戰進行中泰越有恢復談判可能
page 4	日本翼贊議會的經濟難題一
page 4	希墨會談完畢英認德在東南歐將加緊活動德報強調將向英進攻
page 4	英土參謀會議決定展期結束
page 4	紐約所傳德保一幕
page 4	美駐英大使將由魏南繼任英政府已表示同意日內將可正式發表
page 4	上海日人巧妙戰略反對工部局增稅作進一步試金石
page 4	美總統就職
page 4	舊金山德領事館址業主限期收回
page 4	蘇聯西境駐有重兵約百八十萬人
page 5	川臨參大會閉幕通過本年度施政計劃及概算田賦就原案減少營業稅增加
page 5	重慶區行政會議召開糧食問題大會
page 5	茲誌檢討結論如下糧食管理
page 5	捐獻軍糧截至二十九年十二月底
page 5	糧食增產主要辦法計有下列數端
page 5	楊興章考察歸來談南僑商業技術落後環境變遷欲求競勝必須改進
page 5	浙西我軍掃蕩開抵太湖西岸先頭部隊已至吳興一帶構築新式戰壕附有砲隊
page 5	嘉善方面我軍大勝
page 5	省府會議安化局改為設治局黃佩倫接長惠陽縣
page 5	滬各商店銀行拒絕行使手紙以其並無現金外匯準備虛偽宣傳無非欺人之談
page 6	鯊淡沿途連日迭遭日機轟炸損失不大行旅運輸照常日軍再佔鯊魚涌說不確
page 6	港越航運恢復無確期鯉魚門輪赴越僅屬試辦正式恢復談判在進行中
page 6	防空巡迴展覽增加日期五天昨晚大兩滂沱無法舉行銅鑼灣尖嘴改期表演
page 6	露宿貧民乏地必容防空洞中住不得
page 6	中電新片今日中國舊年元旦起公映
page 6	音樂舞蹈大會今晚在娛樂舉行僑領與保衛中國同盟合辦戴愛蓮女士斯義桂君演唱
page 6	東華三院新舊總理
page 6	來港歐籍旅客談荷印準備應變擴編軍隊已增至八萬人飛機千架積極訓練空軍
page 6	馬士灣曲領海水警輪擊沉賊船海盜先發制人終難逃脫死傷各三名五六人逃逸
page 6	文化協會文講同學會成立
page 6	愛僑電祖國放棄中立支撐英國抗獨裁者
page 6	舞女首次義舞籌得善款千餘元婦女慰勞會港分會主辦第二次定二月九日舉行
page 6	中航公司籌闢港印渝印航線聯絡香港加爾各荅重慶三地兩線飛行費時不過一天
page 6	粵僑務處奉令推進港澳僑民教育指定職員多人分別研究督促未立案各僑校立案
page 6	國大華僑代表黃襄望等抵港據談將向海外僑胞集資回國從事各項生產事業
page 6	反對強制疏散案昨由按察司宣判疏散措施為保障公共安全結果判被告正副警司得直
page 6	金陵舞廳舞藝名家今晚表演
page 7	田徑界熱心份子籌辦標準運動會現正草擬章則以期早日實現三角田徑對抗學運繼續舉行
page 7	東華雙喜臨門大破臘克斯戴麟經李義臣各建一功此後奪標希望更有把握
page 7	澳門足球聯隊展期下月犯港
page 7	徐氏兄弟被邀赴菲
page 7	鐘聲籃球義演下月三日舉行首場女子星島對平正次場男子東方戰星島
