page 1	美援與西歐經濟新機構
page 2	國大選舉總統昨天完成蔣中正以壓倒多數當選主席團公布副總統候選人名單
page 2	短期庫券條例國府公布施行
page 2	國民黨六中全會當局否認將召開
page 2	全體簽署代表領到當選證書一台喜劇就此閉幕
page 2	選舉票一票千金大禮服昨天縫製會堂附近發現手榴彈
page 2	聯教組織獎學金我國得八個名額
page 2	峨嵋艦訪星島昨天自滬出發
page 2	中國的出路在京教育界人士昨開會座談
page 2	胡適將長政院他自己仍說不願做官
page 2	國軍進駐鞏縣氾水滎陽陳毅部越隴海路向南進冀東武清吃緊東北醞釀戰事傅作義飛并商軍事當天返平
page 2	南北朝的豪門經濟
page 2	萬福麟趙家驤昨離京抵瀋陽萬氏將赴長春一行
page 2	反飢餓反迫害金大學生罷課絕食中大金女大派代表慰問北大學生節食一日捐助川大
page 2	調整後之待遇幾何粵公務員議論紛紛他們擔心仍會八折發薪省府考慮重定發給公糧辦法
page 2	四國使節昨遞國書
page 2	關麟徵抵撫順視察第三軍官訓練班
page 2	穗米價劇漲春雨將把高漲的價格壓低穗附近各縣買米要用港幣
page 2	禁止敲鑼打鼓恐怕影響治安廣州警察局的命令
page 2	整理中山沙田沒有執照的一律要繳穀政府的收入將大為可觀
page 2	上海冒險家的樂園一個洋騙子落網澳籍青年記者窮極無聊騙了永安公司大批貨物被捉到之後他說很懊悔
page 2	騙子雷諾的話以後乖乖的作生意了
page 2	轟動羊城殺人案兇手傷兩人然後自刎三人都沒脫離危險期
page 2	韶關也要練新軍美佳撒准將昨天去看了看他對記者說印象良好
page 2	都江水電工程需費浩大如要全部興工有賴外資
page 2	真理社受處分停止發稿兩週
page 3	義選民投票逾百分八十羅馬選舉區右派佔優勢政府頒布命令禁止任何集會
page 3	選舉大致順利只有一兩椿不愉快事件
page 3	今日的加拿大鍾毓寄自加京
page 3	特港十數萬居民關心義大利脈膊
page 3	兩元老投票未用身分證
page 3	世界前途美教育家樂觀
page 3	美援土物資已逾九萬噸
page 3	法國何去何從許曼衷心感謝美國援助多列士責美國腐化歐洲載高樂罵蘇聯控制世界
page 3	羅哈斯將安葬菲宣布國哀期一月
page 3	救濟荷印僑胞我運布八千碼
page 3	杜魯門談談和平揭櫫與羅斯福不同的四大自由
page 3	蘆田也談戰爭危機說日本遇侵略可請聯合國保護希望美國七月能實施援日方案
page 3	日關西區地震和歌山沿海發生海嘯
page 3	哥國戰亂未已波高達槍聲斷斷續續
page 3	英博物館被竊威靈頓寶劍比婦女會巧製羅斯福肥雞
page 3	安理會兩難題棘手巴力斯坦美邀英法接收聖地阿拉伯各國將集議出兵助戰喀什米爾印巴反對斡旋計劃真納煽動印度邊境部落酋長
page 3	印度考慮正名立法者對國名意見分歧
page 3	東德報紙消息美集大軍蘇區邊境編組德軍起用倫斯特司令
page 3	東京郊外一盛會三千男女集體求偶要實行民主的結婚
page 3	日本賠償物資運出萬六千噸我國得到九千餘噸
page 3	星洲碼頭工潮華僑工人復工
page 4	華商總會會員大會延期下月十九舉行昨天幹事值理會議決定
page 4	九龍人力車伕今天停交車租昨天勞資談判無結果勞方曾到勞工處報告
page 4	僱主聯會昨天成立現在已有會員七十二人據說目的在求勞資合作
page 4	中國海關報告二百元以下貨物昨起准攜帶入口
page 4	蕭立坤到港視察民航事業
page 4	首任總統已選出僑團昨歡宴慶祝
page 4	二期平價米短期將放出
page 4	公務員大廈年內可完成
page 4	格蘭總統號的異客由暹運港飛禽走獸一批今天將首途到黃金國去
page 4	人造雨下月再作試驗
page 4	石澳區即建自來水池
page 4	旺角渡海輪中一人跳海遇救
page 4	獅子石謀殺案三被昨否認有罪定五月廿四日再審
page 4	積石山探險機昨天到港
page 4	三械劫案均判重刑李中活判入苦獄十四年
page 4	串謀聚劫上水匪犯昨被分別判處徒刑
page 4	農行職員吞佔巨款案昨天由高等法院判決曾錦成共判刑四年零三個月曾鉅兩罪各判一年同時執行
page 4	神秘電台據傳本港有多個
page 4	洋紙商會呼籲早日發輸入證
page 4	日本刀充公
page 4	永安公司昨被竊失了一批貨捉到三個人
page 4	小販團體將商合併問題
page 4	華人幫辦喬裝搭客破獲偽造車票機關搜出偽三等火車票百餘張
page 4	因有替人墮胎嫌疑兩婦被不拘准具保
page 5	滬穗金鈔齊漲內匯市場全面狂瀉上海黃金衝到四千萬元廣州港幣突破一四大關
page 5	游資南流和商廠南遷
page 5	黃金自由市價國際一致看漲法金市交易熱烈
page 5	金市晨跌晚昇美匯一路盤穩股市成交卅九萬元
page 5	存底轉薄外圍價高
page 5	外匯開放貨幣貶值
page 5	長沙市場半月三月二十日至四月三日
page 5	西貢紙靜股票市寂
page 5	謠傳定金萬四千兩
page 5	滬金報漲港金跟升
page 5	對日貿易貨物項目輸出大豆桐油牲皮鹽糖輸入枕木車輛紙張燈泡
page 5	金管局長高方飛京
page 5	各地匯率懸殊匯費隨市增加
page 6	印尼華僑參加全運男女選手過港返國網籃球隊今天向港隊挑戰客軍網球多好手料有劇爭
page 6	港僑參加全運最後一批籃球選將今天在嘉山試賽將取錄正選十名
page 6	南華體育會電賀蔣主席
page 6	初級學界籃球昨天戰績
page 6	參加世運籌款賽足球選手對抗華聯全運足球隊由此產生
page 6	暹華參加全運進行曲曼谷通信
page 6	小球友誼賽記者大戰中華
page 6	各地參加全運會川省選出足球代表江蘇代表遴選竣事滬排球選手多放棄
page 6	馬華世運三位選手昨天下午抵港歸隊
page 6	南華徵求會員陳榮柏成績佳
page 6	徐家兄弟顯身手打垮大小林珍昨天網球賽雙打三場
page 6	中國健身會五一聯歡
page 6	馬華全運代表隊組體育考察團為改進馬華體育借鏡
page 6	兒童球賽季軍爭奪戰
page 6	乒乓選手集中訓練
page 6	嘯霞夜校月底開課
