page 2	社評五中全會應辦的兩件事
page 3	蔣委長告全國士紳推行兵役開發經濟增厚政府抗戰建國力量
page 3	我東北游擊隊潛入瀋陽放火十月間有人行刺溥儀僅擊傷日軍官及衛兵
page 3	粵湘鄂激戰中京山戰事甚為激烈廣花線在獅嶺對峙
page 3	Ｘ人強奪關稅我政府力爭之經過英日海關協定無法承認
page 3	Ｘ犯中條山
page 3	重光葵還詭辯說中日親善的夢話又盼英日互相合作
page 3	沙王抵西安稍留即赴渝
page 3	英使將赴津
page 3	詹森訪赫爾長談中國情勢
page 3	張治中正趕辦交代事畢即赴渝
page 3	章嘉昨抵渝
page 3	滬郊Ｘ防務由輕傷兵負責
page 3	美人仗義由史汀生領導研究制裁日本
page 3	作賊心虛強說有人加害
page 3	津Ｘ防務空虛河北澈夜聞槍聲
page 3	倫敦中國債券昨日又上漲我財部發言人談話倫敦方面表示歡迎
page 3	Ｘ機窺陝寶雞慘遭轟炸
page 4	英法注視西戰態度持重無意干涉西叛軍迫巴薩龍納
page 4	英政府之態度張伯倫函阿特里說明工黨主取銷禁運軍火
page 4	法閣議曾討論英法所取之態度一致共黨示威請恢復邊界
page 4	巴薩龍納危急叛軍宣稱巳難於阻止西政府亦稱反攻得手
page 4	德內部鬥爭漸趨嚴重戈林亦反戰曾被警告工人怠工反對戰爭狂
page 4	德匈會談後薩基歌功頌德表示甚感欣慰與滿意兩國和諧合作已存在
page 4	國聯不公開會議討論我國申訴恐難獲任何實際解決拉西曼等將脫離國聯
page 4	動員重慶婦女的前奏
page 4	法對日照會昨送到外務省
page 4	巴勒斯丁圓桌會議英閣決設小組會為解決方案根據
page 4	羅斯福批准增築海軍根據地國會審議美國防計劃美議員提議擴張空軍
page 4	德經濟部長恫嚇美國以不購美貨物為要挾向土耳其等另尋原料
page 4	美增造飛機生產力三年內可四倍英在加拿大定造飛機
page 4	美政府將召產棉國會議
page 4	重光葵撒謊
page 4	西班牙將被犧牲
page 5	閩南晉惠海面Ｘ艦肆擾五日始退走Ｘ兵屢圖登陸均被團隊擊退英艦馳往護商Ｘ乃狼狽引去
page 5	西江迂迴記
page 5	黃閣鄉Ｘ已撤退袁帶談Ｘ志在騷擾九江Ｘ軍忙築工事
page 5	輔幣缺乏瓊崖金融怪現象自印代用券數達二十餘種機關銀行以郵票印花找補
page 5	一元還債上海游擊區內亦風行辦法四項元旦起實施
page 5	新四軍徵募各縣農工自衛軍經派代表赴中山調查
page 5	中山禁離職守
page 6	海外各屬瓊僑舉行代表大會代表數十人昨日抵港討論開發瓊崖等要案
page 6	狙擊林柏生疑凶昨過堂觀審者極擠擁案押候一星期
page 6	僑委會繼續撥發僑民教育補助費現撥到五月至八月份
page 6	西商遷就緩期提貨洋貨商停定貨存觀望
page 6	加戰地記者辛克萊抵港在粵被日兵刺傷
page 6	全港各區私娼達二萬五千人嚴緝非根本解决辦法政府應予以自新機會
page 6	去年港車輛失事統計共一七六九宗汽車數近六千
page 6	九龍巡理府研究華逃兵被鎗殺案前日又逃出一名拘回判入獄
page 7	港菲埠際足球賽定農曆元旦舉行第二場對華聯第三場戰港聯並定下月廿六日南華對港聯舉行義賽
page 7	南華遠征第二戰勝新公聯隊詳情結果四比零張榮才表演最佳
page 7	出席麗華杯賽中華隊新陣容昨經三會遴選委員重新決定對手海軍聯隊陣綫亦已選出
page 7	遠東網球錦標賽均成一面倒菲律濱選手頗博好評名將貝脫拉所向無敵
page 7	滬西青籃球賽百樂勝華聯
page 7	丹麥游泳女將又創世界紀錄
page 7	桑波喬勝來極易
page 7	第四日情形
page 7	山查茲再度高升
page 7	荷德瑞滙價稍漲英匯美匯市况略緊申匯穩靜成交頗多
page 7	股票市稍為穩定全日成交三千九百餘股
page 7	八九金市略穩但靜較前略漲四仙二五
