page 2	讀匯豐銀行年會報告
page 3	桂南日軍益陷困頓再度反攻又遭打擊欽防外圍已被我嚴密控制
page 3	李宗仁將軍嘉惠軍人遺孤撥僑胞捐款五十萬元充辦理遺孤教育基金
page 3	高陶繼續揭露日偽亡華密約證明日偽極度排外
page 3	明日擴大宣傳傷兵之友各地同時舉行
page 3	閩民眾獻金各項捐款成績均佳
page 3	馬朝選馬全義捐資興學國府明令嘉獎
page 3	日飛機失事機內六人均死非命內有中少將各一名
page 3	滬工潮又起五千工人罷工
page 3	上海一月份國際貿易總額入超二萬二千五百餘鎊法幣前途將趨穩定
page 3	英大使夫人由港飛抵重慶
page 3	滇主席龍雲關懷民食問題對米荒將作具體解決並嚴禁奸商囤積操縱
page 3	日人挖空心思補救物資恐慌造洋房竟用竹代替鋼骨
page 3	淺間丸案日方稱被捕德人英國定今日交還
page 3	朝鮮民族獨立運動明日二十一週年桂鮮人開會紀念
page 3	交部注意航行安全川省長江中暗礁將設法予以炸去
page 3	贛省政府厲行禁煙十月前肅清煙民並設廠收容感化
page 3	汴孩子劇團向衛立煌獻旗
page 3	美大使今日可抵渝
page 3	汪梁交惡偽政權又將延攔
page 3	沙上樓閣的日本大陸政策張其昀君為著名之地理學專家現任浙江大學教授此文乃寄贈重慶本報在二十五日星期論文欄發表者路透社會傳播其中一部現將全文轉載如左俾國外各方面得知中國學術界對於日本大陸政策之嚴正批判焉
page 3	我向包五挺進晉南戰況轉烈
page 3	贛北出擊獲勝蘇皖日軍潰退
page 4	匯豐銀行年會報告中日經濟狀況戰事嚴重打擊日本經濟制度中國經濟前途不悲觀法幣穩定工業有進步
page 4	中國外債
page 4	財政前途
page 4	工業展望
page 4	美軍官嘉爾森痛斥日野心日軍閥企圖建立世界帝國南美洲將為第二侵略目標
page 4	英外相演講斥德國民族至上之說勉勵青年為光明而戰
page 4	韋爾斯對記者談晤墨索里尼經過
page 4	英擴充海軍邱吉爾在眾院報告要求增加兵員船隻
page 4	劍拔弩張
page 4	潛艇損失
page 4	英政府考慮防蘇以物資德海參崴輸入原料激增英議員曾促政府注意
page 4	今年夏季
page 4	妄加攻擊
page 4	應付水雷
page 4	芬軍放棄維堡極北蘇軍續有新進展
page 4	不法暴行
page 4	人道為重
page 4	羅王將訪義四月上旬動身
page 4	美進出口銀行迅將對我貸款一俟立法程式完成即將核准我方聲請
page 4	土耳其準備召回一工海外船隻
page 4	又一件快事
page 4	歐局與日本
page 4	英主力艦
page 4	蘇聯增強遠東防務將派大隊軍艦東來日報惶恐危辭恐嚇
page 4	法國報紙重申立場
page 4	蓋達表明義國態度
page 4	西藏紀行三
page 4	本港稅收
page 4	日本困苦
page 4	國際貿易
page 5	我反攻江會古井各路均續有進展日偽情形恐慌紛紛調兵增援公益單水口商業好轉
page 5	海軍輿圖粵北戰利品展覽會中一幅珍貴紀念品
page 5	甲午一役
page 5	虹口開放後昔日繁榮而今面目全非鵲巢鳩佔偏說經濟提攜
page 5	第一游擊區政工大會明日在石岐舉行
page 5	赤坎僑胞籌款慰勞將士
page 5	西康日記六三
page 5	發展蠶絲業川康滇黔積極推進對日經濟戰一支主力軍
page 5	東北一車夫愛國可風罄其儲蓄捐助寒衣
page 5	被壓迫下
page 5	滿紙忠懷
page 5	不能如願
page 5	粵徵收營業稅各縣調查竣事評定課稅絕對公平辦理苛捐雜稅曲江著手廢除
page 5	矢志灑湔
page 6	政治戰與經濟戰
page 6	中大服務團團長高承元招待各界報告視察廣東各地狀況各地患米荒書報亦缺乏
page 6	金融經濟等問題
page 6	防空當局積極訓練人材防空演講分在各區舉行指導員實習班開始報名
page 6	華商籌振會勸捐期延長一週第一二兩隊成績最佳董仲偉慨捐國幣二千
page 6	各代表相繼發言
page 6	南洋商學院明晚舉行畢業禮
page 6	美莎龍影展我國共有八幀入選本港三人上海二人
page 6	北角難民營參觀記英國遠東情報局播講
page 6	曠場乾草祝融降臨
page 6	西環北街大火飼牛乾草被焚燃燒三小時損失萬餘元數年前曾發生火警兩次
page 6	灌救困難損失鉅萬
page 6	商振會議案
page 6	捐款者題名
page 6	狄青征西
page 6	嶺南大學農學院決遷往曲江附近粵省府表示願與該校合作學生贊成內遷者占大多數
page 6	爭取人力與物力 
page 7	港澳埠際賽斯近港方昨下戰書請澳門準備派隊來港
page 7	士葛春風得意一比零克米軍
page 7	世界重量級拳賽喬路易戰高代新聞片昨已運抵香港 
page 7	南華足球門守張榮才入郵局工作
page 7	英匯美匯市況穩靜申匯仍淡牌價續漲
page 7	存戶圖利拋出股票漲勢稍戢昨日各股價格一致下降
page 7	八九金市昨交易仍停頓
page 7	銀聯小型球賽今晚開會商討比賽程序
page 7	寫在網球季前
page 7	水兵戰南華兩大皆空零比零收場
