page 2	社評美國政策的爆彈性
page 3	羅斯福總統又作獅子吼美國決心抵抗侵略把守崗位接受挑戰增強軍力並盡力援助中英蘇
page 3	赫爾在外委會陳辭美應採取堅定路線
page 3	德如向美進攻不需任何藉口海軍作戰部長之陳述
page 3	維持一國光榮不應放棄權利美參院開始辯論廢止中立法外委會主席康納里慷慨陳辭
page 3	德日皆成為美國之公敵
page 3	美總統演辭強調援華我表示歡迎美供應品輸入數量增加
page 3	德又發狂言抨擊美總統
page 3	前駐比大使顧達希意見
page 3	赫爾強調呼籲加速援助民主國家適當配備品必須及時運出
page 3	饑餓線下的巴黎四
page 3	法人質百名德允延期處決維希竟應德國要求公布法令實行連坐
page 3	國勞大會開幕三千三國代表參加對我抗戰表示敬意
page 3	倘有巨變來臨必能應付裕如美艦隊總司令廣播
page 3	美國海軍日全國熱烈慶祝海軍部首腦發表演說
page 4	英蘇將實際聯防保衞高加索區卡科夫仍在激戰中
page 4	畑後六奉召返東京商討侵華軍事日陸海軍將領曾舉行會議
page 4	美中立法問題二
page 4	水上游擊擴張戰果
page 4	敵機廿架竄擾陝境
page 4	美滅瘧團一行抵滇邊
page 4	英戰略家主張先解決日本贊成ＡＢＣD集團合作
page 4	我軍事發言人揭發日方野心
page 4	鄂南殘敵潰竄浙東我三度衝入紹興閩江口外又克復兩島
page 4	蘇日軍隊衝突事件倫敦認為意義重大
page 4	黔省推行冬耕運動
page 4	塞外驟寒河渠結冰
page 4	縣自治財政開源節流厲行鄉鎮保造產裁併各駢枝機關
page 4	澳首任駐華公使昨呈遞國書參加國府盛大招待宴會
page 4	澳使頌詞
page 4	保衛高加索
page 4	北平暴徒逞兇開槍擊傷美兵
page 4	政院會議
page 4	訓練難民各戰區設組訓委會首期受訓十三萬人
page 4	主席答詞
page 5	連日分路出擊中山我團隊活躍斗門混戰兩晝夜斬獲數十名各地敵偽軍紛紛戒備
page 5	廣東省銀行業務概況各項措施均已循序完成吸收僑匯較前日有增加
page 5	科學與人類進步二翁部長文灝在中央電台廣播
page 5	發展對外貿易粵省建築羅信茂公路
page 5	增加農貸
page 5	昆明警局破獲空屋骷髏案何禮棠被殺屋中已兩月其弟何斌在逃嫌疑最重
page 5	桂林滑翔分會負責人選內定宋如海對本報記者談
page 5	救濟貧苦民眾柳州成立小本借貸處初期貸額定為三萬元
page 5	粵省農林事業各方推行順利畜疫防療所成績卓著治愈病牛達八成以上
page 5	滇製鹽新法煤竃煎鹽試驗成功
page 5	桂行政會議旁聽記一
page 5	國防十年計劃粵文運會研究座談會記
page 5	桂林市政建設白副總長指示五點
page 6	中航機由南雄返港降落時墜入九龍灣機師獲救無線電生溺斃
page 6	糶米會決定從速成立九龍公共飯堂九龍商會表示協助進行並請求再減低衛生米價
page 6	財政部催促領取債本息
page 6	毫券昨發出流通五仙輔幣券定今日發出兩種發行額七十五萬元
page 6	廣州灣已宣布復准牲口運港首批牲口即可運抵本港港禁油運廣州灣亦撤銷
page 6	廣華醫院產房失火產婦等受虛驚
page 6	澳白銀價劇漲港幣每元只換白銀五毫因各方搜購囤存所造成
page 6	羅便臣道破獲大鋪票廠土庫內搜出印刷機
page 6	彌敦酒店內串賊行劫案
page 6	宋威林行賄公務員判入苦工監十五月並附帶判罰款五百元法官認為應加以嚴懲
page 6	九廣路新訂時刻表每日增加最後上下行車一次新時間表下月一日開始
page 6	全港基督教徒組消費合作社李求恩林子豐任理事將在港臺九各區設分社
page 7	罌花節義賽前奏曲球證迎戰記者雙方陣容日內即可編定公布光華上訴案明日討論
page 7	獻機籃球義賽今夕最後角逐民大新青分虎康元黑貓
page 7	澳門足球聯賽兩華遭敗北電燈力強二比一勝中華良友以二比四敗於鱆魚
page 7	鐵城杯賽南華戰友聯中青會舉辦之鐵城杯
page 7	在遊樂會中
page 7	粵訪問置於隊在桂三路報捷女籃勝醫學男籃贏德智足球十二比零擊潰勵志
page 7	青支冬泳團下月開始訓練
page 7	申匯黑市略見好轉英匯美匯仍乏生氣
page 7	股票轉趨沉寂昨成交總值僅六萬餘元
page 7	學界籃球賽港大勝華大
page 7	國幣市穩價略回漲
page 7	滬標金價略告低降
