page 2	社評調整外交機構
page 3	紅軍大勝克復呂沃夫殲滅德機械兵一師團蘇空軍澈底毀滅羅煤油中心
page 3	史達林廣播講敵辭全文
page 3	威爾基主張美國在英設立軍事根據地認為確保海洋重要步驟
page 3	英機炸愛城
page 3	中蘇協會電慰蘇聯
page 3	美國更進一步確保海洋安全總統授權海軍可採射擊行動美軍已在冰島登岸
page 3	美政府撥款請求本週內即可提出
page 3	敘利亞休戰條約傳經已簽署成立英軍進抵貝魯特外圍
page 3	六月份美機產量創立新紀錄達千四百七十六架美英聯合產量超過德國
page 3	美造艦能力突飛猛進至一九四三年底後可年造驅逐艦百艘
page 3	維希一丑角伯里農阿諛諂敵談組軍助德攻蘇
page 3	英蘇會商陸海空軍合作英援蘇物品已在途中美駐蘇大使訪蘇外部
page 3	蘇聯豐收
page 3	休戰條約十點內容
page 4	郭外長又發表廣播籲請反侵略國團結艾登外長重申英援華決心
page 4	美決不變對日態度日記者德富蘇峯之觀察
page 4	敵一批議員赴南美考察途次發表談話對美胡思亂想
page 4	中央舉行北伐誓師紀念蔣委長向三青團訓話
page 4	徐謨使澳已定明令日內可發表
page 4	蔣委長嘉獎胡達胡蔭槐
page 4	福克斯由滬來港
page 4	閩江西岸難胞　集傷病死亡觸目皆是省內各界呼籲請求急振
page 4	汪偽組織內訌周李兩逆互相傾軋爭骨不勻大起衝突
page 4	貪污者殺易定邦舞弊已執行槍決
page 4	獻機運動七機關捐獻西南同鄉號
page 4	飛來橫禍四十噸巨石滾入嘉陵江渝市百餘人受傷
page 4	美國通信第六封
page 4	拉第摩顧問飛抵檀香山
page 4	我遊擊隊襲浦東荊門敵竄犯受創
page 4	克萊琪訪大橋
page 4	陳介大使昨已離德
page 4	秘赤兩國爭端美國建議暫時成立中立區軍事行動經已停止
page 4	德義分割南斯拉夫協定已在柏林簽字
page 4	蘇軍克復呂沃夫
page 4	孤島血案南市一夕數驚
page 4	重慶亞洲外交中心外賓紛至沓來
page 5	粵參議會連日情形餘漢謀報告軍事綏靖工作半年來出擊一百四十五次軍令部評定成績列為甲等潘駿詳述參議會七月來工作經過
page 5	粵省擬訂三年建設計劃決於明年開始施行
page 5	戰區大批婦孺先後搶救抵韶
page 5	孤島各界人士聯名慰問英國參加簽名者共十萬餘人已裝裱成冊轉交英當局
page 6	港督昨頒布命令動員海軍義勇隊此舉為行政便利無特殊作用
page 6	港肉食菜蔬果品價格日趨昂貴較去年約漲價達兩倍當局表示將設法平抑
page 6	天文台長伊雲氏解釋無線電被阻擾原因颶風瀰漫遠東影響音波太陽黑點減少幅射效能
page 6	生活程度高漲勞資糾紛不絕的士司機加薪要求未決鉛筆線香茶居工人均提要求
page 6	食水不虞缺乏港九存水廿八萬餘加侖半年得水五十六吋半強
page 6	陸費伯鴻氏昨日舉殯
page 6	司徒永覺代表平糶委會請求減低米價昨訪穀米專員談商官營局認暫難減價
page 6	電船駕駛員被歐斃案疑係華探誤殺兩學生作證述當時情形酒醉西人昨日已獲釋放
page 6	香港大學入學試成績昨日揭曉成績分函通告各校校長男女生共三百九十七人
page 6	國貨陳列所下月一日開幕第一期陳列衣着等用品並在六大酒樓闢室展覽
page 6	我外長郭泰祺親函港督致謝未能過港把晤引以為憾該函係由警司帶港轉交
page 7	協會末次執委會修章全部通過莫慶報告體聯會斡旋六會經過有三社團聲請加入協會
page 7	文治盾公開排球賽南華將舉辦
page 7	中華泳場恢復舊觀
page 7	星高射砲失利華人贏四比一
page 7	外匯牌價俱無變更美匯沉寂申匯穩定
page 7	股票益形活躍買賣廣大價格繼續趨漲昨成交總值十四萬餘元
page 7	本屆足球聯賽九月廿七開幕
