page 2	社評關島設防的意義
page 3	外交政策仍無變更江南我軍奇襲奏功晋Ｘ揚言將進犯中條山
page 3	西南戰局西南行營發表
page 3	滬Ｘ架人
page 3	今日一二八滬市黨部發告民眾書租界緊張Ｘ防範加嚴
page 3	傳中蘇兩國當局將締結舫空協定聯絡重慶莫斯科間之交通
page 3	痛楚的經驗僑滬美商一封書勸勿上日本圈套
page 3	國際反侵略會在英開會我國要人致電申賀
page 3	雷鳴遠將赴戰區工作
page 3	羅傑士返英關於中國財政將起草報告書
page 3	Ｘ人慣技捏造團體電報騙吳佩孚下海
page 3	中國共產黨電賀中全會抗戰高於一切團結便是勝利
page 3	伍特麗演說中國抗戰形勢英美對華借款之舉給日本以重大打擊
page 3	滬西血案土行老闆被戕
page 3	Ｘ眾院預算會暴露經濟的弱點發展重工業毫無成績財政困難少補救辦法
page 4	歐洲杌隉不安美國準備應付春夏間料將有變化羅斯福決維繫和平
page 4	美海軍參長力主在關島設防
page 4	德為義助威義再召集後備兵
page 4	賀爾發警告須認識英國力量
page 4	捷外長痛述德捷外交關係除連成一氣別無他途德國隨時可干涉捷克
page 4	齊亞諾將赴德報聘
page 4	丹麥捕獲德國間諜
page 4	法外長演說中述對各國關係仍取不干涉西亂政策法揆稱勿向法國沾手
page 4	西叛國獲勝後將恢復君主政體由廢王之子唐璜繼位政府軍通告繼續作戰
page 4	里賓特羅甫拜訪柏克
page 4	龐萊說明法遠東政策以九國公約為根據以前如是今後亦然
page 4	菲政府容許難僑留境我總領館辦理詳報
page 4	英法聯合放欵捷克條件已成立協定
page 4	英國議會定期辯論外交
page 4	日國民新聞大吹大擂稱不惜與英衝突
page 4	美國態度明朗
page 5	三水Ｘ增三千南岸我軍嚴加戒備鶴山同時吃緊會屬突聞槍聲
page 5	上海紀念一二八Ｘ又封鎖交通
page 5	陳勉吾任軍管區參謀長
page 5	粵南情勢日趨緊張北海聞砲聲Ｘ兵欲在安舖登陸我軍誓共陣地存亡
page 5	嶺東戰時行
page 5	西南行營公路視察團抵鶴即轉四邑南路公幹
page 5	粵財政廳
page 5	澳門郵件擁擠
page 5	川菜名手黃敬臨病逝重慶
page 5	中山中學復課
page 5	廣州灣籌建病院
page 6	外部訓令港簽證處慎重頒發人滇護照確查領照人身份職業防奸宄乘機混入活動
page 6	留港參政員昨開座談會交換意見準備提案潮八邑商會昨宴陳守明
page 6	伶人新靚就明日抵港
page 6	業主住客對水費宜妥商繳費手續第一期水費分兩部繳納工務局昨日已正式公布
page 6	瓊代會今日閉幕選舉總會執監各委員大會所將在香港建築
page 6	一元還債方興未艾
page 6	深圳難民營技術登記
page 6	諾貝爾少將抵岷尼刺
page 6	一個讀者公開向賑聯會的建議物質食糧和精神食糧
page 6	英賑募委會歡迎新幹事游藝決定改期並增辦跳舞會
page 6	劃定防空區並無危險性一部置業者生誤會防空委員談可無慮
page 6	難猶四百餘昨晨轉滬
page 6	何明華赴滬出席聯合救濟難民會籌劃救濟全國難民辦法各地英領神甫將均參加
page 7	今日甲組足球賽雛鳳再戰香港會光華出師掃桿埔對抗米杜息
page 7	春風得意馬蹄忙南華昨日凱旋此番征貢大小十戰七勝三負
page 7	今天足球共十一場
page 7	澳洲女子單打半決賽已結束
page 7	滬學生網球隊今晨抵埠
page 7	滬史考托盃第二週賽麗都勝臘克斯結果六比二錦標有極大希望東沙利淘汰東華
page 7	天公不美東華受挫
page 7	士氣旺盛麗都奏凱
page 8	歐局緊張聲中港匯市微呈緊勢英匯美匯需求俱增申匯略緊成交尚多
page 8	一週間股票市先靜繼堅後鬆弛週末因歐局影響股價稍降落匯豐銀行香港電車尚多成交
page 8	八九金市略穩仍靜買賣俱少價微低落
page 8	邊茶的危機
page 8	米市更淡
