page 2	社評希特勒的煙幕彈
page 3	犯浙東日軍受重創殘部已向諸暨潰退晉南中條山軍又獲大勝
page 3	郭泰祺抵紐約將赴華盛頓謁羅斯福發表談話暢論中英抗戰前途
page 3	日對美發動外交新勢攻謖與蘇訂約目的在和平對美日關係將作新考慮
page 3	米蘇里之榮譽獎一
page 3	羅斯福公子過菲來華我當局準備歡迎
page 3	政府人事調整徐謨將繼任政院秘書長俞鴻鈞任外次亦將發表黃省穀兼任政治部第三廳長
page 3	日軍侵入紹興慘殺居民數百學生被扣
page 3	公務人員待遇當局決予改善
page 3	後方戰時生產三年來已大增日軍此次擾浙閩沿海對我經濟無重大影響
page 3	粵農業金融四行協助改進
page 3	南輪被扣事日向義交涉
page 3	滬中交等四行恢復同業收解
page 3	謝晉元團長遺骸大殮工人學生揮淚臨弔
page 3	澳又一批生力軍開抵星洲增防東京對英美加緊戒備甚震動
page 3	英蘇商約談判情形伯特勒答議員問
page 3	南京民不聊生米價飛漲鴉片館林立炸彈橫飛軍用票充斥
page 3	豫省新政衛戍區立煌談片
page 3	菲島外僑登記法案菲國會二讀通過
page 4	德假道攻直布羅陀傳已得西同意法德關係亦甚微妙達蘭在巴黎奔走中
page 4	美確保運英軍火安全將擴大巡邏區赫爾闡述援助民主國之重要諾克斯表示美決不姑息妥協
page 4	英新主力艦威爾斯太子較喬治五世尤為新式現已編入隊伍開始服務
page 4	英議會議員關懷時局要求及時舉行辯論會呼籲增加內閣新血液
page 4	話說當今英格蘭拾壹北極老人下界防空壕倫敦城大過聖誕節二倫敦航信
page 4	佛敦呼籲捐除成見
page 4	傳德機械部隊陸續抵北非美報估計總數達九萬人英軍繼續進擊阿境義軍
page 4	印軍總司令視察防務特別注意西北邊境
page 4	希戰最後一幕德軍迫近雅典聯軍將退守克里特島
page 4	美財部開源節流供應國防開支計劃裁減政費增加稅收具體提案已向國會提出
page 4	蘇義正式承認伊拉克新政府英代表與伊總理長談
page 4	英機屢炸卑列斯兩德艦受重創香霍斯特船頭中彈
page 4	教皇發起和平祈禱籲請兒童參加
page 4	松岡對美之誘脅
page 5	霹靂在迅速設施下防務已固若金湯各消極防護隊設備均甚完善建築大防空壕可容納八千人
page 5	粵省積極推進三民主義教育策動學生加入青年團
page 5	獎助紗布內運經濟部公布辦法全文
page 5	何彤在參議會報告粵省民政各級自治組織大致已完成請協同籌集區鄉造產基金
page 5	西康日記第十五編由麗江返昆明
page 5	奸細歹徒誘拐義童吳菊芳提請嚴查截緝
page 6	重組戰稅會將討論利息稅徵稅範圍銀行利息稅亦在考慮中有關係各方面甚為注意
page 6	全國回教代表大會決定延期舉行本港回僑就近委派代表並擬就提案將儘速寄淪
page 6	一九三九年度醫務署報告書準備戰事爆後之工作撲滅肺癆症甚為困難
page 6	移民局人事有更動富勵士將離港休假
page 6	保良局興建兒童宿舍西人約瑟捐款五萬元工程約需五個月完成
page 6	仰光米供給上海對港民食無影響港府擬將運米專輪增加坡柴二千噸昨運抵本港
page 6	日本錶大量運港推銷月來達十萬元
page 6	米行商會請求增設官米站十一處零沽米店組織售米聯會推定臨時主席日內成立
page 6	某巨商向記者表示應增加私人汽車稅每年可得戰稅六十萬元政府不應加重平民負擔
page 6	金大同學星期日旅行沙田
page 6	航政司豪輅告老歸隱繼續在澳洲休養
page 7	籃球義演第三幕東方迎戰南華下午四時在九龍青支會上演雙方勢均力敵有惡戰
page 7	學運籌振大會運動員高度定今明兩晚開始審度
page 7	球圃菜根集五十一
page 7	德權鼎賽今午比賽兩場
page 7	白蘿仙杯決戰
page 7	恩德杯排球賽本週暫無戰事
page 7	合眾單車比賽下月舉行報名參加極眾
page 7	廣州灣足球比賽赤坎旗開得勝二比零基督隊力戰不敵上半時緊張雙方無建樹
page 7	學界籃球賽培英大捷華南輸得慘嶺東克英華
page 7	學籃大戰秩序全部公布
page 7	外匯牌價均無變更美匯緊靜申匯仍淡
page 7	股票繼續傾疲人心不振買賣依然寥落
page 7	國幣市況依然穩定
page 7	四四金市轉趨沉寂
page 7	今年首季本港對外貿易總值三萬二千餘萬元
