page 2	社評日本能發財嗎
page 3	西線大戰逐漸展開英軍開到聯合進攻法軍前鋒已突入齊格菲防線華沙外圍波軍仍堅守原陣地
page 3	張伯倫報告戰事進展情形
page 3	德潛艇仍逞兇兩英國貨輪又被擊沉英海軍正積極搜擊中
page 3	英機兩度飛德散發大批德人民書法國東南部警報頻傳
page 3	加拿大亦宣戰與英國合作抗德
page 3	英國盡量援法遠過於上次大戰
page 3	德內部愈不安大軍駐捷京防變
page 3	歐局拾零法義交通昨起恢復
page 3	英國議會延期開會
page 3	溫莎公爵即將返國
page 3	南斯拉夫決定動員
page 3	德限英僑自動呈報
page 3	印軍幹部奉召入伍
page 4	長治附近鏖戰Ｘ放瓦斯掩護反攻我軍陣地屹然不動湘北我軍收復高板橋
page 4	鞏固戰時金融增加法幣準備蔣委員長親自主持任四行辦事處主席
page 4	美日戰近Ｘ中將佐藤清勝著敏甫節譯
page 4	葉部長談話斥汪逆叛國全國國民皆云可殺討逆電報雪片飛來
page 4	黔鳳岡縣民眾請纓壯舉吳主席派陳士烈赴渝向蔣總裁何部長請示
page 4	哈里法克斯表示英不變對華政策對偽鈔事已向日抗議
page 4	Ｘ方向英法續作勸告
page 4	滬福州路一暗殺案
page 4	引渡四華人事英眾院提出質問
page 4	救濟華北水災中央發行公債
page 4	汪逆在滬加緊暗殺工作大美晚報連日著論抨擊汪逆及其走狗
page 4	緩偽師長李兆興等反正並通電表明心跡
page 4	美國國會將開特別會議
page 4	蘇日關係
page 4	佐藤夢囈
page 5	新鶴路激戰我軍反攻告捷江門Ｘ軍撤退廣州Ｘ機昨晨襲擊石岐
page 5	游擊學校
page 5	廣九路南段仍由我扼守寶安戰事極沉寂我夜攻石龍奏捷
page 5	三江龍泉一帶難民遍野災區處處十室九空各方加緊收容救濟
page 5	漢奸四人在韶槍決指示Ｘ楊空襲實屬死有餘辜
page 5	粵南桂省重鎮迭遭空襲化縣育嬰堂被炸死傷七十餘人空前慘劇
page 5	韶各界鑄設汪逆夫婦奸像地點擇定中山公園以為萬世千秋垂戒
page 5	天津大水天祥市場水深丈五米麵肉類價格飛漲
page 5	論暹羅排華運動
page 6	本港政府委出物價評議委員會統制糧食專員昨再公告糧食增價不得逾百分十
page 6	港府限制貨幣黃金出口未經准許得依法沒收之居民有將存金交出義務
page 6	我國法幣不禁止出口
page 6	漁船出入港口須注意封鎖線華民司令漁民協會通告務須依照海面標記行駛
page 6	各國大量搜購本港銅鐵漲價歐洲新銅來源短少商人乘機操縱圖利
page 6	港府禁止軍用品原料出口商業專員已頒布新法令計二十餘種今晨起實施
page 6	本港海防間貨運開始增價太古增加百分之二十被徵兩英輪貨物起卸
page 6	海軍義勇隊再行徵調人員西人組織水雷監視隊港督傳諭嘉勉各人員
page 6	記者學會捐助朱惺公家屬請各界自由捐助
page 6	齊唱自由歌皇后平安今日起映
page 6	實施緊急法例當局徵用商輪離港居民頗眾船票增價某電器公司運德貨被控
page 7	今日國際棒球賽美國迎戰不列顛
page 7	加拿大籃球隊在滬打敗仗三七比四一不敵明星隊
page 7	南遊日記
page 7	孤島網球比賽卡遜逞雄擊退許承位
page 7	網球約請賽瑪博榮獲冠軍
page 7	林山綱球賽菲選手將遇強敵
page 7	明日足球賽東方出兵迎戰大陸隊
page 7	拾零集
page 7	夏令籃球比賽昨編訂新秩序
page 7	拳壇掌故中拳鬥史一頁黑幕李安那隻手勤王
page 7	港府實行統制外匯對外匯值昨回漲商人合法購買則不加限制今後外匯市況可轉趨安定
page 7	港府統制外匯影響金市交易將停頓投機者已紛紛清理期貨準備放棄買賣轉購國幣
page 7	股票續有起色統制外匯後投機者轉移目標昨日成交共四萬餘元
