page 2	社評美國最有力的武器
page 3	鄂南我軍不斷出擊蒲圻附近一度激戰晉南日軍向茅津渡進犯不逞
page 3	我某軍事專家痛斥日方宣傳虛報數字矛盾百出自欺欺人徒貽笑柄
page 3	越南扣留美貨美向東京交涉法方答復美前次抗議竟暗示須向日人請示
page 3	日人迫害內蒙民眾蘇聯電台痛加譴責並對我軍勝利加以宣揚
page 3	川省六區行政會議業已完滿閉幕
page 3	蘇日漁約談判重開
page 3	政府懲辦囤積後渝物價已趨跌各地米價亦告低降
page 3	政治部昨召集文藝演講大會檢討一年來之成績
page 3	黔省民廳長譚克敏由渝抵筑定期就職
page 3	戰時英國租稅一十一月二十八日倫敦航訊
page 3	那鳥魯島事件英國準備向日抗議
page 3	豫省教師津貼米穀
page 3	緬記者團參觀陪都各報
page 3	日機犯公安
page 3	參觀賀展會郭沫若題詩
page 3	滬中華日報無法出版鼓動罷工自食其果
page 3	陳慶雲晉謁領袖報告赴美經過
page 3	美將派飛行堡壘增強菲島務遠東撤僑仍積極進行
page 3	傳日軍在越南將有新舉動泰越間僅有小糾紛芳澤侈談日荷友好關係
page 4	德擬接收法艦隊傳維希已拒絕高爾呼籲重起抵抗
page 4	希潛艇擊沉義運輸艦三艘艦上均滿載援兵及軍需品希軍肉搏前進義兵無鬭志
page 4	法專員抵敘利亞曾討論新安全政策
page 4	德國增兵羅馬尼亞係防衛性質圖鞏固東南歐地位傳已向保重提保證
page 4	美總統演說全國興奮期待對援英問題將有所宣示
page 4	英國海陸空軍的組織二
page 4	美製機原料來源豐富外傳鋁缺乏說不確
page 4	義國加緊物資統制違者處死刑
page 4	英國嚴防德軍進攻猛炸法海岸自開萊至波隆一帶海港砲位皆遭襲擊
page 4	坦吉爾問題英西談判順利惟有若干點仍待解決
page 4	合眾社總理在美之演講對遠東作如是觀察
page 4	美政府準備提出下年度預算國防經費一百萬萬元經常費用八十萬萬元
page 4	曼哲斯特衛報關懷我難民中英乃患難之友
page 4	美財部籌劃統制外匯國務部表示反對
page 4	雅納爾赴華盛頓將擔任工作
page 4	德報賡續恫嚇美國
page 4	湘忠烈祠積極建築中
page 4	蘇日漁約談判重開
page 4	法拒絕德要求
page 5	國內科學家抗戰期中新貢獻紛紛發明汽油代用品成本低廉而速率高強
page 5	桂林市新聞界熱烈獻機運動舉行義賣籌獻記者號成績良好將突破十萬元
page 5	東江嚴厲處置私購運售鎢砂一經緝獲即按法懲治
page 5	農曆新年將近澳門商情冷淡米珠薪桂各行均受影響交通阻隔年貨仍未上市
page 5	中央儲蓄會設東江辦事處
page 5	粵進口洋米一律免稅
page 5	澳門劫案三宗先後破獲拘獲疑犯三人控案
page 6	限制汽車用油港府刻在考慮中視增稅後消耗是否減少某交通幫辦稱汽油消耗已減
page 6	全港汽車七千餘輛
page 6	本港移民局取締投機牟利代理領證索費不得過高商店不得為不識者作保
page 6	本港各僑團元旦慶祝新年開會紀念國民政府成立團體學校商店放假一天
page 6	本港米價不致再漲泰越新穀已登場
page 6	國展會昨雖微雨觀眾未減
page 6	深水埗小販分會紀念成立一週年第二屆新職員同時就職劉景清訓勉應廣辦義學
page 6	昨晚上環街市側義隆雜貨店失火貨物被焚損失約二千元所幸撲救迅速並未傷人
page 7	快活谷足球大戰星島輕取光華四比零佛爺二叔廣森建奇勳強弱懸殊勢成一面倒
page 7	公開女排球決賽仿林獲冠軍三比二打坍南華戰情激烈精彩多
page 7	南華週年陸運功德圓滿收場萬米跑李玉峯獨冠群雄霍寶材頒發獎品
page 7	過去十一個月內港貨進出口情形數量雖減但售價高漲糧食疋頭等均屬如此
