page 2	社評實現羅斯福總統的主張
page 3	粵省軍事醞釀大戰三水Ｘ犯金利遭痛擊各地團隊正積極訓練
page 3	修河兩岸平靜
page 3	劫後桂林
page 3	我軍掃蕩風陵渡吉縣蒲縣Ｘ準備退卻晉南血戰日內將展開
page 3	新牆河北岸十二月二十日元禮寄自長沙
page 3	我收復溧陽並破壞溧句公路連雲港由我堅守
page 3	滬郊我軍勢力大見增加
page 3	黃旭初等通電懲辦汪兆銘並電各省請一致主張
page 3	粵省政府將移曲江辦公當局決以政治封鎖Ｘ人
page 3	蔣光鼎辭職李章達繼任
page 3	淞口不靖兩外輪被襲擊
page 3	興建川滇鐵路英庚款將被利用
page 3	賭窟槍聲滬西恐怖事件
page 3	中樞兩紀念週
page 3	沿江偽組織禁止外輪卸貨
page 3	安藤碰壁妄想阻軍火經越法艦長答不知情
page 3	美和平協會主持正義請政府禁軍火輸日
page 3	中央定期召開西南省政會議湘桂滇均將派要員參加
page 4	英政府正考慮對日實施厭迫美援華態度益趨積極將設法支持我國貨幣
page 4	美總統將提出加強國防咨文
page 4	張伯倫今日赴義攜有西政府之聲明書英當局意向仍未明朗
page 4	英將派調查團協助澳洲造機航空次長及專家多人造機供澳洲空軍使用
page 4	南國攝政訪晤羅王
page 4	日技術人員實行強迫登記
page 4	羅京郊外炸彈案與鐵衛團有關
page 4	西政府軍突然總攻包圍索格河某點叛軍已渡塞格河
page 4	泰晤士報論日本和平條件
page 4	Ｘ閣員主張設國訪委會令軍部適應國際局勢調和政府對華之政策
page 4	義法西黨定期舉行大會
page 4	匈牙利又侵捷邊兩國代表仍在協議中匈駐捷公使離任返國
page 4	美國民主黨紀念傑克遜黨員萬餘人舉行宴會羅斯福總統呼籲團結
page 4	日對漁約談判急不可待東鄉再訪李維諾夫蘇態度強硬無結果
page 4	新阿房宮希特勒新廈落成
page 4	達拉第志得意滿法報稱頌出巡結果
page 4	敘利亞各城罷市反對作為法屬一部
page 4	美遠東商務數量銳減對華港口移仰光海防
page 4	但澤郵報評論德波當局談話互不侵協定現仍有效波政策在保邊界安全
page 4	日造船工業界增造商輪八十四艘五十餘萬噸定於本年內全部完成
page 4	明快的蘇聯
page 5	瓊崖民運處籌設難民安全區預定費用廿二萬元擬定六項工作綱要
page 5	岐關撞車程天固之叔受傷
page 5	一九三八孤島彈痕錄
page 5	九江Ｘ積極設防Ｘ擾各墟慘被搶劫我襲沙口焚Ｘ杉排
page 5	昨日上午石岐被炸電燈廠等處中彈
page 5	粵三區游擊副司令吳康楠臨別贈言敬恭桑梓保衛國家團結一致努力抗戰
page 5	澳門四校演劇賑濟難民共得毫銀四千餘元
page 5	Ｘ綁架潿洲島天主堂神父逼迫成立偽組織我保甲長紛紛逃避地方當局營救難民
page 5	中山商會
page 5	瓊山扣訊區長
page 5	惠陽挽留駐軍
page 6	港中環繁盛區域防空會人選委出指定適當樓宇為避難室港空軍轟炸機投彈演習
page 6	金山輪決定明日駛廣州不載華人搭客不載貨物其他各輪仍無復航消息
page 6	蔣委員長頒定救濟運動辦法勗勉僑胞續募寒衣款物港新運會昨已奉到訓令
page 6	在深圳組織農村慈善社協助難農春耕並設流動醫院
page 6	粵主席李漢魂電慰港僑胞嘉許僑胞愛國愛鄉
page 6	港蘇格蘭軍更換新制服係經英倫新審定者形式無蘇格蘭風味
page 6	賑聯會常會調查難民狀況報告粵省主席
page 6	饒神父抵港談我上下誠能團結前途一切至有希望
page 6	中國工業合作社該社代表普女士抵港任務為訪聘技術人材
page 6	教育部徵求抗戰劇本
page 6	大觀賭案趙陳等開賭有罪婦慰會否認知情
page 6	印醫生雅道今日飛渝攜Ｘ光鏡三副
page 6	港勞工司計劃改善工人待遇勞工生活改進計劃審查中注意各工廠之童工學待遇
page 7	麗華杯下旬開始華聯初戰逢海軍定期廿二日在香港會場舉行銀牌複賽南華兄弟將分戰九龍東方
page 7	美國網球界男女名位表
page 7	南華威震西貢再克新公隊結果四比零鋒芒畢露
page 7	台杯網球歐洲帶委會提出新建議
page 7	記者會排球賽下週報名
page 7	女子籃球昨晚比賽結果
page 7	抗戰期間小學體育的重要性
page 7	美網球女星生財有道馬迪夫人講演瑪博小姐賣唱
page 7	孤島足球鳥瞰預備組中東華造全勝局面甲組聯賽西福斯佔居優勢
page 7	美菲德瑞匯價稍漲英匯穩靜美匯沉寂申匯市况稍淡且靜
page 7	八九金市略形鬆弛價又低跌一毫五仙
page 7	金條略有成交
page 7	股票市殊乏生氣買胃略滯成交稀少
page 7	米市暢銷華北大量購買價格因而高漲
