page 2	Ｘ占海南島的檢討
page 3	Ｘ軍佔海南島後牽動國際困難益深英法決協力合作一致行動夏威談該島部隊足創Ｘ人
page 3	我軍襲擊湘北猛烈搏鬥予Ｘ重創修河方面我克劉莊
page 3	保定偽軍反正
page 3	龍眼洞Ｘ反對侵華九十七名被殺
page 3	鉅鹿城郊激戰威縣又陷入Ｘ手
page 3	我軍包圍平湖Ｘ由嘉興增援中
page 3	從肄江到香江一
page 3	潘文華昨通電就職
page 3	Ｘ機襲蘭州我機當即升空截擊在東郊投彈後逸去
page 3	吳佩孚不為Ｘ用土肥原三次碰壁企圖已完全失敗
page 3	滬偽法院偽職員索薪毆擊偽院長
page 3	皖Ｘ勢蹙我游擊隊活躍
page 3	英使離平將由秦皇島返滬
page 3	杭Ｘ組織偽浙治安會汪逆瑞凱任副委長
page 3	衣食住行合理化展覽定十九日在渝開幕
page 3	津法租界影院發生巨響
page 3	Ｘ火車觸地雷
page 3	壯丁忠烈炸燬Ｘ軍砲彈
page 3	張善子畫展將在巴黎舉行
page 4	西政府當局已返抵瑪德里不顧困難賡續抗戰國民軍不考慮妥協
page 4	美開始舉行大規模海軍演習測驗對歐洲之防禦力以為增強巴拿馬根據
page 4	荷國防大臣草擬擴充軍備計劃強化邊境駐軍及堡壘刷新海空軍保殖民地
page 4	義國最高國防委會討論軍事準備
page 4	故教皇奉安典禮今日或明日舉行
page 4	法國海軍現狀
page 4	艾登演說盛讚張伯倫稱頌英國擴軍進步之速數月後有重入內閣可能
page 4	巴勒斯丁會議猶代表向英提出要求對阿人主張表示反對
page 4	決心抗戰的中國路透社記者的透視
page 4	比前總理斯巴克拒絕組織新閣之命
page 4	美整軍案延至明日討論
page 4	德政府邀龐萊赴德會談就歐洲一般問題協議古隆特已由德返巴黎
page 4	中日戰爭展望續完
page 4	一個嚴重教訓
page 4	發動民眾
page 4	羅馬尼亞揭破謀殺內長陰謀
page 5	Ｘ軍進犯前瓊崖當局似有準備全瓊戰時行政會議突然改期
page 5	劉志陸談粵省前途已好轉鄧龍光等過汕赴韶
page 5	決定保留仍由李務滋等負責
page 5	Ｘ機在中山海面散放毒粉漁民三人中毒
page 5	Ｘ機八架炸沙坪死傷平民三十餘人警官警士五人殉職
page 5	福建改組自衛團撤消社訓常備壯丁等隊改設常備預備後備等隊
page 5	新會增發債券
page 5	澳門追悼教皇
page 5	茂名南中成立
page 6	瓊僑聯會昨商討救濟瓊難民辦法電宋子文等及各地瓊僑籌賑即席選出常委負責辦理賑務
page 6	四海賊騎劫西貢小輪持槍迫駛馬士灣劫去貨欵三千元
page 6	在瓊遇戰事之新疆輪昨由海口駛抵港船員目擊Ｘ我砲戰情形形勢緊張客貨均未卸落
page 6	紐約小姐試演小記
page 6	保障商號學校限制業主迫遷港九住客聯會呈當局
page 6	年宵節約運動數十團體響應商會發出節約表七千份
page 6	國民大學增辦工程夜班二十六日招考定期一年畢業
page 7	特別銀牌又出冷門警察淘汰聖約瑟結果四比三雙方激戰甚烈延長期間內警察時來運來
page 7	孤島足球麗都會牛刀小試九對零勝公園聯
page 7	我仍派許承基蔡惠全出席台杯競賽鄭兆佳亦有入選希望
page 7	台杯全部秩序
page 7	乙組銀牌工務敗于士葛
page 7	重慶首次發起足球比賽定本月二十日開始
page 7	滬籃球勁旅百樂門下月出征菲島途經香港時擬作比賽一場
page 7	職業網球賽
page 7	澳台杯選手不參加溫布爾頓
page 7	男女籃球義賽今晚七時在中青會擧行
page 7	英足球聯賽
page 7	滬學生網球隊敗于印人總結果為三比二
page 7	巴黎網球賽蒲塞斯力戰而敗
page 7	記者公會主辦排球義賽今日召開代表會
page 7	Ｘ軍需原料缺乏在港搜購棉花德國去年亦購去六百餘擔售價較前年高百份之三十
page 7	世界風雲險惡樹膠價格陡漲去年本港消耗達二萬餘擔Ｘ侵華南後出口數量低減
