page 2	江漢戰場的形勢
page 3	粵境我軍俟機反攻省當局力謀加強游擊戰事Ｘ艦駛電白發砲轟擊縣城
page 3	魯境我軍向濟南猛攻Ｘ由國內調兵增援約兩萬人在青登陸
page 3	西藏代表向蔣委員長致敬獻慰勞費九千元
page 3	拒絕日本要求美覆牒原文說明租界當局苦心希望日方予以支持
page 3	滬Ｘ鼓動工廠反英情勢十分緊張
page 3	我空軍一隊飛蘇北偵察沐陽Ｘ軍庫被炸毀
page 3	胡仲持在滬法租界被捕
page 3	滬美報停刊美領正處置中
page 3	浙境鏖戰中崇德Ｘ屢遭襲擊
page 3	冀中我獲勝利進擊完縣克復縣城束鹿一帶亦有激戰
page 3	詹森昨抵滬定本月底過港轉渝對往訪者不談政治
page 3	滬西賭窟炸彈爆發傷人
page 3	華北行使偽鈔法幣信用益穩津銀錢業六人被架其中四人確已被殺
page 3	四國談判形勢黯澹Ｘ決封鎖鼓浪嶼Ｘ外務省發言人態度強硬竟聲言用武力清除各租界
page 3	汪Ｘ發動組織息戰運動會總會設滬平津設分會經費將全由Ｘ方供給
page 3	沙洋擊落Ｘ機Ｘ陸軍省公告承認
page 4	國聯對我申請巳草擬決議案將聲明我係被侵略國各會員國應個別援助
page 4	德義將組織永久委員會互相諮商軍事合作問題Ｘ對德義表面仍圖拉攏
page 4	上海金融戰英財界極注意日圓慘跌係自取其咎偽鈔失敗亦理所當然
page 4	張伯倫在眾院稱英蘇意見已一致短期內可望成立協定外相昨出席閣議報告
page 4	英王太后乘車被撞傾覆幸告無恙祗目受傷御侍女官震傷較重
page 4	英議會通過白皮書政策對巴勒士丁問題反對黨提案被黜
page 4	波多黎哥島發現親弗朗哥陰謀當局已呈報美政府
page 4	東歐各國意見一致表示歡迎
page 4	龐萊發表談話證實英蘇妥協
page 4	美中立法案若干議員主張從速結束本屆國會期內難有成就
page 4	荷蘭女王抵比報聘
page 4	捷存英財產暫時不能放還捷人被判徒刑
page 4	中華民族的好兒女贛北反攻戰中的壯烈事跡一中央社戰地特派員范式之
page 4	英美進行成立物物交換協定互易原料貯備戰用日在印澳競爭稍減
page 4	英反侵略分會對援華制日工作現正作新的努力
page 4	美潛艇失事斯瓜魯斯號沉入海底當局正在設法援救中
page 4	蘇飛行家由美返國備受歡迎
page 4	但澤市參議會竟向波提抗議對德人暴動事推諉責任
page 4	汪精衛赴日何為
page 4	Ｘ人想搶租界
page 5	本月廿六日起汕頭當局強迫疏散離境市民准予免費搭乘舟車汕揭汕潮輪渡均已改為夜航
page 5	古鼎華代表報告新會城戰役經過將士忠勇衛國前線缺乏醫藥香港華商總會即席認捐千元
page 5	粵省奉令增厚兵力募散兵及民眾武力
page 5	粵各地開賭人犯就地槍決省府嚴令縣市遵照
page 5	二十四戰士傷愈歸隊梅縣各界竭誠招待
page 5	到農村去上對廣東地方行政幹部訓練所學員訓詞
page 5	曲江黨委返韶
page 6	英輪林漂拿號無故被日艦截搜在橫瀾島南距本港一哩派兵登輪檢查肆行騷擾
page 6	救亡劇團今晚開始義演佈景燈光無不精采逼肖演員技術老練表演認真
page 6	盧伍締婚節捐餅金濟難
page 6	英軍用機前日在鯉魚門迫降機中三人皆被救回
page 6	英海軍少將墨雷抵港移康和艦接任視事
page 6	兒童保育會遊藝會第一日到會千人收入二千元第二次下月三日舉行
page 6	ＸＸＸＸ偽幣惡果財政評論六月號
page 6	港九小學生故事演講比賽港方今日在青年會舉行程序昨已編定共廿三人
page 6	惠陽青年會定期招待各界茶會將赴南洋報告災情
page 6	被日扣留之挪威輪新生號昨日返港
page 6	鳥獸專家携帶大批雀鳥標本昨抵港將赴檀香山
page 6	時症報告上週霍亂症十二宗
page 6	大風旬刊
page 6	人生兩問題事業與服裝
page 7	世運會藝術競賽節目共分十四項與賽作品須以體育為題材音樂首獎將在會期間演奏
page 7	歐洲帶台杯網球第二週結束德國勝波蘭結果三比二
page 7	鑑泉盃決戰前夕貢獻一點意見
page 7	美海軍學校選派亨特與馬克參加溫布爾頓賽
page 7	週未棒球聯賽南華逢戰友啤星期日中華對抗西洋會
page 7	外匯牌價全不動英美滙市俱穩定申滙市況略穩銀行頗多拋出
page 7	買戶久屈思伸股票市略好轉存戶乘勢居奇抬高售價半日成交總值僅十萬元
page 7	過去四月內牲口消耗
page 7	八九金市略穩但靜買賣不多價格微漲
