page 2	遠東的外交戰
page 3	湘北後又一大捷粵北日軍總潰敗死傷達萬二千人我戰略大勝翁源英德克復捷報到渝後提燈游行慶祝日方承認對我反攻無法抵禦
page 3	戰時英國印象蕭乾英國劍橋航信上
page 3	日機二十七架又飛炸滇越路並在蒙自郊外盲目投彈法準備向日提抗議
page 3	粵二區專員由何春帆繼任
page 3	閩東我軍再克平潭島日軍上汽艇向廈門逃去
page 3	英德縣長以身殉國粵主席呈中央撫卹
page 3	軍會發言人談粵北大捷經過日軍輕進被我夾擊銳氣已挫無力再犯
page 3	日方覬覦中興煤礦向該公司提出要求聞將實行強制參加
page 3	川槍決烟犯
page 3	今後法幣市場將愈見穩定滬外人經濟週刊之推論
page 3	南洋山口洋僑胞通電斥汪
page 3	滬永安工潮警務當局出面干涉被捕職員已解法院
page 3	湘省本年度八大要政
page 3	滬又起搶米潮昨日發生十餘起三十餘人被拘捕
page 3	滬郵政總局信差怠工
page 3	蘇領館人員返滬說尚未證實
page 3	英使抵渝在空中適遇大霧飛機盤旋兩小時
page 3	粵主席電所屬今年施政計劃即日實施勿因戰局而稍有鬆懈韶市成立軍民服務站
page 4	美國會開幕羅斯福正義吼斥責暴力破壞條約決將致力和平重建
page 4	偉大的同情成都慈幼治療院參觀記
page 4	阿部的苦悶對英蘇外交無出路內閣人員暮氣沉沉
page 4	芬游擊隊破壞蘇交通穆爾曼斯克火車出軌紅軍五十萬準備進攻
page 4	傳莫洛托夫將赴柏林報聘德蘇在北歐或將更趨合作英法決不顧一切積極援芬
page 4	菲律賓日領的煩惱美日商約廢止須繳單車牌費
page 4	馬尼拉市長因心病逝世
page 4	巴爾幹會議定二月八日召集
page 4	天氣失常西班牙苦雨中歐苦嚴寒
page 4	西線轉晴空軍偵察活躍
page 4	土又發生地震白崇禧致電慰問英撥救護艦助振
page 4	中國藝術展覽會三日在莫斯科開幕蘇文化界踴躍參加
page 4	蘇對土耳其仍圖接近曾再邀土舉行談判
page 4	滬外籍人士募款援芬成績頗有可觀
page 4	粵北的大捷
page 4	羅斯福的新勝利
page 5	江會方面砲戰激烈四邑三埠防務鞏固
page 5	粵北我獲大勝以切香腸戰略截斷聚殲犯翁源日軍已狼狽潰竄
page 5	李漢魂赴前線指揮軍事
page 5	粵省海味土糖徵稅辦法
page 5	西江各地日軍紛調粵北增援三水完全在我控制中金利沿岸我砲兵逞能
page 5	桐油購運處中山分處成立
page 5	荷屬東印僑胞熱烈捐助救護車已購得救護車二十餘輛撥歸中國紅十字會調用
page 5	暹羅排華僑生舞獅捐款今年亦遭禁止
page 5	莞龍日軍一部撤退我軍乘勢進攻王若周派部增防廣九沙深路省府電令寶安加緊災區善後
page 5	西康日記三二
page 5	嶺東各地武裝衛僑組織護僑隊保護出入
page 5	潮梅後方僑匯源源輸入
page 6	中華廠商聯會明日召開會員大會討論星洲限制港貨入口問題
page 6	乞丐迫於飢餓偷米被毆斃萬祥泰四店伴均受嫌疑待醫官剖驗後始能證明
page 6	中央賑委會成立第九救濟區杜月笙兼特派員轄粵閩兩省續撥款二十二萬元辦理粵賑
page 6	世界語學會九龍城設世界語班
page 6	漁民張金水在南澳被誤殺被迫協助海賊致召慘禍自衛團隊隊員誤良為盜
page 6	昨晨干諾道西均益貨倉大火被焚者為火柴非林等物估計損失約為三萬餘元
page 6	英帝國政府在港建貨輪四艘利用香港人力澳洲之鐵排水量總在一萬噸以上
page 6	香港火柴廠參觀記
page 6	教部令各大學選送學生赴第七軍校服務政經系及教育系之學生需用三十人廣大為最多
page 6	徵募寒衣廣大學生與辦電影籌款明日後日分在平安皇后舉行八大影片公司報効短片
page 7	征滬埠際代表隊下週正式決定候選球員現有廿二人
page 7	東南大戰前奏
page 7	星期日足球聯賽東方戰南華南吳祺祥趕程返港助陣
page 7	星洲工商校友會歡送全白球隊濟濟一堂情形異常熱鬧擬組球隊遠征籌賬難民
page 7	南方小型球隊重整軍容舊歷年底征澳
page 7	公誠小球會新職員產生
page 7	婦女健美會首次表演為工業社籌款
page 7	孤島西聯足球麗都依然無敵
page 7	美菲荷匯牌價回縮英匯仍乏生氣美匯微緊但靜申匯市況穩定銀行大量拋出
page 7	股票市況蓬勃成日成交達二十一萬元黃埔船塢股票價格飛漲
page 7	一九三九年度港金融變動情況世界風雲險惡中安渡難關
